kbinact,aceph01,aceph02,aceph03,aceph04
325,1583192.0,1530696.0,1629108.0,1609496.0
326,1585168.0,1532448.0,1629064.0,1609292.0
327,1587664.0,1533080.0,1629888.0,1612072.0
328,1591872.0,1535668.0,1632588.0,1613464.0
329,1592588.0,1536712.0,1634412.0,1614536.0
330,1595008.0,1539000.0,1637788.0,1615208.0
331,1600132.0,1544220.0,1641736.0,1617436.0
332,1602660.0,1546956.0,1644316.0,1621328.0
333,1601800.0,1547340.0,1643408.0,1626552.0
334,1605344.0,1551344.0,1644780.0,1626716.0
335,1609008.0,1557596.0,1649320.0,1629744.0
336,1610688.0,1557876.0,1651060.0,1634924.0
337,1612616.0,1558100.0,1652600.0,1636396.0
338,1614352.0,1559164.0,1654536.0,1634408.0
339,1615620.0,1560224.0,1656684.0,1634024.0
340,1615232.0,1559428.0,1655036.0,1634220.0
341,1615648.0,1560864.0,1653256.0,1634684.0
342,1618036.0,1562304.0,1656712.0,1637032.0
343,1621024.0,1562452.0,1656860.0,1638736.0
344,1626048.0,1567220.0,1662088.0,1638896.0
345,1627708.0,1569628.0,1662788.0,1643892.0
346,1627564.0,1569912.0,1664164.0,1646528.0
347,1627348.0,1570124.0,1663860.0,1646584.0
348,1626020.0,1569860.0,1662560.0,1647504.0
349,1627620.0,1568780.0,1664040.0,1647228.0
350,1629884.0,1569220.0,1666676.0,1648232.0
351,1634164.0,1572504.0,1669216.0,1649804.0
352,1636176.0,1574964.0,1672672.0,1652272.0
353,1636736.0,1576264.0,1673976.0,1652968.0
354,1640944.0,1580312.0,1675196.0,1653464.0
355,1642512.0,1582360.0,1678908.0,1658308.0
356,1646360.0,1582792.0,1681144.0,1661752.0
357,1648324.0,1583000.0,1681376.0,1662732.0
358,1635948.0,1581600.0,1681048.0,1663688.0
359,1614836.0,1582656.0,1680712.0,1662548.0
360,1616000.0,1588476.0,1684840.0,1659784.0
361,1618992.0,1589952.0,1691432.0,1666612.0
362,1618636.0,1591184.0,1685416.0,1668940.0
363,1619316.0,1591684.0,1686056.0,1669420.0
364,1619216.0,1587824.0,1685552.0,1670336.0
365,1620304.0,1587692.0,1687140.0,1669904.0
366,1620272.0,1588588.0,1687204.0,1670088.0
367,1623912.0,1592836.0,1691204.0,1668516.0
368,1625080.0,1593640.0,1692496.0,1672740.0
369,1626660.0,1594324.0,1692872.0,1674264.0
370,1629772.0,1597168.0,1696844.0,1674432.0
371,1636520.0,1601476.0,1703060.0,1676996.0
372,1639292.0,1605272.0,1708408.0,1681784.0
373,1638388.0,1605396.0,1714788.0,1685824.0
374,1638668.0,1605744.0,1709120.0,1689420.0
375,1642816.0,1609204.0,1710448.0,1687812.0
376,1644496.0,1610988.0,1711664.0,1691160.0
377,1645396.0,1610876.0,1714212.0,1695376.0
378,1643168.0,1612484.0,1715496.0,1696628.0
379,1645244.0,1610692.0,1715400.0,1695836.0
380,1648052.0,1612088.0,1717720.0,1692964.0
381,1650280.0,1615084.0,1721940.0,1696592.0
382,1651208.0,1616352.0,1721388.0,1698264.0
383,1653324.0,1615796.0,1720472.0,1698536.0
384,1653304.0,1614616.0,1720004.0,1699704.0
385,1659400.0,1618984.0,1724376.0,1701164.0
386,1660200.0,1622048.0,1727116.0,1705352.0
387,1661420.0,1623128.0,1728656.0,1707836.0
388,1663432.0,1624872.0,1729756.0,1706864.0
389,1665568.0,1626980.0,1731444.0,1706840.0
390,1670420.0,1630932.0,1734496.0,1708112.0
391,1671460.0,1631024.0,1735960.0,1713296.0
392,1672164.0,1632620.0,1736628.0,1714692.0
393,1674108.0,1634544.0,1738020.0,1716032.0
394,1675036.0,1637576.0,1739776.0,1717580.0
395,1675932.0,1639392.0,1741932.0,1719244.0
396,1676684.0,1639560.0,1741008.0,1721200.0
397,1680552.0,1641480.0,1743864.0,1718928.0
398,1681364.0,1641056.0,1746012.0,1719784.0
399,1682416.0,1641896.0,1745860.0,1721728.0
