op_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
198,1.349,0.18,0.078,0.36,0.007,1.703,0,0.814,0.144,0.453,0,0.77,0.005,0.275,0,0.006,0.053,0.186,0,0.036,0.194,0.118,0,0.385,0.159,0.178,6.184,0.279,0.178,0.074,0.004,0.004,0.461,0.005,0.037,0,0.005,0.005,5.712,0
199,0.162,0.688,0.131,0.351,0.575,0.854,0,0.067,0.452,0.119,2.266,0.0,0.156,0.214,2.028,0.005,0.422,0.005,0,0.286,0.137,0.256,0,0.787,0.293,0.4,2.208,0.117,0.386,0.359,1.484,0.303,0.45,0.459,0.006,0,0.266,0.203,1.99,1.821
200,1.375,0.29,0.109,0.059,1.196,0.005,0,0.188,1.145,0.584,0.977,0.122,0.2,0.117,4.938,0.507,0.943,0.162,0,0.43,0.005,0.45,3.974,0,0.006,0.004,0.574,0.845,0.006,0.006,0.931,0.389,0.552,0.139,0.0,0,0.544,0.757,1.601,0.004
201,0.209,0,0.01,0,0.27,1.524,2.219,0.946,0.009,0.553,0.146,0.673,0.303,0.618,0,0.006,0.005,0.327,0,3.559,0.005,0.004,1.456,3.746,0.005,0.003,0.004,0,0.005,0.256,0.472,0.004,0.0,0.005,0.259,4.311,0.424,0.005,2.362,0.789
202,0.003,1.134,0.016,0.515,0.003,0.543,0.946,0.009,0.401,0.014,0.002,0,0.0,0.001,0,0.859,0.174,0.005,2.72,0,0.641,0.73,0.969,0,0.54,0.479,1.155,0,1.011,0.582,2.039,0.0,0.697,0.0,0.046,2.391,0.002,0,0.003,0.142
203,0.764,1.077,0.159,0.007,0.319,0.006,0.219,0.313,0.006,0.675,1.187,0,0.367,0.288,3.012,0.48,0.007,0.504,0.003,0,0.03,0.941,0.812,0,0.903,0.31,1.165,4.367,0.321,0.376,1.279,0.781,0.054,0.359,0.005,0.005,0.343,0.174,0.78,0.004
204,1.154,0.626,0,0.636,0.008,0.242,0.842,0.757,0.19,0.289,0.008,1.884,0.006,0.005,0.007,1.157,0.192,0.006,0.003,0,0.532,0.003,0.44,0,0.004,0.309,0.696,0,0.005,0.266,0.003,0.975,0.004,0.114,1.061,0.013,0,0.01,0.007,0.28
205,0.249,0.46,0,1.092,0.257,0.912,0.595,0.007,0.003,0.005,0.004,0.248,0.195,0.186,1.569,0.605,1.452,0.346,2.012,0,1.843,0.005,0.168,8.131,0.563,0.004,1.217,0,0.003,0.471,0.004,1.302,0.005,0.007,0.502,0.004,2.262,0.008,0.005,1.379
206,0.005,0.159,4.757,1.528,0.073,0.038,0.153,1.36,0.933,0.617,0.823,0.047,0.617,0.003,0.223,0.562,0.941,0.873,1.374,0,0.113,0.497,1.735,2.241,0.446,0.027,0.358,5.679,1.415,0.264,0.969,0.611,0.753,0.951,0.122,0.727,2.561,0.005,0.663,0.026
207,0.341,0.091,0,0.175,0.713,0.31,0.346,1.472,0.021,0.46,0.383,0.005,0.877,0.227,1.927,0.052,0.856,0.88,0.31,5.956,0,0.233,0.316,0.155,0.09,0.449,0.173,5.192,0.026,0.005,0.588,0.456,0,0.502,0.122,0.037,2.802,0.658,0.495,0.184
208,0.553,0.044,2.339,1.625,0.404,0.042,0.004,0.053,0.191,0.124,0.443,0.215,0.441,0.582,0.806,1.229,0.652,0.425,0.066,1.529,0,0.326,0.053,0.017,0,0.111,0.006,4.362,0.006,0.014,0.068,0.039,0,0.371,0,0.004,0.567,0.171,0.309,0.002
209,0.005,0.05,0.382,0,0.025,0.005,0.893,0,0.005,0.251,0.004,0.483,1.062,0.005,0.177,0.361,0.005,0.155,0.308,0.538,0,0.004,0.004,0.005,2.695,0.005,0.004,0.994,0.932,0.005,0.08,0.004,0,0.177,0.175,0.0,0.276,0.071,0.114,0.856
210,0.005,0.194,0.125,0,0.009,0.619,0.637,0,1.367,0.026,0.09,0.138,0.285,0.004,0.05,0.252,0,0.005,0.6,0.005,3.535,0.409,0.005,0.398,0,0.189,0.005,0.806,0,0.245,0.053,0.91,5.757,0.001,0.466,0.744,0,0.0,0.003,0.723
211,0.683,0.547,1.14,3.174,0,0.345,0.651,3.417,0.233,0.736,0.005,0.007,0.651,0.219,0.198,0.02,0,0.253,0.315,1.277,1.397,0.609,0.653,0.23,5.329,0.32,0.74,1.717,3.864,0.047,0.431,0.085,2.178,0.006,0.31,0.398,0.512,0.514,0.267,0.387
212,1.313,0.119,1.974,2.095,0,0.011,0.069,1.535,4.015,0.653,0.253,1.287,1.718,0.498,0.416,3.062,0.885,0.443,0.026,1.761,0.162,0.126,0.062,0.011,3.096,0.186,0.046,0.088,5.087,0.046,0.05,0.574,0.639,0.773,0.022,0.18,0.701,0,0.28,0.039
213,0.079,0.03,0.292,0.277,4.085,0.006,0.009,0.432,0,0.544,0.49,0.493,0.824,0.224,0.032,0.081,0.007,0.088,0.842,0.124,0.011,0.018,0.012,1.221,0.722,0.024,0.007,0.02,1.325,1.149,0.562,0.093,0.012,2.851,0.204,0.006,0.193,0,0.121,0.255
214,0.014,0.01,0.011,0.006,0,0.133,0.004,0.013,2.866,0.039,0.025,0.143,0.261,0.018,0.026,0.003,1.091,0.021,0.015,0.016,0.365,0,1.193,0.201,1.942,0,0.447,0.549,1.591,1.438,0.014,0.005,0.095,4.088,0.005,0.508,0.02,0,0.009,0.007
215,0.006,0.04,0.008,0.405,0,2.115,1.66,0.007,1.692,0.008,0.615,1.528,0.403,1.152,0.558,0.375,0.711,0.0,0.263,0.0,0.006,0.833,0.128,1.563,0.517,0.54,0.006,0.097,0.247,1.642,0.39,0.208,0.078,3.063,0.008,0.206,0.227,0,0.161,0.008
216,0.018,0.007,0.172,2.331,2.895,1.017,0.036,0.13,0.294,0.035,0.052,0.851,0.007,0.176,0.073,0.006,0.12,0.247,0.29,0.21,1.959,0.639,0.008,0.445,4.205,1.761,1.098,1.502,1.228,4.85,0.089,0.002,0.07,0,0.005,0.011,0.167,0,0.058,0.004
217,2.594,0.004,0.775,1.191,1.655,0.005,0.004,1.869,0.004,0.926,0.003,0.507,0.007,0.004,0.316,1.114,1.256,0.005,0.63,0.147,1.545,0,0.228,0.003,1.67,0.581,0.409,0.412,1.476,0,0.006,0.008,0.005,0,0.853,0.006,0.009,7.299,0.007,0.577
218,0.02,0.147,0.135,0.007,0.003,0.032,0.297,0.911,0.554,0.015,0.846,0.325,0.706,1.604,0.39,0.006,1.92,0.851,0.359,0.994,0.003,2.861,0.006,0.665,0.005,0.0,0.004,0.012,0.015,3.335,0.005,0.005,1.264,4.981,0.524,0.665,0.006,2.222,0.005,0.231
219,0,0.006,0.393,0.129,1.041,0.015,0.381,0.009,0.07,0,0.004,0.409,1.882,0,0.258,0.508,0.966,0.317,0.4,0.263,0.13,0,0.015,0.039,1.538,0.151,1.171,0.015,0.071,1.951,1.388,2.196,0.011,0,0.203,0.515,0.906,3.212,0,0.243
220,0,0.273,0.007,0.416,1.575,0.004,0.004,0.135,0.165,0,0.28,0.61,0.307,5.252,1.208,0.083,0.093,0.866,0.66,0.169,0.009,1.917,0.296,0.273,0.007,0.124,0.153,0.303,0.006,1.799,0.349,0.262,0.315,1.442,0.003,0.849,0.751,0.805,0,0.003
221,3.625,0,0.278,0.005,0.49,0.298,0.005,0.156,0.005,0,0.133,0.007,0.05,0,0.783,0.195,0.534,0.069,0,0.238,0.351,0.003,1.05,0.004,0.003,0.002,0.752,1.067,0.002,1.034,0.0,0.004,0.195,1.298,0.417,2.806,0.233,2.127,0,0.355
222,0,0.007,0.003,0.22,0.104,1.227,0.239,0.002,0.01,0,0.005,0.014,0.774,0,0.361,0.048,0.505,0.756,0,0.476,1.32,1.061,0.805,1.053,0.727,0.777,0.105,0.577,0.296,1.631,0,0.002,0.552,1.99,0.636,0.541,0.001,0.002,0,0.004
