op_w_rlat,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
84,0.005,0.027,1.189,0.228,0.459,0.042,0.028,0,0.395,0.126,0.005,0,0.166,0.289,0.91,1.365,0.375,0.261,0.282,0,0.097,0.377,0.34,6.384,0.005,0.35,0.012,0.852,0.005,0.194,0.185,0.451,0.177,0.452,0.329,0.53,2.429,0.257,0.193,0.423
85,0.434,0.947,0.713,0.556,0.05,0.618,0.341,0,0.518,0.709,0.401,1.745,0.12,0.337,0.605,0.988,0.531,0.169,0.447,5.395,0.779,0.823,0.476,8.196,0.634,0.012,0.814,0.449,2.09,0.367,0.545,0.923,1.034,0.625,0.684,0.469,0.871,0.661,0.597,0.906
86,0.986,0.829,0.788,1.067,0.013,0.008,0.829,0,0.066,0.005,0.84,0.791,0.279,0.091,0.894,1.425,0.617,0.167,0.853,1.504,0,0.046,0.014,4.795,0,0.005,0.006,0.013,0,0.006,0.206,0.005,0,0.692,0.268,0.765,0.122,0.219,0.726,0.05
87,0.62,0.324,0.322,0,0.181,0.577,0.331,0,0.404,0.405,0.004,0.006,0,0.007,0.052,0.005,0.005,0.005,0.005,1.424,0,0.088,0.071,0.379,0,0.005,0.047,0.005,0,0.066,0.005,0.088,0,0.039,0.047,0.005,0.257,0.092,0.006,0.052
88,0.543,0,0.004,0,0.003,1.06,1.108,0,1.2,0.658,0.005,1.829,0,0.14,0.398,0.804,1.698,0.291,0.665,2.356,0,0.711,0.985,0.004,0,0.787,0.65,0.337,0,0.183,0.276,1.093,0,1.213,0.601,0.005,1.093,0.988,0.006,1.549
89,0.296,0.38,0.264,0,0.007,0.084,0.68,3.424,2.181,0.392,0.98,0.157,4.449,1.28,0.088,0.926,5.605,0.497,0.713,0.962,5.772,0.714,0.016,0.04,0,0.661,0.359,1.361,4.23,0.006,0.408,1.338,1.562,0.527,1.175,1.071,1.015,3.587,0.875,0.324
90,0.413,0.021,0.144,0,0.341,0.183,0.364,1.426,0,0.594,0.16,0.093,0,0.169,0.136,0.436,0,0.142,0.125,0.148,0,0.011,0.005,0.011,2.392,0.016,0.017,0.005,1.687,0.011,0.386,0.212,0.235,0.172,0.102,0.413,0.623,0,0.184,0.091
91,0.086,0.096,0.067,2.322,0.054,0.037,0.053,0.271,0,0.196,0.092,0.223,0,1.156,0.132,0.632,2.851,1.305,0.762,2.133,3.044,0.424,0.015,0.34,1.233,0.15,0.372,0.174,0.06,0.369,0.499,0.297,0.426,0.634,0.389,0.642,0.392,0,1.214,0.769
92,0.007,0.249,0.007,0.174,0.112,0.01,0.297,0.681,0,0.287,0.022,0.008,1.37,0.012,0.016,0.016,0.311,0.01,0.014,0.014,0.48,0.278,0.369,0.136,0.34,0.432,0.064,0.231,0.286,0.007,0.096,0.15,0.569,0.05,0.197,0.009,0.048,0,0.147,0.102
93,0.004,0.003,0.005,0.003,0,0.003,0,0.578,0,0.003,0.003,0.003,0.004,0,0.003,0,0,0.004,0.004,0.003,0.003,0,0.004,0.423,0.355,0,0.005,0.003,0.003,0.003,0,0.002,0.003,0,0.003,0.293,0.429,0,0.004,0
94,0,0,0.003,0,0,0,0,0.004,0,0,0.003,0.003,0.004,0,0.003,0,0.003,0,0,0.003,0.006,0,0,0.003,0,0,0,2.312,0,5.084,0,0,0,0,0.004,0,0,0,0,0
95,2.793,0.017,0.766,1.159,5.207,0.945,1.285,2.199,5.641,0.974,2.067,1.367,1.463,1.242,0.561,1.423,1.987,0.463,0.886,1.779,1.301,2.127,0.833,1.275,1.943,0,0.731,1.146,1.873,1.164,0.554,0.553,0.017,0,0.179,1.141,0.947,7.705,0.179,1.42
96,0,0.056,0.185,0.679,1.046,0.065,0.01,0.236,1.666,0,0.008,0.246,0.841,0,0.38,0.077,0.207,0.051,0.152,0.204,0.772,0.286,0.293,0.148,0.394,0,0.396,0.093,0.949,0.377,0.136,0.187,0.117,6.554,0.093,0.083,0.018,2.286,0.165,0.069
97,5.309,0.006,0.232,0.004,0.343,0.004,0.005,0.164,0.005,0,0.003,0.004,0.005,1.609,0.004,0.004,0.004,3.057,0.005,0.144,0.326,0,0.004,0.07,0.007,0,0.508,0.33,0.669,0.003,0.245,0.378,0.005,0,0.004,0.293,0.417,0.076,0.469,0.237
98,0,0.287,0.808,0.275,0.039,0.369,0.37,0.481,1.968,0,0.583,0.458,2.095,0,0.439,0.245,0.277,0.576,1.028,0.789,0.778,0.889,0.67,0.123,0.272,2.636,0.322,0.008,0.006,3.734,0.006,0.196,0.245,0,2.362,0.005,0.027,2.529,0.005,0.527
99,0,0.122,0.087,0.004,0.091,0.053,0.025,0.009,0.091,0,0.148,0.135,2.468,0,0.056,0.055,0.018,0.12,0.208,0.464,0.005,0.226,0.158,0.009,0.791,0.236,0.054,0.322,0.169,1.43,0.041,0.005,0.102,2.432,0,0.096,0.035,0.006,0,0.005
100,0,2.795,1.483,0.008,0.009,1.628,1.305,1.344,2.516,0,0,0.014,0.005,8.018,0,0,0,0,0,0,5.224,0.013,3.845,5.474,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0
101,0,0,0,0.004,0,0.017,0.385,0.368,4.055,0,0.005,0.007,0.005,5.231,0.007,0.007,0.007,0.005,0.005,0.005,1.828,0.795,1.648,2.053,1.779,1.741,0.58,2.25,2.343,1.548,3.491,1.106,0.192,1.377,0,0.005,0.005,0.006,0,0.004
102,6.929,0.506,0.254,0.072,0.011,0.283,0.259,0.269,0.237,7.868,1.879,0.472,1.495,7.147,1.498,0.296,0.666,1.113,1.008,0.49,1.233,0.655,2.848,0.819,0.622,1.054,1.356,2.053,0.686,1.67,0.327,0.975,0.986,3.561,1.629,1.739,0.456,1.68,1.422,0.265
103,2.157,0,0.007,0.006,0.282,0,0.101,0.135,0.261,5.105,0,0.506,0.227,2.644,0,0.005,0.376,0.052,0.884,0.629,1.62,0.55,5.341,0.018,0.906,0.689,0,0.974,0.263,0.155,0.186,0.247,0.535,0.639,0.363,0.177,0.768,0.662,3.532,5.24
104,2.754,0,0.299,0.291,0.44,0.318,0.334,0.289,0.629,1.377,2.266,0.122,0.121,0.816,0,0.502,0.44,0.15,0,0.358,0.272,0.039,1.279,0.412,0.355,0.264,0.523,0.444,0.239,0.49,0.95,0.117,0.687,0.353,0.121,0,0.806,0.141,3.151,0
105,0.003,0,0.003,0.004,0.377,0,0,0.941,0.058,0.103,0,0.047,0.285,0.004,0,0.004,0.062,0.005,0,0.158,0.003,0.004,2.294,0.115,0.004,0.004,0,0.004,0.292,1.032,0,0.005,0.003,0.005,0,3.145,0.368,0.004,1.065,0
106,3.331,0,0.366,0.525,0.893,0,0,0.005,1.048,3.82,1.521,0.669,1.102,2.875,0,0.919,0.499,0.774,0,0.687,0.061,0.621,0,1.614,0.683,0.644,0,0.816,0.948,0.26,0.005,0.004,0.004,0.005,0.004,0,0.004,0.006,0.006,2.094
107,1.623,2.209,1.348,0.241,1.055,0,0,0.715,0.388,0.962,0.655,0.509,0.37,1.522,7.435,1.446,0.444,0.743,1.121,1.817,0.488,0.623,1.585,1.104,0.848,0.603,1.896,1.66,0.288,1.271,0.604,0.699,1.194,0.859,1.126,0,1.078,0.906,1.427,1.368
108,0.209,1.029,3.424,0.201,0.251,2.579,0,0.061,0.006,1.153,0.845,0.2,0.246,1.667,0,0,0.174,0.173,0.578,0,0.444,0.87,3.324,1.539,0.825,0.752,0.348,0,0.958,0.619,1.272,5.067,0.446,0.843,0.491,5.508,0.867,0.959,0.778,1.169
109,0.315,0.934,0,0.363,0.664,2.335,1.029,0.249,0.403,0.339,0.209,0.648,0.627,0.11,0,0,0.538,0.258,0.662,0,0.195,0.343,0.616,1.77,0.068,0.331,0.49,1.765,0.333,0.132,0.521,0,0.118,0.29,0.006,0,0.137,0.004,0.211,0.02
110,0.054,1.056,0,0.858,0.173,2.196,0.051,0.517,1.379,0.296,0.059,0.05,0.042,0.007,5.944,0,0.084,0.018,0.256,3.31,0.278,0.837,1.18,0.833,0.486,0.647,0.23,0.606,1.05,0.006,0.426,0,0.599,0.369,0.133,1.24,2.815,0.605,0.34,0.69
111,0.155,0.481,0,0.759,0.842,1.019,0.005,0.157,0.258,0.005,0.005,0,0.277,0.326,0.814,0,0.398,0.223,0.006,1.478,0.108,0.01,0.279,0,0.006,0.211,0.09,0,0.058,0.31,0.031,1.218,0.005,0.013,0.009,0.006,0,0.055,0.005,0.006
112,0.201,0.87,2.154,0.399,0.44,0.555,0.847,1.854,0.301,0.108,0.098,2.842,0.369,0.279,2.112,2.839,0.494,0.695,0.318,0.983,0.594,0.424,0.261,0,0.041,0.609,0.403,1.72,0.154,0.314,0.261,0.897,2.105,0.51,0.608,0.845,0,0.462,0.613,0.421
113,0.202,0.672,1.194,0.128,0.401,0.205,0.434,0,0.302,0.564,0.004,1.061,0.005,0.005,0.381,1.547,0.004,0.005,0.007,0.005,0,0.152,0.488,4.481,0.179,0.004,0.155,0.471,1.525,0.005,0.281,0.004,0,0.051,0.318,0.008,0,0.005,0.005,0.183
114,1.022,0.558,3.961,0.816,0.161,0.006,0.297,0,0.005,0.147,0.149,0.875,0.37,0.424,0.913,1.896,1.653,0.139,0.595,0.945,0,0.006,0.006,2.437,0.005,0.004,0.005,0.006,0.004,0.006,0.006,0.004,0,0.288,0.223,0.373,0,0.578,0.541,0.005
115,0.188,0.997,1.227,3.761,0.014,1.183,1.331,4.594,0.405,1.093,0.57,0.632,1.637,0.226,1.726,1.437,2.084,0.384,0.275,1.005,0,0.345,0.673,1.693,2.621,0.795,0.352,1.509,0.463,0.169,0.045,0.533,0.842,0.055,0.113,0.863,5.124,0.344,0.244,0.007
116,0.038,0.403,0.155,1.519,0.087,0.306,0.72,6.31,0.371,0.26,0.057,0.061,5.904,0.127,0.116,0.475,5.553,0.057,0.061,0.145,0,0.334,0.069,0.628,1.915,0.178,0.241,0.087,0,0.066,0.04,0.21,0.516,0.08,0.299,0.012,1.983,0.292,0.288,0.096
117,0.679,0.006,0.006,0,1.368,0.006,0.798,4.38,4.034,1.085,0.204,0.266,0,0.761,0.006,1.909,0,0.275,0.591,0.493,5.951,0.298,0.005,0.004,0,0.652,0.647,0.272,0,0.013,0.004,0.635,0,0.17,0.005,0.726,1.709,1.99,0.295,0.665
118,0.726,0.163,0.389,0,0.93,0.404,1.062,4.294,2.256,0.962,0.593,0.608,0,0.354,0.196,2.042,3.196,0.307,0.965,1.274,2.89,0.338,0.074,1.05,1.017,0.18,0.26,0.193,1.312,0.06,0.601,0.011,4.198,1.489,0.158,0.84,2.362,2.114,0.677,0.56
119,0.018,0.21,0.023,1.419,0.176,0.008,0.337,6.381,0,0.437,0.119,0.152,3.43,0.387,0.025,0.17,1.295,0.174,0.173,0.289,0.69,0.271,0.275,0.085,0.48,0.374,0.543,0.223,0.349,0.018,0.005,0.233,0,0,0.253,0.27,0.005,1.557,0.345,0.109
120,0.119,0.113,0.158,0.354,0.191,0.01,0.024,0.773,0,0.115,0.011,0.026,1.141,0.043,0.101,0.093,0.267,0.186,0.027,0.246,0.1,0.496,0.418,0.014,0.034,0.177,0.198,0.115,0.062,0.018,0.018,0.012,1.844,0,0.015,0.009,0.008,0,0.028,0.015
121,0.007,0.005,0.005,0.005,0,0.008,0.006,0.006,5.496,0.007,0.472,0.337,1.231,0.373,0.653,0.302,0.831,0.273,0.018,0.072,0.007,1.727,0.364,0.564,1.102,2.902,0.275,0.369,0.913,1.714,0.333,0.342,0.005,0,0.527,0.657,0.129,0,0.2,1.227
122,0.51,0.006,0.369,2.158,0,0.516,0.005,1.2,1.429,0.007,0.343,0.657,1.591,1.077,0.63,0.369,1.261,1.152,0.447,0.486,1.931,0,0.415,0.465,0.708,1.877,0.476,0.373,0.247,1.956,0.489,0.156,0.005,4.165,0.177,0.146,0.106,0,0.042,0.428
123,4.235,0.165,1.624,2.237,0,1.933,0.963,2.734,0.734,0.578,0.444,1.569,1.772,0,0.629,0.788,1.115,0.717,0.562,0.473,2.711,0,0.005,0.498,1.667,1.79,1.135,1.446,2.3,0,0.196,0.273,0.122,0,0.379,0.029,0.107,6.19,0.28,0.077
124,0,0.323,0.369,0.248,0,0.006,0.521,1.649,0.805,0.006,0.185,0.057,0.089,4.211,1.104,0.391,0.639,0,0.606,0.625,0.197,0,0.079,0.158,0.385,0.362,0.114,0.344,0.329,4.45,0.643,0.205,0.439,0,0.54,0.006,1.734,5.675,0.106,0.006
125,0,0.24,0.018,0.011,0,0.052,0.381,0.139,0.013,0.837,0.006,0.266,0.062,0.461,0.641,0.011,0.014,0,0.15,0.215,0.004,6.207,0,0.423,0.009,0.007,0.008,0.009,0.01,0,0.232,0.323,0.102,0,0.009,0.55,0.094,0.733,0.282,0.005
126,0,0.088,0.523,0.476,6.522,0.02,0.399,0.627,1.973,4.158,0.444,0.356,0.599,1.593,0.629,0.097,0.345,0.653,0.543,0.886,0.432,1.803,0.224,0.369,0.633,0.01,0.942,0.326,0.01,0,0.62,0.842,0.501,7.546,0.27,0.679,0.095,3.101,0.725,0.093
127,0,0.006,0.192,0.137,1.401,3.88,0.008,0.168,0.01,0,0.005,0.555,0.165,3.966,0.293,0.044,0.217,0.44,0.529,0.182,0.008,0.048,0.073,0.008,0.043,0.006,0.01,0.179,0.249,0,0,0.011,0.009,2.788,0.017,0.015,0.013,0.743,0.043,0.093
128,8.543,0.302,0.895,0.331,0.787,0,0.433,0.069,1.588,1.758,0.964,0.942,0.279,0,1.508,0.005,1.021,0.329,1.75,0.702,0.384,0.03,0.484,0.006,0.224,0.63,0.005,0.2,0.005,4.193,0,0.078,1.226,1.731,2.821,0.546,1.11,1.594,0,0.344
129,2.764,0.449,0.75,0.214,0.781,1.86,0.005,0.055,0.005,0.476,0,0.417,0.899,2.904,2.617,0.577,0.953,0.329,0,0.685,0.396,0.514,1.303,0.714,0.161,0.216,0.571,1.915,0.284,2.15,4.718,0.135,0.489,1.838,0,0.64,0.089,0.804,0,0.004
130,0.432,2.626,0.542,1.273,0.816,0,0,0.556,0.522,0.004,0,0.511,0.003,0,0,0.004,0.9,0.634,0,0.955,0.25,0.577,1.515,0.297,0.288,1.398,0,0.741,0.847,0.099,0,0.87,0.004,2.799,3.535,0.41,0.835,0.822,4.837,0
131,2.31,0,0.625,0.396,1.119,0,0.005,0.401,0.068,1.005,0,0.187,0.101,2.204,0,0.558,0.004,0.244,0,0.004,0.346,0.358,0.612,1.196,0.331,0.485,1.054,0.342,1.285,3.084,2.833,0.394,0.005,1.363,3.479,0.008,0.004,0.004,0,0
132,0.005,1.834,0.235,0.004,0.008,0,0.008,0.005,0.002,0.188,0,0.489,0.003,1.268,0,0.004,0.508,0.257,0,0.143,0.251,0.949,1.551,0.65,0.278,0.434,1.257,1.204,0.889,2.834,0.75,0.062,0.306,0.166,0,1.262,0.478,0.265,0,0
133,1.452,2.007,0.248,0.134,0.776,0,0.314,0.734,0.441,0.303,1.176,0.246,0.296,1.086,0,0.587,0.444,0.124,6.891,0.551,0.822,0.405,0.251,0.617,0.648,0.724,1.113,0.227,0.345,1.956,1.217,0.497,0.402,0.916,0.725,2.815,0.254,0.61,2.371,1.349
134,0.12,0,0.006,0.14,0.159,3.306,0,0.006,0.343,0.033,0.057,0.282,0.847,0.307,0,0.033,0.387,0.08,0,0.291,0.007,0.598,0.221,1.295,0.751,0.524,1.012,0,0.118,0.914,0.038,0.708,0.036,2.747,0.913,4.615,0.231,0.132,1.292,4.994
135,1.831,5.322,1.828,0.04,1.202,2.55,0,0.41,0.408,1.139,0.125,0,0.008,0.047,7.947,0.007,0.005,0.006,2.748,0,0.656,0.286,0.757,3.75,0.296,0.778,0.53,3.275,0.991,0.168,2.732,0,0.659,0.559,0.195,0,1.137,0.532,0.078,1.317
136,0.005,1.065,0,0.005,0.006,1.242,0,0.115,0.948,0.012,0.139,0,0.227,0.491,2.276,0.184,0.279,0.626,0.769,0,0.722,0.705,0.419,0,0.537,0.898,0.449,3.262,1.098,0.627,0.346,0,0.37,0.602,0.403,0,0.228,0.418,1.127,0.778
137,0.698,0.833,0,0.748,0.732,2.844,1.426,0.192,0.08,0.713,0.659,0,0.523,0.577,1.081,0.383,0.657,0.849,0.691,0,0.005,0.005,0.005,3.657,0.007,0.187,0.007,0,0.005,0.005,0.254,5.131,0.321,0.006,0.643,1.444,0.491,0.006,0.394,0.005
138,0.321,0.596,4.227,1.09,1.318,0.684,1.032,1.488,1.158,0.99,0.253,4.765,0.719,0.337,1.897,2.711,0.716,0.785,2.502,5.525,0.192,0.67,0.689,0,0.293,0.427,0.774,0,0.487,0.41,0.592,0,0.647,0.684,0.978,0.482,0,0.072,0.462,0.505
139,0.386,0.802,2.654,0.508,0.415,1.467,1.045,0.363,0.592,0.429,0.005,3.229,0.078,0.441,0.114,0.421,0.512,0.643,0.017,1.548,0.25,0.196,0.342,4.391,0.164,0.102,0.172,0,0.603,0.039,0.255,2.301,0.113,0.063,0.409,0.007,3.549,0.033,0.034,0.198
140,1.354,1.046,0,0.826,0.013,0.051,0.694,0,0.316,0.049,0.105,2.249,0.025,0.862,1.463,0.941,0.742,0.078,0.601,0.546,0.105,0.009,0.281,0,0.062,0.004,0.101,0,0.709,0.004,0.655,0.004,0.926,0.502,0.278,1.174,3.775,1.196,0.388,0.19
141,0.687,0,3.955,0.397,0.007,0.004,0.004,0,0.003,0.004,0.718,2.647,1.026,0.284,0.418,1.12,0,0.003,0.005,0.004,0.525,0.483,0.427,5.442,0.165,0.413,0.543,0,0,0.151,0.003,0.004,0,0.003,0.786,0.004,0,0.003,0.608,0.003
142,0.028,0.161,4.221,0.248,0.005,0.023,0.033,0,0.093,0.032,0.23,1.682,0.333,0.227,0.223,0.346,0.266,0.545,0.235,0.784,0.852,0.027,0.07,1.976,0.084,0.111,0.049,0,0,0.043,0.039,0.204,0,0.243,0.372,0.004,0,0.226,0.08,0.004
143,0.006,0.337,1.123,4.301,0.918,0.987,0.018,0,0.921,0.949,0.45,0.051,1.712,0.022,2.065,1.387,4.892,0.482,2.859,0.589,0.111,0.753,0.097,0.047,0,0.414,0.328,2.159,0,0.013,0.082,1.012,0,0.561,0.542,0.011,0.809,0.045,0.606,0.116
144,0.054,0.005,0.072,2.183,0.111,0.007,0.343,2.847,0.031,0.148,0.238,0.984,3.589,0.605,0.03,0.713,1.814,0.243,0.558,0.355,0.133,0.511,0.62,0.136,0,0.468,0.413,1.485,6.246,0.198,0.004,1.042,0,0.059,0.308,0.935,0.179,2.052,0.259,0.058
145,0.797,0.509,1.029,0,0.148,0.197,0.389,1.235,1.613,0.591,0.51,0.42,1.365,0.378,0.096,0.11,0,0.326,0.436,0.288,0.143,0.267,0.041,0.254,2.055,0.015,0.25,0.048,1.876,0.033,0.384,0.066,1.813,0.195,0.374,0.144,0.168,0,0.091,0.148
146,0.177,0.261,0.127,0,0.005,0.118,0.57,0.864,0,0.087,0.088,0.008,0,0.132,0.288,0.108,1.542,0.009,0.196,0.006,0.286,0.276,0.005,0.184,0.096,0.092,0.302,0.632,0.547,0.468,0.269,0.321,0.064,0.144,0.327,0.051,0.566,0,0.209,0.414
147,0.012,0.079,0.021,1.648,0.045,0.009,0.147,0.09,0,0.179,0.005,0.331,1.438,0.437,0.215,0.077,1.023,0.429,0.216,0.233,0.141,1.005,0.04,0.107,0.212,0,0.008,0.054,0.193,0.005,0.025,0.307,0.286,2.327,0.452,0.566,0.038,0,0.353,0.499
148,1.29,0.005,1.393,2.256,2.993,1.572,1.581,1.416,0,0.656,0.522,1.61,0.752,0.62,0.141,0.755,0.968,1.229,0.685,0.7,0.703,0,0.005,0.345,0.957,0,0.664,1.043,1.859,2.875,0.005,0.005,0.006,0,0.006,0.004,0.007,5.698,0.022,0.006
149,1.229,0.007,0.549,1.571,1.193,0.27,0.808,0.955,0,0.906,0.005,0.006,2.5,1.186,0.519,0.005,1.089,0.877,0.131,0.847,0.438,0,0.518,1.26,1.932,0,0.703,0.687,0.84,0,0.01,0.005,0.007,4.39,0.005,0.006,0.006,4.06,0.01,0.006
150,0.181,0.006,0.39,0.916,1.212,0.298,0.005,0.537,3.061,0.004,0.928,1.069,1.972,1.84,0.774,1.513,0.9,2.463,0.004,0.548,0.235,0,0.007,0.064,0.31,0,0.175,0.047,0.216,0,1.023,1.007,0.004,2.257,0.536,1.094,0.732,0,0.339,0.896
151,1.309,0.085,0.227,0.849,0,0.507,0.248,0.213,0.076,0.243,0.041,0.188,1.203,2.358,0.23,0.208,0.646,1.164,0.072,0.166,0.003,0,0.123,0.139,0.003,0,0.003,0.156,0.189,5.768,0.039,0.006,0.478,2.211,0.005,0.034,0.007,2.728,0.007,0.005
152,4.098,0.106,0.353,0.838,0,0.008,0.337,0.553,2.205,2.006,0.959,1.196,1.014,0,1.019,0.006,0.308,0,0.946,0.215,0.393,2.457,0.005,0.17,0.199,0,0.37,0.357,0.006,0,0.385,0.683,0.564,0,1.094,1.31,1.452,2.484,3.659,0.855
153,0,1.388,1.196,0.105,0,0.126,0.986,0.061,3.253,5.382,0.655,2.021,2.143,6.819,1.193,0.807,0.395,4.246,1.041,1.19,0.101,0.211,0.017,0.441,0.708,6.287,0.922,0.231,0.049,0,0.531,1.023,0.858,6.021,4.608,0.154,0.126,3.508,0,1.161
154,5.367,0.02,0.086,0.005,0,0.057,0.005,0.068,0.057,0,0.006,0.11,0.209,0,0.384,0.126,0.438,0.73,0.137,0.148,0.006,1.111,0.447,0.131,0.51,1.3,1.415,0.225,0.188,0,2.457,0.491,0.428,1.865,0,0.445,0.062,0.24,0,0.173
155,0.776,0.805,1.547,0.369,1.439,0.314,0.153,0.328,1.402,4.987,0.805,0.709,0.12,0,1.607,0.453,1.503,0.42,0.093,0.546,0.874,0.022,2.154,0.005,0.758,1.102,0,0.175,0.003,0,0,0.795,0.69,1.612,3.353,0.74,0.863,1.64,4.671,0.158
156,0.501,1.191,0.844,0.192,1.428,0.574,0.575,1.203,0.443,0,0.459,0.331,0.121,3.93,0.284,0.088,0.006,0.021,0.07,0.042,0.336,1.18,2.462,0.531,0.338,2.332,2.863,0.586,0.958,0,4.378,1.382,0.877,0.333,3.866,0.006,0.057,0.007,2.392,0.004
157,0.162,3.227,1.106,0.372,1.69,0.035,0.756,0.104,2.814,2.114,3.989,1.005,0.593,1.334,1.701,0.087,1.302,0.206,1.778,0.662,0.238,0.189,0,0.029,0.098,0.049,0,0.198,0.005,3.524,0,0.03,0.88,0.227,0,0.607,1.238,0.276,0.444,0.057
158,0.796,0,1.412,0.359,4.825,0,0.005,0.608,0.603,1.746,0,0.864,0.384,1.95,2.257,0.311,0.005,0.562,0,0.011,0.465,0.907,0,0.228,0.651,1.386,0,0.622,0.839,2.445,4.603,0.005,0.008,0.007,4.648,0.005,0.005,0.005,0.006,0
159,0.467,0,0.578,0.02,0.435,0,0.004,0.377,0.005,0.316,2.617,0.055,0.113,0.963,0,0.02,0.004,0.045,4.386,0.007,0.171,0.498,0,0.429,0.522,0.202,0,0.311,0.211,1.942,1.413,0.004,0.446,0.191,1.026,0.415,0.122,0.083,0.127,1.335
160,0.761,4.006,0.007,0.473,1.112,0,0.491,0.934,1.369,1.696,0.449,0.749,0.2,1.521,0,0.371,1.266,0.952,0,1.216,0.006,0.005,6.126,0.007,0.006,0.007,2.799,0.006,0.006,2.047,1.591,0.004,0.864,0.112,0.197,3.768,0.962,0.683,2.335,2.661
161,1.203,0,0.457,0.005,1.429,0,0,0.006,0.232,0.927,0.102,0.258,0.851,0.997,0,0.007,0.365,0.008,5.368,0.006,0.412,0.064,3.153,1.065,0.705,0.802,1.035,1.535,0.386,4.496,1.392,0,0.626,0.261,0.006,4.659,0.009,0.006,0.204,0
162,0.122,1.443,0.049,0.049,0.449,2.387,0.404,0.62,1.279,0.333,0.383,0.148,0.434,0.591,0,0.486,0.355,0.699,3.763,1.624,0.094,0.105,1.03,0,0.148,0.167,0.116,1.703,0.222,0.151,1.092,0,0.989,0.511,1.397,3.421,0.476,0.378,1.104,3.691
163,0.077,1.862,1.713,0.284,0.583,2.053,0.005,0.86,1.123,0.219,0.007,1.006,0.133,0.061,2.014,0.399,0.341,0.15,0,0,0.309,0.294,0.887,3.665,0.443,0.404,0.3,3.382,0.44,0.031,1.782,0,0.226,0.283,0.454,4.464,0.472,0.401,0.441,0.53
164,0.292,1.049,1.793,0.436,0.331,0.68,0.006,0.109,0.046,0.311,0.086,0,0.238,0.053,0.761,1.778,0.337,0.118,1.548,0,0.004,0.262,0.006,2.358,0.006,0.004,0.004,0,0.005,0.005,0.172,0,0.025,0.469,0.142,2.265,0.004,0.244,0.112,0.526
165,0.868,0.257,2.602,0.148,0.007,1.568,0.544,0.484,0.005,0.006,0.245,0,0.633,0.515,1.103,0,0.647,0.006,1.037,0,0.707,0.804,1.837,0,0.662,0.741,1.187,0,1.116,0.849,0.37,6.647,0.207,0.155,0.091,0.948,0.37,0.302,0.453,0.005
166,1.261,3.036,1.61,1.893,0.638,2.642,0.626,1.724,0.816,0.365,0.007,0,0.367,0.553,1.758,0,0.796,0.902,0.614,2.767,0.005,0.61,0.269,0,0.01,0.432,0.129,0,0.007,0.438,0.37,2.692,0.22,0.168,0.542,0.238,3.427,0.228,0.683,0.929
167,0.004,1.417,2.691,0.888,0.003,0.764,0.005,0,0.007,0.009,0.008,0,2.361,0.006,1.83,0,0.003,0.267,2.192,1.364,0.725,0.349,0.583,6.034,0.228,0.007,0.437,0,1.096,0.034,0.563,0.004,0.006,0.011,0.004,0.007,3.703,0.007,0.177,0.158
168,0.006,0.771,3.227,0.257,0.392,1.162,0.168,0,0.475,0.399,0.17,2.322,0.181,0.006,1.1,0,0.786,0.256,0.492,0.107,0,0.205,0.122,2.686,0.005,0.278,0.469,3.679,0,0.03,0.848,1.079,0.618,0.461,0.674,0.013,0.645,0.141,0.162,0.867
169,0.74,0.44,3.293,0.209,0.202,0.122,0.974,5.492,0.009,0.011,0.098,1.065,0.412,0.289,0.273,2.663,1.713,0.027,0.442,0.638,0,0.215,0.256,0.444,0,0.266,0.242,0.539,0,0.268,0.485,1.768,3.198,0.286,0.155,0.822,2.942,1.162,0.718,0.024
