kbdirty,aceph01,aceph02,aceph03,aceph04
296,20352.0,11972.0,12068.0,13380.0
297,17284.0,8740.0,10144.0,16072.0
298,18880.0,9888.0,11340.0,16744.0
299,23864.0,17176.0,17128.0,13844.0
300,21784.0,18572.0,16172.0,17772.0
301,18372.0,15768.0,12500.0,17116.0
302,14664.0,13784.0,11180.0,17960.0
303,11340.0,15920.0,10712.0,14744.0
304,11960.0,17320.0,14284.0,12876.0
305,14952.0,14484.0,16108.0,16404.0
306,15616.0,14616.0,15340.0,13472.0
307,22132.0,19844.0,21356.0,12136.0
308,20316.0,19664.0,17232.0,13228.0
309,10084.0,16832.0,12300.0,12680.0
310,9704.0,11596.0,11280.0,10892.0
311,15868.0,14472.0,14628.0,9504.0
312,21472.0,15064.0,18484.0,12356.0
313,20008.0,14280.0,19148.0,16896.0
314,26664.0,17092.0,24456.0,15772.0
315,24572.0,18268.0,23156.0,21792.0
316,20908.0,19428.0,22756.0,21356.0
317,15304.0,18804.0,17524.0,20300.0
318,12516.0,14052.0,9996.0,16564.0
319,12632.0,14932.0,10700.0,10496.0
320,15024.0,16652.0,10544.0,11792.0
321,16848.0,12676.0,14976.0,13012.0
322,15580.0,9912.0,14360.0,13512.0
323,14672.0,10448.0,14488.0,11300.0
324,12468.0,8848.0,12716.0,10088.0
325,12148.0,7924.0,10424.0,8896.0
326,15004.0,10472.0,9356.0,8548.0
327,14188.0,9752.0,7756.0,9420.0
328,15152.0,11852.0,11664.0,7240.0
329,14668.0,10912.0,13396.0,9780.0
330,16372.0,13604.0,13488.0,12916.0
331,16684.0,20028.0,15176.0,14892.0
332,20624.0,20008.0,12520.0,21576.0
333,17856.0,19436.0,12208.0,25888.0
334,19584.0,18848.0,17856.0,19644.0
335,20904.0,18892.0,21300.0,16732.0
336,20000.0,15952.0,23440.0,17044.0
337,15864.0,17648.0,23004.0,10084.0
338,17496.0,16576.0,20328.0,8932.0
339,10632.0,15520.0,14784.0,12640.0
340,9256.0,13836.0,11892.0,14840.0
341,11684.0,14144.0,10236.0,13428.0
342,15692.0,10948.0,8984.0,15408.0
343,18088.0,11060.0,10004.0,14740.0
344,19088.0,16796.0,18524.0,9184.0
345,18052.0,19392.0,17128.0,13608.0
346,13560.0,15144.0,12536.0,17148.0
347,13032.0,12816.0,13644.0,16752.0
348,8836.0,8500.0,10360.0,15692.0
349,11336.0,9032.0,12060.0,10416.0
350,9816.0,9704.0,10316.0,10164.0
351,12768.0,13096.0,12796.0,9400.0
352,13464.0,15872.0,17972.0,12892.0
353,11312.0,15528.0,15900.0,13224.0
354,13500.0,19580.0,19112.0,14276.0
355,18356.0,17100.0,19144.0,19928.0
356,18924.0,14516.0,12120.0,18612.0
357,17960.0,10632.0,8492.0,14372.0
358,14440.0,9580.0,6952.0,8400.0
359,14540.0,9724.0,4752.0,7440.0
360,18916.0,15508.0,11568.0,7632.0
361,19684.0,13268.0,13636.0,18360.0
362,16080.0,9044.0,12364.0,19316.0
363,15316.0,6572.0,11936.0,15440.0
364,13032.0,6504.0,10748.0,12116.0
365,10784.0,6524.0,7480.0,6360.0
366,10728.0,9848.0,5536.0,5292.0
367,13884.0,13820.0,12660.0,5228.0
368,14284.0,13880.0,11996.0,9772.0
369,13664.0,10156.0,12576.0,12164.0
370,17116.0,11312.0,18672.0,10720.0
371,23228.0,15812.0,21748.0,13060.0
372,27508.0,18260.0,16180.0,16692.0
373,26476.0,16016.0,14568.0,16652.0
374,18652.0,17152.0,10824.0,19888.0
375,16812.0,20652.0,13528.0,18772.0
376,17232.0,23516.0,17248.0,21304.0
377,17120.0,15480.0,18372.0,19020.0
378,14612.0,12584.0,16032.0,13512.0
379,8976.0,11688.0,10536.0,10320.0
380,11688.0,13840.0,11840.0,9744.0
381,11668.0,11856.0,14368.0,14488.0
382,10604.0,8208.0,9120.0,18012.0
383,8560.0,8820.0,10788.0,17908.0
384,9340.0,8580.0,11068.0,17096.0
385,17016.0,15160.0,15708.0,15948.0
386,14848.0,16952.0,19764.0,17888.0
387,17596.0,18156.0,17852.0,16076.0
388,21432.0,16364.0,16700.0,11552.0
389,18336.0,10892.0,14612.0,12516.0
390,25868.0,16616.0,17364.0,14500.0
391,18332.0,14712.0,16492.0,22192.0
392,16292.0,15092.0,13936.0,23324.0
393,15376.0,15684.0,14112.0,20012.0
394,18628.0,20884.0,14356.0,11020.0
395,16260.0,15488.0,16000.0,12480.0
396,14104.0,11732.0,11536.0,10628.0
397,16260.0,14484.0,12744.0,9688.0
398,14788.0,14836.0,15720.0,11092.0
399,13204.0,13300.0,14576.0,12712.0
