kbbuffers,aceph01,aceph02,aceph03,aceph04
283,9980.0,908.0,1188.0,916.0
284,10012.0,908.0,1196.0,916.0
285,10044.0,916.0,1196.0,916.0
286,10060.0,916.0,1196.0,924.0
287,10068.0,916.0,1196.0,924.0
288,10092.0,916.0,1196.0,924.0
289,10124.0,916.0,1204.0,924.0
290,10156.0,924.0,1204.0,924.0
291,10204.0,924.0,1204.0,932.0
292,10240.0,924.0,1204.0,932.0
293,10256.0,924.0,1204.0,932.0
294,10288.0,924.0,1212.0,932.0
295,10320.0,932.0,1212.0,932.0
296,10352.0,932.0,1212.0,940.0
297,10384.0,932.0,1212.0,940.0
298,10416.0,932.0,1212.0,940.0
299,10448.0,932.0,1220.0,940.0
300,10472.0,940.0,1220.0,940.0
301,10480.0,940.0,1220.0,948.0
302,10512.0,940.0,1220.0,948.0
303,10528.0,940.0,1220.0,948.0
304,10544.0,940.0,1228.0,948.0
305,10576.0,948.0,1228.0,948.0
306,10608.0,948.0,1228.0,956.0
307,10640.0,948.0,1228.0,956.0
308,10672.0,948.0,1232.0,956.0
309,10704.0,948.0,1236.0,956.0
310,10736.0,956.0,1236.0,956.0
311,10768.0,956.0,1236.0,964.0
312,10800.0,956.0,1236.0,964.0
313,10832.0,956.0,1236.0,964.0
314,10848.0,956.0,1244.0,964.0
315,10872.0,964.0,1244.0,964.0
316,10880.0,964.0,1244.0,972.0
317,10912.0,964.0,1244.0,972.0
318,10928.0,964.0,1244.0,972.0
319,10944.0,964.0,1252.0,972.0
320,10976.0,972.0,1252.0,972.0
321,11008.0,972.0,1252.0,980.0
322,11040.0,972.0,1252.0,980.0
323,11072.0,972.0,1252.0,980.0
324,11104.0,972.0,1260.0,980.0
325,11136.0,980.0,1260.0,980.0
326,11168.0,980.0,1260.0,988.0
327,11200.0,980.0,1260.0,988.0
328,11232.0,980.0,1260.0,988.0
329,11264.0,980.0,1268.0,988.0
330,11264.0,988.0,1268.0,988.0
331,11296.0,988.0,1268.0,996.0
332,11328.0,988.0,1268.0,996.0
333,11344.0,988.0,1268.0,996.0
334,11360.0,988.0,1276.0,996.0
335,11392.0,996.0,1276.0,996.0
336,11424.0,996.0,1276.0,1004.0
337,11456.0,996.0,1276.0,1004.0
338,11472.0,996.0,1276.0,1004.0
339,11504.0,996.0,1284.0,1004.0
340,11536.0,1004.0,1284.0,1004.0
341,11568.0,1004.0,1284.0,1012.0
342,11600.0,1004.0,1284.0,1012.0
343,11632.0,1004.0,1284.0,1012.0
344,11664.0,1004.0,1292.0,1012.0
345,11672.0,1012.0,1292.0,1012.0
346,11696.0,1012.0,1292.0,1020.0
347,11728.0,1012.0,1292.0,1020.0
348,11744.0,1012.0,1292.0,1020.0
349,11760.0,1012.0,1300.0,1020.0
350,11792.0,1020.0,1300.0,1020.0
351,11824.0,1020.0,1300.0,1028.0
352,11856.0,1020.0,1300.0,1028.0
353,11872.0,1020.0,1300.0,1028.0
354,11904.0,1020.0,1308.0,1028.0
355,11936.0,1028.0,1308.0,1028.0
356,11968.0,1028.0,1308.0,1036.0
357,12020.0,1028.0,1308.0,1036.0
358,12320.0,1028.0,1308.0,1036.0
359,12608.0,1028.0,1316.0,1036.0
360,12672.0,1036.0,1316.0,1036.0
361,12704.0,1036.0,1316.0,1044.0
362,12736.0,1036.0,1316.0,1044.0
363,12768.0,1036.0,1316.0,1044.0
364,12800.0,1036.0,1324.0,1044.0
365,12832.0,1044.0,1324.0,1044.0
366,12864.0,1044.0,1324.0,1052.0
367,12880.0,1044.0,1324.0,1052.0
368,12912.0,1044.0,1324.0,1052.0
369,12944.0,1044.0,1332.0,1052.0
370,12976.0,1048.0,1332.0,1052.0
371,13008.0,1052.0,1332.0,1060.0
372,13016.0,1052.0,1332.0,1060.0
373,13216.0,1052.0,1332.0,1060.0
374,13248.0,1052.0,1340.0,1060.0
375,13280.0,1056.0,1340.0,1060.0
376,13312.0,1060.0,1340.0,1068.0
377,13344.0,1060.0,1340.0,1068.0
378,13376.0,1060.0,1340.0,1068.0
379,13408.0,1060.0,1348.0,1068.0
380,13440.0,1064.0,1348.0,1068.0
381,13472.0,1068.0,1348.0,1076.0
382,13504.0,1068.0,1348.0,1076.0
383,13536.0,1068.0,1348.0,1076.0
384,13552.0,1068.0,1356.0,1076.0
385,13568.0,1072.0,1356.0,1076.0
386,13600.0,1076.0,1356.0,1084.0
387,13616.0,1076.0,1356.0,1084.0
388,13632.0,1076.0,1356.0,1084.0
389,13648.0,1076.0,1364.0,1084.0
390,13680.0,1076.0,1364.0,1084.0
391,13712.0,1084.0,1364.0,1092.0
392,13744.0,1084.0,1364.0,1092.0
393,13776.0,1084.0,1364.0,1092.0
394,13808.0,1084.0,1372.0,1092.0
395,13840.0,1084.0,1372.0,1092.0
396,13872.0,1092.0,1372.0,1100.0
397,13904.0,1092.0,1372.0,1100.0
398,13936.0,1092.0,1372.0,1100.0
399,13952.0,1092.0,1380.0,1100.0
