stat_bytes_used,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
30,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294840201216,334587695104,256906428416,290107113472,282681683968,335682674688,353780527104,267468591104,290722766848,263166304256,342009901056,301177602048,285261717504,287513530368,322211196928,330232193024,289294221312,270978142208,296922419200,377319256064,276365754368,317347840000,269526593536,274424967168,301298896896,318075506688,307479736320,294186377216,287023644672,346438119424,342323871744,264126607360
31,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294842298368,334587695104,256906428416,290111307776,282681683968,335682674688,353780527104,267468591104,290722766848,263166304256,342009901056,301177602048,285261717504,287513530368,322211196928,330232193024,289294221312,270978142208,296922419200,377319256064,276365754368,317347840000,269526593536,274424967168,301298896896,318075506688,307479736320,294186377216,287023644672,346438119424,342323871744,264126570496
32,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294842298368,334587695104,256906428416,290111307776,282681683968,335682674688,353780527104,267468591104,290722766848,263168401408,342009901056,301181796352,285261717504,287513530368,322211196928,330232193024,289294221312,270978142208,296922943488,377319256064,276365754368,317347840000,269526593536,274418843648,301298876416,318075506688,307479736320,294186377216,287023644672,346438119424,342323871744,264126570496
33,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294842298368,334587695104,256910659584,290111307776,282681683968,335683747840,353780527104,267468591104,290722766848,263168401408,342009901056,301181796352,285261717504,287513530368,322211196928,330232193024,289294221312,270969540608,296922943488,377319256064,276365754368,317347840000,269526593536,274418843648,301298876416,318075506688,307479736320,294186377216,287023644672,346438119424,342323871744,264126570496
34,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294842298368,334587695104,256910659584,290111307776,282681683968,335683747840,353780527104,267468591104,290722766848,263168401408,342009901056,301181796352,285261717504,287513530368,322211196928,330232193024,289294221312,270969540608,296922943488,377319256064,276365754368,317347840000,269526593536,274418843648,301298876416,318075506688,307479736320,294186377216,287023644672,346438119424,342324416512,264126570496
35,304605347840,305255256064,296981364736,283627909120,301785538560,327120244736,230392385536,325781229568,294842298368,334587695104,256910659584,290111307776,282681683968,335683747840,353780527104,267468591104,290722766848,263168401408,342009901056,301181796352,285261717504,287513530368,322211196928,330234290176,289294221312,270969540608,296922943488,377319256064,276365754368,317347840000,269526593536,274418843648,301298876416,318075506688,307479736320,294186377216,287023644672,346442350592,342324416512,264126570496
36,304609579008,305255256064,296981364736,283627909120,301789769728,327120244736,230394482688,325781229568,294842298368,334587695104,256910659584,290111307776,282681683968,335683723264,353773633536,267468591104,290722766848,263168401408,342009901056,301181796352,285261717504,287517761536,322211196928,330234290176,289294221312,270970327040,296922943488,377319256064,276365754368,317347840000,269526593536,274418843648,301299949568,318075506688,307479736320,294186377216,287023644672,346442350592,342324396032,264126570496
37,304609579008,305255256064,296973877248,283627909120,301789769728,327120244736,230394544128,325785423872,294842298368,334587695104,256910622720,290111307776,282681683968,335683723264,353773633536,267468591104,290722766848,263168401408,342009901056,301181796352,285261717504,287517761536,322211196928,330234290176,289294221312,270970327040,296922943488,377319256064,276365754368,317347840000,269526593536,274418843648,301299949568,318075506688,307483967488,294186377216,287023644672,346442350592,342324396032,264126570496
38,304609579008,305255256064,296974139392,283627909120,301789769728,327120244736,230394544128,325785423872,294842298368,334587695104,256910622720,290111307776,282681683968,335683723264,353773895680,267468591104,290722766848,263168401408,342003793920,301181796352,285261717504,287517724672,322213269504,330234290176,289294221312,270970327040,296922943488,377319256064,276365754368,317347840000,269526593536,274419896320,301299949568,318075506688,307483967488,294179086336,287023644672,346442313728,342324396032,264126570496
39,304609579008,305255256064,296974139392,283627909120,301789769728,327120244736,230394482688,325785423872,294842298368,334587695104,256910622720,290111307776,282681683968,335683723264,353773895680,267468591104,290722766848,263168401408,342003793920,301181796352,285261717504,287517724672,322213269504,330234290176,289294221312,270970327040,296922943488,377322434560,276365754368,317347840000,269526593536,274419896320,301299949568,318075506688,307483967488,294179086336,287023644672,346442313728,342324396032,264126570496
40,304609542144,305255256064,296974139392,283627909120,301789732864,327120244736,230394482688,325785423872,294842298368,334587695104,256910622720,290111307776,282681683968,335683723264,353775472640,267468591104,290722766848,263168401408,342003793920,301181796352,285261717504,287517724672,322213269504,330234290176,289294221312,270970327040,296923971584,377322434560,276365754368,317347840000,269526593536,274419896320,301302022144,318075506688,307483967488,294179086336,287027838976,346442313728,342324396032,264126570496
41,304609542144,305248649216,296974139392,283627909120,301789732864,327120244736,230394482688,325785423872,294842298368,334587695104,256910622720,290111307776,282681683968,335683723264,353775472640,267468591104,290722766848,263168401408,342003793920,301181796352,285261717504,287517724672,322213269504,330234290176,289294221312,270971355136,296923971584,377322434560,276358647808,317347840000,269530787840,274419896320,301302022144,318075506688,307483930624,294179086336,287027838976,346442313728,342325469184,264126570496
42,304609542144,305249173504,296974139392,283627909120,301789732864,327124475904,230394482688,325785423872,294842298368,334591889408,256910622720,290111307776,282681683968,335683723264,353775472640,267468591104,290722766848,263168401408,342003793920,301181796352,285261717504,287517724672,322213269504,330234290176,289294221312,270971355136,296923971584,377322434560,276358647808,317347840000,269530787840,274419896320,301302022144,318075506688,307483930624,294179086336,287027838976,346442313728,342325469184,264126570496
43,304609542144,305249173504,296974139392,283632140288,301789732864,327124475904,230394482688,325785423872,294842298368,334591889408,256910622720,290111307776,282681683968,335683723264,353775472640,267468591104,290722766848,263168401408,342004846592,301181796352,285261717504,287517724672,322213269504,330234290176,289294221312,270971355136,296923971584,377322401792,276358647808,317347840000,269530787840,274419871744,301302022144,318079737856,307483930624,294179852288,287027838976,346442313728,342325469184,264126570496
44,304609542144,305249173504,296975716352,283632140288,301789732864,327124475904,230394482688,325785423872,294846529536,334591889408,256910622720,290111307776,282681683968,335683723264,353775472640,267468591104,290722766848,263168401408,342004846592,301181796352,285262372864,287517724672,322213269504,330234290176,289298452480,270971355136,296923971584,377322401792,276359151616,317347840000,269530787840,274419871744,301302022144,318079737856,307483930624,294179852288,287027838976,346442313728,342325469184,264126570496
