stat_bytes_avail,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
257,694900043776,694254333952,702528770048,715885391872,697721413632,672386359296,769117679616,673724080128,704669327360,664918888448,742596096000,709398310912,716833705984,663820759040,645728972800,732046577664,708786778112,736339644416,657502445568,698327666688,714253656064,711997677568,677291986944,669272252416,710219034624,728533204992,702587146240,622189244416,723144208384,682161565696,729986654208,725084643328,698209665024,681431379968,692029861888,705323544576,712487497728,653073154048,657177608192,735391776768
258,694900043776,694254333952,702528770048,715885391872,697721413632,672386359296,769117679616,673724080128,704669327360,664918888448,742596096000,709398310912,716833705984,663820759040,645729009664,732046577664,708786778112,736339644416,657502445568,698327666688,714249424896,711997677568,677291986944,669272252416,710219034624,728533204992,702587146240,622189244416,723144208384,682161565696,729986654208,725084643328,698209665024,681431379968,692025667584,705323544576,712487497728,653073154048,657177608192,735390703616
259,694900043776,694254333952,702528770048,715885391872,697721413632,672386359296,769117679616,673724080128,704669327360,664918888448,742608203776,709398310912,716833705984,663820795904,645729009664,732046606336,708786778112,736339644416,657502445568,698327666688,714249424896,711997677568,677291986944,669272252416,710219034624,728533204992,702585548800,622189244416,723144208384,682161565696,729986654208,725084643328,698209665024,681431379968,692025667584,705323544576,712487497728,653073154048,657177608192,735390703616
260,694900043776,694254333952,702528770048,715885391872,697721413632,672386359296,769117708288,673724080128,704669327360,664918888448,742608203776,709398310912,716833705984,663820795904,645729009664,732046606336,708786778112,736339644416,657502445568,698327666688,714249424896,711997677568,677291986944,669272289280,710219034624,728533204992,702585548800,622187118592,723144208384,682161565696,729986150400,725084643328,698207539200,681431379968,692025667584,705323544576,712487497728,653073154048,657177608192,735390728192
261,694900043776,694260965376,702528770048,715883294720,697721450496,672386359296,769117708288,673724080128,704667230208,664918888448,742608203776,709398310912,716833705984,663820795904,645729009664,732046606336,708786778112,736339644416,657502445568,698327666688,714249424896,711997677568,677292023808,669272289280,710216962048,728533204992,702585548800,622187147264,723144245248,682161565696,729986150400,725084643328,698207539200,681431379968,692025667584,705323544576,712487497728,653072080896,657177608192,735390728192
262,694900043776,694260965376,702528770048,715883294720,697721450496,672386359296,769117708288,673724080128,704667230208,664918888448,742608203776,709398310912,716833705984,663820795904,645729009664,732046606336,708786814976,736339644416,657502445568,698327666688,714249424896,711997677568,677292023808,669272289280,710216962048,728533204992,702585548800,622187147264,723144245248,682159951872,729985077248,725084643328,698207539200,681431379968,692025667584,705323544576,712487497728,653072080896,657177608192,735390728192
263,694900043776,694260965376,702535663616,715883294720,697721450496,672386359296,769117708288,673734705152,704667230208,664919064576,742607720448,709398310912,716829511680,663820795904,645729009664,732046606336,708786814976,736339644416,657502445568,698327666688,714249461760,711997677568,677292023808,669272289280,710216962048,728533204992,702585548800,622187147264,723144245248,682159951872,729985077248,725084643328,698207539200,681431441408,692025667584,705330409472,712487497728,653072080896,657177608192,735390728192
264,694900043776,694260461568,702534877184,715883294720,697721450496,672386359296,769117708288,673734705152,704667230208,664919064576,742607720448,709398310912,716829511680,663820795904,645729009664,732046606336,708786814976,736339644416,657498251264,698327666688,714249461760,711997677568,677292023808,669272289280,710216962048,728533204992,702585573376,622187147264,723144245248,682167676928,729985077248,725084643328,698207539200,681431441408,692025667584,705330409472,712487497728,653072080896,657177608192,735390728192
265,694900043776,694260461568,702534877184,715883294720,697721450496,672386359296,769117708288,673734705152,704667230208,664919064576,742607720448,709398310912,716829511680,663820795904,645729009664,732046606336,708786814976,736339644416,657498251264,698327666688,714249461760,711997677568,677292023808,669272289280,710216962048,728533204992,702585573376,622187147264,723144245248,682167676928,729985077248,725084643328,698207539200,681431441408,692025667584,705330409472,712487497728,653069975552,657177645056,735390728192
266,694900043776,694260461568,702534877184,715883294720,697721450496,672386359296,769117708288,673734705152,704667230208,664919064576,742607720448,709398310912,716829511680,663820795904,645729009664,732046606336,708786814976,736339644416,657498251264,698327666688,714249461760,711997677568,677292023808,669272289280,710216962048,728533204992,702585573376,622187147264,723144245248,682167676928,729985077248,725084643328,698207567872,681431441408,692025667584,705330409472,712487497728,653069975552,657177645056,735390728192
