op_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
83,0,0.03,0.629,0.014,0.005,0,0.555,0.598,0.267,0,0.538,0.945,0.185,0.009,0.556,0.307,0.012,1.388,1.616,0.638,0,0.624,0.595,0.342,0.0,0.002,0.003,0.569,0,0.979,0.504,0.61,0.047,0.541,0,0.009,1.413,0.003,3.662,0.004
84,0,0.571,0.546,0.462,0.325,0,0.006,0.107,0.191,0,0.618,0.008,0.01,1.329,0.336,0.005,0.083,0.118,0,0.011,0.225,0.262,0.194,0.17,0.246,0.086,0.184,0.007,0.223,0.369,0.007,0.007,0.004,0.006,0,0.004,0.252,0.342,0,0.903
85,0,0.005,0.006,0.041,0.21,0,0.028,0.372,0.005,0,0.464,0.004,0.318,0,0.004,0.005,0.629,0.398,0,0.278,0.004,0.687,0.879,0.25,0.004,0.26,0.007,0.706,0.28,1.426,0.0,0.004,1.931,0.004,0,1.28,0.003,0.004,0.155,0.003
86,0.716,0,0.226,0.005,1.26,0,0.004,0.087,0.005,7.009,1.766,0.34,1.365,0,0.914,0.731,0.004,0.567,0,0.646,2.344,0.198,1.672,0.006,1.508,1.528,0,2.293,0.005,0.146,0.648,0.422,1.474,2.36,0,0.005,0.482,0.939,1.061,0.004
87,0.004,0,0.005,0.141,0.152,4.023,0.005,0.059,0.248,0.122,0.088,0.005,0.003,0,0,0.005,0.004,0.004,8.957,0.01,0.105,0.004,0.027,0.72,0.349,0.085,0,0.741,0.033,0.763,0,0.105,0.332,0.007,0.886,0.002,0.004,0.005,0.003,0.176
88,1.234,2.48,0.689,0.197,0.374,0,0.23,0.095,0.555,0.55,0.003,0.169,0.004,0.47,0,0.102,0.354,0.01,0.824,0.004,0.38,0.386,0.857,0.246,0.623,0.679,0,0.913,0.774,0.599,0.41,0.763,0.353,0.282,0.069,0.958,0.188,0.005,0.61,0
89,0.482,0,0.166,0.051,0.005,0.232,0.021,0.233,0.188,0.451,1.538,1.508,0.455,0.264,4.632,1.999,0.005,0.259,0.361,0.638,0.523,0.59,0.383,0.781,0.657,0.482,0.438,0.378,0.486,0.548,0.348,0.358,0.237,0.272,0.944,0,0.828,0.541,1.637,1.013
90,1.732,0,0.797,0.082,0.293,1.029,0.008,0.876,0.144,0.758,0.516,0.535,0.005,0.005,0,0.61,0.084,0.005,0.575,0.005,0.054,0.478,0.452,0,0.36,0.7,0.316,0.802,0.174,0.166,0.497,0.004,0.499,0.248,1.15,0,0.039,0.124,0.484,0.169
91,0.145,0.75,0.079,0.265,0.287,0.009,0.006,0.06,0.711,0.124,0.163,1.171,0.155,0.167,0,0.271,1.21,0.007,0.264,0.154,0.107,0.05,0.123,0,0.023,0.16,0.082,0.073,0.06,1.472,0.012,0.087,1.579,0.191,0.052,2.463,0.019,0.018,0.291,0.097
92,0.109,0.095,0.868,0.007,0.039,0.416,0.458,0.118,0.127,0.775,0.687,0,0.204,0.999,3.215,0.213,0.023,1.38,0.005,0,1.522,1.698,1.588,0,0.559,0.801,0.579,0.471,0.957,0.028,0.257,5.079,0.008,0.642,0.173,0,1.57,0.612,0.937,0.036
93,0.004,0.966,0,0.336,0.012,0.03,0.023,0.01,0.071,0.055,0.005,0.358,0.006,0.015,0.135,0.464,0.342,0.143,0.23,0,0.024,0.155,0.051,0,0.048,0.223,0.025,0.389,0.549,0.154,0.003,0,0.13,0.046,0.292,0.248,0.048,0.035,0.024,0.36
94,0.184,0.018,4.547,0.19,0.109,0.497,0.259,0.177,0.28,0.174,0.2,0.307,0.078,0.332,0.213,1.065,0.325,0.165,0.297,0,0.456,0.7,0.632,5.484,0.213,0.38,0.297,0,0.32,0.168,0.24,0.581,0.154,0.09,0.602,0.079,0.068,0.138,0.211,0.812
95,0.005,0.547,0.088,0.444,0.003,0.008,0.697,0.008,0.441,0.087,0.005,0.01,0.141,0.263,0.585,0.008,0.256,0.223,0.561,0,0.08,0.31,0.273,7.643,0.005,0.288,0.01,0.16,0.005,0.236,0.159,0.129,0.408,0.373,0.235,0.222,0.463,0.224,0.159,0.043
96,0.337,0.53,0.433,0.434,0.007,0.505,0.299,0,0.047,0.529,0.241,1.004,0.097,0.299,0.212,0.746,0.476,0.123,0.005,0.343,0.405,0.542,0.346,0.105,0.285,0.011,0.577,0.225,1.363,0.005,0.447,0.61,0,0.569,0.036,0.552,0.525,0.481,0.537,0.05
97,0.773,0.255,0.468,0,0.274,0.796,1.107,0,0.362,0.008,0.639,0.136,0.233,0.073,0.635,0.705,0.005,0.141,0.665,0.051,0.074,0.04,0.013,0.075,0,0.005,0.005,0.013,0,0.058,0.19,0.004,0,0.595,0.463,0.005,0.098,0.177,0.59,1.549
98,0.414,0,0.278,0,0.047,0.076,0.558,0,0.6,0.242,0.004,0.077,0.006,0.014,0.04,0.35,0.173,0.008,0.575,0.307,0,0.076,0.063,0.004,1.544,0.005,0.034,0.004,1.693,0.16,0.007,0.079,0.9,0.036,0.977,0.004,0.078,0.081,0.008,0.249
99,0.453,0.31,0.003,0,0.059,0.138,0.296,0,0.928,0.439,0.004,0.188,0.537,0.099,0.299,0.528,1.671,0.223,0.08,1.165,0,0.646,0.844,0.031,0,0.612,0.535,0.311,0,0.006,0.171,0.729,0.414,1.011,0.089,0.885,0.382,0.66,0.005,0.084
100,0.231,0.018,0.215,0,0.002,0.029,0.043,0.857,0,0.288,0.799,0.01,2.405,1.057,0.07,0.012,0.023,0.451,0.535,0.635,5.255,0.482,0.014,0.009,1.168,0.476,0.284,1.037,2.526,0.01,0.351,1.087,0.08,0.444,0.348,0.361,0.739,1.773,0.69,0.75
101,0.341,0.063,0.102,0.735,0,0.01,0.259,0.284,0,0.445,0.149,0.003,0,0.131,0.109,0,2.052,0.118,0.017,0.105,4.069,0.009,0.006,0.295,0.304,0.013,0.013,0.005,0.083,0.29,0.394,0.176,0.32,0.148,0.18,0.424,0.52,0,0.152,0.095
102,0.072,0.199,0.048,0.064,1.739,0.003,0,0.224,0,0.165,0.073,0.003,0,0.888,0.113,0,0.032,0.886,0.003,1.577,0.183,0.314,0.013,0.114,0.327,0.123,0.304,0.106,0.05,0.007,0.449,0.217,0.425,0.518,0.003,0.01,0.315,0,1.056,0
103,0.006,0.001,0.008,0.002,0.273,0.0,0.0,0.263,0,0.235,0.016,1.154,0.261,0.014,0.015,1.008,0.345,0.011,0,0.014,0.035,0.205,0.292,0.282,0.181,0.22,0.054,0.164,0.114,0.002,0.084,0.143,0.002,0.029,0.004,0.293,0.042,0,0.144,0.0
104,0.004,0,0.005,0.0,0.127,0.743,0.912,0.578,0,0.002,0.001,0.21,0.002,0.0,0.003,0.066,0.003,0.003,0.467,0.003,0.003,0.406,0.003,0.003,0.254,0,0.002,0.003,0.002,5.084,0,0.001,0.0,0,0.138,0.0,0.286,0,0.003,1.239
105,0.0,0.016,0.003,0.72,0.025,0.052,0.012,0.002,1.751,0.0,0.003,0.004,0.001,0.0,0.002,0.005,1.436,0.0,0.13,0.002,0.005,0,0,1.01,0.001,0,0,2.311,0,0.904,0,0.0,0.014,0,0.075,0.926,0,0,0.0,0.061
106,1.546,0.042,0.537,0.469,0.076,0.004,0.004,1.495,0.015,0.723,1.724,0.413,0.911,0.714,0.478,0.199,0.169,0.432,0.005,1.372,0.758,0.733,0.624,0.12,1.449,0,0.613,0.984,1.269,0.282,0.437,0.444,0.088,0,0.004,0.071,0.699,4.097,0.149,0.198
107,0,0.006,0.124,0.004,0.007,0.28,0.34,0.153,0.004,0.015,0.008,0.11,0.536,0,0.316,0.048,0.003,0.042,0.9,0.175,0.56,0.103,0.215,0.055,0.331,0,0.297,0.071,0.756,0.004,0.093,0.145,0.004,5.571,0.715,0.21,0.015,0.102,0.133,0.435
108,2.264,0.201,0.104,0.223,0.003,0.048,0.02,0.151,0.987,0,0.003,0.005,0.005,1.387,0.004,0.0,0.252,0.947,0.173,0.1,0.279,0.003,0.004,0.094,0.006,0,0.318,0.283,0.478,0.237,0.244,0.271,0.229,0,0,0.004,0.327,0.047,0.402,0.005
109,0,0.101,0.605,0.004,0.01,1.332,1.017,0.386,0.075,0,0.492,0.006,1.543,0,0.355,0.006,0.016,0.16,0.0,0.701,0.62,0.262,0.282,0.008,0.198,1.363,0.209,0.007,0.006,0.704,0.005,0.135,0.088,2.521,0,0.078,0.024,1.078,0.005,0
110,0,2.553,0.061,0.007,0.178,0.01,0.385,0.009,1.673,3.242,0.126,0.405,2.121,0,0.048,0.256,0,0.08,0.005,0.411,0.005,0.169,0.127,5.436,0.655,0.074,0.053,0.243,0.15,0.0,0.04,0.004,0,0.086,0,0,0.031,0.005,0.158,0.004
111,0,0,0.893,0.006,0.349,0.153,0.211,0.768,1.731,0,0.0,0.456,0.005,8.018,0,0.005,0.006,0,0.746,0.0,2.612,0.007,3.838,1.828,0.0,0,0,0.0,0.0,1.384,1.72,0.0,0.169,0.0,0.517,0.005,0,0,0,0.146
112,0,0.301,0,0.053,0.283,0,0.069,0.103,0.162,0,0.005,0.073,0.005,0.073,0.005,0.357,0.554,0.004,0.136,0.004,1.546,0.505,0.771,0.728,1.482,0.878,0.464,1.959,2.073,1.285,1.113,0.846,0.562,0.587,0.085,1.431,0.004,0.006,0,1.577
113,1.44,0,0.184,0.005,0.753,1.541,0.239,0.168,0.152,7.504,0.68,0.041,1.214,2.067,0.82,0.003,0.331,0.836,0,0.407,1.04,0.475,0.718,0.021,0.42,0.811,0.647,1.812,0.602,0.122,0.243,0.669,0.48,1.683,0.087,0.084,0.33,1.136,0.46,0
114,0.104,0,0.007,0.223,0.77,0,0.092,0.074,0.586,0.047,0,0.617,0.194,0.088,0,0.69,0.386,0.052,0,0.421,1.508,0.501,2.92,0.33,0.754,0.487,0.01,0.934,0.224,0.358,0.079,0.223,0.582,0.539,0.002,0,0.748,0.581,1.032,0
115,1.066,0,0.279,0.004,0.199,0,0.004,0.219,0.038,0.265,0.821,0.418,0.091,0.311,0,0.519,0.062,0.134,0,0.32,0.196,0.027,0.174,0.051,0.248,0.197,0.771,0.296,0.171,1.032,0.568,0.08,0.004,0.291,0.004,3.145,0.585,0.124,2.164,0.504
116,0.002,0,0.004,0.352,0.533,1.341,0.502,0.419,0.726,0.074,0,0.085,0.222,0.004,0,0,0.375,0.005,0.338,0.147,0.003,0.002,1.067,1.614,0.003,0.004,0,0.001,0.256,0.26,0.002,0.003,0.004,0.005,1.036,3.433,0.307,0.004,0.314,0.425
117,1.987,0.521,0.257,0.185,0.14,0.378,0.054,0.005,0.294,1.395,0.829,0.223,1.102,2.406,0,1.518,0.377,0.627,0.265,0.445,0.054,0.483,0,0.716,0.559,0.551,0,0.742,0.829,1.013,0.004,0.002,1.076,0.004,0.416,0,0.003,0.004,0.005,0.779
118,1.104,0.164,0.824,0.152,0.685,0.616,0.371,0.552,0.005,0.535,0.192,0.023,0.255,0.748,6.495,0,0.168,0.622,0.3,0.166,0.421,0.494,0.717,0.815,0.692,0.531,0.375,0.526,0.208,0.587,0.529,0.522,0.395,0.666,0.006,2.668,0.995,0.781,0.947,0.015
119,0.124,0.661,0.349,0.254,0.301,1.057,0.041,0.044,0.338,0.837,0.619,0.006,0.222,1.298,5.608,0,0.519,0.145,0.158,0,0.37,0.816,1.317,0.353,0.712,0.721,0.161,0,0.792,0.089,1.136,2.596,0.112,0.696,0.109,1.087,0.724,0.822,0.668,0.529
120,0.253,0.687,0,0.649,0.301,0.563,0.005,0.191,1.117,0.272,0.181,2.544,0.534,0.101,0,0.199,0.065,0.223,0.005,0,0.145,0.3,0.324,0.406,0.055,0.285,0.318,0.274,0.196,0.006,0.368,1.449,0.409,0.221,0.011,0.124,0.094,0.004,0.161,0.008
121,0.043,0.399,0,0.543,0.115,0.361,0.71,0.384,0.196,0.201,0.04,0.286,0.035,0.006,0.333,0.047,0.307,0.015,0.204,1.559,0.208,0.667,0.849,0,0.425,0.549,0.101,0.045,0.88,0.278,0.351,0,0.009,0.307,0.527,0.01,0.607,0.49,0.289,0.375
122,0.135,0.6,0,0.339,0.011,0.169,0.309,0.082,0.24,0.006,0.005,0.312,0.22,0.277,0.106,0.659,0.353,0.181,0.006,0.094,0.108,0.01,0.278,0,0.006,0.211,0.075,0.851,0.049,0.243,0.025,0.456,0.305,0.01,0.278,0.443,0,0.057,0.005,0.161
123,0.138,0.429,0.987,0.08,0.07,0.006,0.245,0.444,0.21,0.067,0.064,0.434,0.3,0.21,0.746,0.721,0.004,0.56,0.471,0.426,0.331,0.319,0.212,4.294,0.027,0.5,0.38,0.424,0.105,0.004,0.23,0.406,0,0.452,0.199,0.007,0,0.382,0.551,0.005
124,0.136,0.332,0.099,0.474,0.763,0.616,0.89,0,0.005,0.452,0.003,0.048,0.005,0.005,0.159,0.245,1.127,0.005,0.215,0.005,0,0.147,0.456,0.145,0.138,0.004,0.143,0.075,0.547,0.006,0.265,0.003,0,0.042,0.084,0.307,0,0.005,0.005,0.006
125,0.828,0.82,1.299,0.694,0.787,0.159,0.641,0,0.235,0.129,0.103,0.172,0.21,0.319,0.664,1.495,0.573,0.091,0.051,0.566,0,0.005,0.005,0.628,0.005,0.005,0.005,0.005,0.03,0.141,0.009,0.004,0.245,0.276,0.222,0.653,0,0.497,0.443,0.076
126,0.131,0.314,0.616,0.554,0.109,0.006,0.48,2.509,0.279,0.799,0.508,0.406,0.315,0.168,0.884,1.638,2.137,0.332,0.407,0.767,0,0.32,0.55,0.183,0.182,0.656,0.308,0.538,0.298,0.049,0.034,0.38,0.14,0.047,0.004,0.009,2.085,0.255,0.182,0.488
127,0.028,0.006,0.101,0,0.073,0.302,0.967,2.446,0.626,0.197,0.047,0.131,1.087,0.103,0.107,0.135,0,0.048,0.817,0.114,0,0.306,0.055,0.004,0.661,0.158,0.196,0.076,0,0.01,0.029,0.154,0,0.066,0.139,0.699,0.19,0.142,0.226,0.526
128,0.343,0.122,0.008,2.892,0.242,0.008,0.287,0.236,0.525,0.622,0.177,0.023,0,0.588,0.005,0.073,0.863,0.236,0.144,0.407,5.395,0.22,0.004,0.791,0,0.564,0.555,0.249,0,0.039,0.004,0.545,2.684,0.135,0.23,0.783,0.425,1.089,0.271,0.108
129,0.684,0.134,0.309,0.391,1.109,0.009,0.022,1.342,0,0.833,0.462,0.337,0,0.306,0.161,0.215,0.273,0.263,0.023,1.137,0.155,0.26,0.043,0.075,0.706,0.137,0.137,0.113,0.222,0.015,0.569,0.013,0,0.556,0.014,0.249,1.522,1.648,0.62,0.015
130,0.014,0.085,0.019,0.162,0.021,0.006,0.005,1.426,0,0.344,0.102,0.58,1.8,0.314,0.021,0.284,0.085,0.128,0.015,0.235,0.124,0.234,0.22,0.014,0.347,0.343,0.404,0.131,0.157,0.012,0.005,0.213,0.645,0,0.472,0.008,0.005,0.54,0.317,1.038
131,0.108,0.005,0.122,0.005,0,0.293,0.005,0.081,4.163,0.085,0.01,1.419,0.142,0.032,0.082,0.711,0.399,0.128,0.356,0.185,0.078,0.214,0.282,0.517,0.027,0.096,0.145,0.082,0.051,0.238,0.016,0.012,0.005,0,0.147,0.564,0.008,0,0.025,0.338
132,0.007,0.006,0.007,1.037,0,1.409,0.74,0.007,0.023,0.007,0.334,0.06,0.258,0.276,0.514,0.378,0.911,0.196,0.481,0.048,0.006,1.038,0.322,0.41,0.744,0.379,0.201,0.33,0.542,0.891,0.333,0.304,0.005,0,0.281,0.119,0.119,0,0.17,0.062
133,0.35,0.088,0.312,1.67,2.701,0.005,0.522,0.516,0.382,0.007,0.293,0.229,0.887,0.65,0.468,0.012,0.751,1.064,0.509,0.425,1.211,0,0.355,0.424,0.667,0.073,0.436,0.327,0.234,0,0.408,0.132,0.092,1.638,0.282,0.027,0.088,0,0.034,0.006
134,1.58,0.296,1.303,0.301,0.037,0.044,0.341,1.43,0.46,0.429,0.37,0.306,1.338,0.003,0.606,0.069,0.632,0.613,0.091,0.355,1.568,0,0.005,0.117,1.195,0.952,1.027,1.015,1.734,3.315,0.125,0.224,0.343,0,0.009,0.005,0.081,4.386,0.253,0.006
135,0,0.182,0.285,0.014,0.28,0.018,0.306,1.135,0.012,0.005,0.159,0.408,0.057,2.734,0.947,0.034,0.018,0.021,0.391,0.455,0.15,0,0.065,0.265,0.334,0.265,0.093,0.356,0.377,0,0.398,0.133,0.097,0,0.223,0.472,1.096,0.385,0.065,0.069
136,0,0.065,0.02,0.285,0.361,0.417,0.008,0.131,0.978,0.234,0.005,0.887,0.047,0.025,0.619,0.006,0.251,0.008,0.42,0.169,0.004,4.51,0.006,0.331,0.006,0.005,0.007,0.009,0.01,0,0.154,0.308,0.38,0,0.013,0.537,0.076,0.063,0.219,0.084
137,0,0.006,0.472,0.134,0.815,1.676,0.391,0.814,0.009,1.74,0.349,0.368,0.512,0.461,0.495,0.562,0.214,0.506,0.936,0.537,0.593,0.063,0.147,0.011,0.52,0.009,0.775,0.246,0.009,0,0.281,0.669,0.009,4.698,0.671,0.015,0.085,1.085,0.524,0.299
138,0,0.218,0.176,0.242,0.88,3.182,0.005,0.159,1.136,0,0.004,0.511,0.173,0.367,0.301,0.003,0.913,0.361,0,0.15,0.011,0.046,0.069,0.005,0.028,0.014,0.013,0.158,0.228,0.423,0.93,0.009,1.133,0.343,0,0.442,0.012,0.29,0.011,0.004
139,7.379,0.165,0.694,0.135,0.004,0,0,0.044,0.005,0.3,0.496,0.168,0.304,0,1.256,0.441,0.814,0.284,0,0.616,0.286,0.024,0.329,0.574,0.158,0.513,0.005,0.129,0.004,1.059,0,0.066,0.457,0.518,2.456,0.607,1.175,0.892,0,0.003
140,0.847,1.314,0.481,0.637,0.639,0,0.004,0.034,0.348,0.056,0.006,0.28,0.8,2.605,1.009,0.003,0.9,0.302,0,0.594,0.366,0.376,0.946,0.258,0.122,0.194,0.242,1.852,0.214,0.088,3.653,0.119,0.003,1.045,0.657,0.274,0.073,0.484,0,0.0
141,0.166,0,0.407,0.317,0.114,0,0.005,0.418,0.061,0.003,1.517,0.228,0.001,0,0,0.536,0.004,0.476,0,0.765,0.129,0.463,1.214,1.027,0.184,1.118,0.003,0.635,0.77,1.366,0,0.696,0.006,0.805,0,0.003,0.479,0.471,4.341,0
142,0.889,1.067,0.573,0.003,1.049,0,0.146,0.288,0.003,0.65,0,0.221,0.079,0.035,0,0.027,0.508,0.189,5.337,0.003,0.307,0.292,0.551,0.534,0.269,0.311,0.457,0.253,0.926,1.486,0.446,0.317,0.306,1.164,0.298,0.421,0.004,0.004,0,0.079
143,0.004,1.267,0.104,0.099,0.005,0.093,0.525,0.002,0.389,0.127,0,0.005,0.003,0.405,0,0.006,0.436,0.257,0,0.107,0.163,0.57,0.925,0.532,0.178,0.288,0.714,0.795,0.736,1.129,0.308,0.047,0.34,0.124,0.608,0.639,0.478,0.264,0,0.888
144,0.813,0,0.197,0.097,0.509,0.529,0,0.542,0.153,0.196,0.296,0,0.267,0.555,0,0.112,0.355,0.111,0.307,0.491,0.671,0.343,0.185,0.758,0.494,0.525,0.81,0.117,0.296,0.617,0.535,0.251,0.034,0.595,0.181,1.177,0.218,0.439,0.157,0.721
145,0.103,3.846,0.006,0.032,0.721,0.656,0,0.005,0.312,0.021,0.044,0,0.736,0.225,0,0.354,0.006,0.056,0.137,0.136,0.008,0.526,0.169,1.521,0.595,0.428,0.801,0,0.093,0.161,0.034,0.922,0.602,2.273,0.367,0,0.172,0.108,0.315,0.435
146,1.417,0.174,1.168,0.005,0.267,1.272,0.2,0.354,0.741,0.83,0.077,4.304,0.006,0.038,7.307,0.878,0.227,0.006,0.23,0.007,0.572,0.269,0.687,0,0.221,0.688,0.481,2.771,0.853,0.504,1.825,0,0.288,0.398,0.479,0,1.019,0.511,0.063,0.006
147,0.005,0.284,0.006,0.612,0.013,0.565,0.455,0.078,0.054,0.01,0.087,0.691,0.145,0.383,0.072,0.25,0.58,0.4,0.836,0,0.393,0.607,0.346,2.892,0.409,0.674,0.407,2.959,0.885,0.005,0.341,0,0.303,0.565,0.942,0.43,0.202,0.402,0.654,0.503
148,0.452,0.297,0,0.885,0.005,0.664,0.473,0.116,0.773,0.598,0.565,0.115,0.523,0.523,0.383,0.872,0.589,0.726,0.013,0,0.004,0.004,0.004,0,0.006,0.104,0.005,0,0.005,0.402,0.178,2.777,0.545,0.007,0.335,0.174,0.112,0.006,0.302,0.149
149,0.215,0.445,0.515,0.406,0.004,0.043,0.635,0.958,0.406,0.555,0.175,0.769,0.593,0.263,0.86,0.56,0.398,0.542,0.402,2.965,0.161,0.599,0.652,0.6,0.254,0.38,0.705,0,0.468,0.036,0.468,0,0.08,0.589,0.258,0.006,0,0.059,0.389,0.176
150,0.252,0.764,0.29,0.652,0.736,0.002,0.003,0.101,0.268,0.307,0.005,0.804,0.051,0.349,0.081,0.28,0.551,0.54,0.004,0.16,0.214,0.165,0.301,0,0.14,0.087,0.141,0,0.432,0.003,0.214,0.21,0.354,0.05,0.786,0.595,1.511,0.025,0.025,0.003
151,1.257,0.004,0,0.397,0.07,0.017,0.027,0,0.003,0.047,0.1,0.041,0.021,0.604,0.771,1.221,0,0.053,0.165,0.138,0.101,0.013,0.252,1.429,0.056,0.003,0.101,0,0.718,0.111,0.618,0.004,0,0.449,0.296,0.003,1.05,1.064,0.344,0.003
152,0.516,0.14,3.0,0.167,0.115,0.75,0.015,0,0.071,0.004,0.479,0.648,1.026,0.191,0.349,0.622,0.231,0.003,2.007,0.001,0.297,0.451,0.342,0.091,0.125,0.366,0.511,0,0.004,0.035,0.002,0.002,0,0.002,0.493,0.004,0,0.003,0.608,0.102
153,0.02,0.191,0.7,1.697,0.005,0.006,0.222,0,0.653,0.021,0.208,0.359,0.253,0.173,0.158,0.078,1.262,0.426,0.514,0.457,0.043,0.021,0.04,0.031,0.042,0.066,0.03,0.208,0.005,0.01,0.032,0.166,0,0.237,0.285,0.01,1.977,0.186,0.066,0.048
154,0.006,0.005,0.467,1.689,0.033,0.151,0.314,0,0.022,0.734,0.391,0.007,0.977,0.019,1.604,0.083,1.284,0.386,0.379,0.312,0.064,0.531,0.059,0.088,0.0,0.297,0.204,0.102,0,0.111,0.066,0.641,0,0.465,0.335,0.854,0.106,0.036,0.52,0.133
155,0.034,0.457,0.043,0,0.722,0.085,0.504,0.531,0.423,0.097,0.217,0.246,2.21,0.521,0.026,0.059,0.034,0.216,0.164,0.303,0.071,0.422,0.344,0.195,0,0.357,0.319,0.625,2.374,0.025,0.004,0.865,0.205,0.052,0.278,0.126,0.134,0.948,0.223,0.362
156,0.712,0.239,0.696,0,1.218,0.008,0.107,0.305,0,0.479,0.476,1.454,0.227,0.245,0.08,0.502,0.309,0.274,0.18,0.258,0.087,0.19,0.024,0.149,0.366,0.012,0.18,0.028,0.068,0.415,0.305,0.05,0.047,0.144,0.372,0.039,0.136,0,0.073,0.45
157,0.135,0.052,0.106,0.196,2.543,1.365,1.111,0.375,0,0.075,0.068,0.006,0.862,0.1,0.21,0.005,0.233,0.01,0.576,0.006,0.247,0.238,0.005,0.096,0.035,0.042,0.278,0.302,0.325,0.005,0.21,0.272,0.242,0.122,0.009,0.502,0.495,0,0.151,0.005
158,0.01,0.005,0.018,0.556,0,0.201,0.691,0.054,0,0.118,0.004,0.704,0.297,0.327,0.157,1.153,0.642,0.308,0.081,0.19,0.13,0.373,0.04,0.336,0.153,0,0.007,0.051,0.123,1.093,0.022,0.261,0.005,0.885,0.004,0.004,0.035,0,0.317,0.005
159,1.113,0.006,1.275,0.747,4.274,0.211,0.004,1.176,0,0.49,0.387,0.17,0.322,0.435,0.121,0.176,0.805,0.992,0.004,0.534,0.712,0,0.005,1.231,0.794,0,0.644,1.029,1.267,0,0.005,0.005,0.007,0,0.503,0.005,0.008,5.441,0.024,0.9
160,1.051,0.005,0.473,0.393,0,0.482,0.23,0.748,0.734,0.748,0.004,1.037,1.134,0.83,0.385,0.006,0.726,0.67,0.068,0.584,0.39,2.001,0.417,0.061,1.449,0,0.681,0.548,0.733,0,0.008,0.005,0.004,2.515,0.005,1.011,0.005,0.133,0.007,0.005
161,0.128,0.065,0.205,0.715,0,0.008,0.219,0.334,0.076,0.005,0.719,1.788,1.103,1.196,0.666,0.742,0.659,0.674,0.847,0.398,0.198,0,0.006,0.123,0.301,0,0.244,0.044,0.208,4.863,0.815,0.768,0.317,0.071,0.777,0.028,0.668,0,0.304,0.855
162,0.409,0.07,0.229,0.455,0.052,0.087,0.858,0.24,0.697,0.168,0.036,0.089,1.141,0.59,0.239,0.114,0.27,0.168,0.952,0.192,0.003,0,0.099,0.14,0.003,0,0.003,0.127,0.189,0,0.028,0.005,0.487,0.374,1.882,1.137,0.006,0.722,0.006,0.934
163,0.4,1.141,0.266,0.085,0.371,0.048,0.004,0.345,1.511,0.583,0.79,0.607,0.91,1.025,0.9,0.327,0.343,0,0.122,0.186,0.334,0.205,0.004,0.372,0.176,0,0.287,0.262,0.005,0,0.384,0.429,0.711,0,0.125,0.125,1.15,1.031,0.918,0.153
164,0,0.018,1.032,0.005,0.793,0.19,0.089,0.053,0.042,1.348,0.507,0.234,1.758,5.798,1.068,0.053,0.354,1.094,0.07,0.966,0.075,0.063,0.015,0.099,0.45,1.165,0.79,0.199,0.038,0,0.455,0.853,0.373,0.99,3.353,0.339,0.103,2.051,0,0.123
165,0.72,0.495,0.064,0.233,2.127,0.405,0.475,0.041,0.518,0,0.006,0.94,0.166,0,0.347,0.053,1.14,0.325,0.028,0.13,0.005,0.461,0.326,0.005,0.429,0.131,0.984,0.151,0.139,0,0.292,0.344,0.644,0.668,2.753,0.71,0.056,0.107,0,0.004
166,0.412,0.89,1.14,0.158,0.355,0.023,0.61,0.197,0.33,3.227,0.62,0.757,0.107,0,1.372,0.274,0.006,0.314,0.227,0.468,0.811,0.017,0.809,0.474,0.531,0.284,0.083,0.129,0.003,0,0.242,0.699,0.752,1.174,0,0.005,0.834,1.346,3.659,0.039
167,0.256,1.114,0.59,0.293,1.081,0,0.005,0.846,2.315,0,0.343,0.04,0.101,0.421,0.202,0.017,0.932,0.017,0,0.025,0.295,0.796,1.12,0.026,0.307,1.138,0.534,0.517,0.936,0.031,4.378,1.053,0.848,0.245,0.876,0.555,0.044,0.006,0.513,0.004
