subop_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
83,0.002,0.002,2.192,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.002,1.518,0.003,0.003,0.004,1.292,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.003,0.002,0,0.003,0.002,0.002,1.509,0.003,0.003,0.002,1.113,0.003,0.003,0.004,0.003
84,0.002,0.002,1.021,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,1.385,0.002,0.002,0.002,0.135,0.001,0.002,0.002,3.982,0.002,0.002,0.002,0,0.002,0.002,0.002,0.856,0.002,0.002,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002
85,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0,0.004,0.006,0.003,1.275,0.027,0.012,0.019,0.005,0.012,0.014,0.016,2.469,0.003,0.005,0.005,4.18,0.004,0.002,0.009,0.011,0.003,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.472,0.003,0.004,0.002
86,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0,0.002,0.003,0.002,0.009,0.002,0.003,0.003,0.003,0.002,0.003,0.002,0.148,0.161,0.002,0.002,2.307,0,0.002,0.002,0.002,0,0.002,0.002,0.001,0,0.002,0.002,0.002,0.002,0.002,0.003,0.002
87,0.006,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.662,0,0.001,0.002,0.035,1.479,0.002,0.002,0.002,1.679,0.002,0.001,0.001,0,0.002,0.002,0.002,0.002,0.002,0.003,0.001
88,0.002,0.001,0.002,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.001,0.002,0,0.002,0.002,0.001,1.926,0.001,0.001,0.001,0,0.001,0.002,0.001,1.737,0.001,0.003,0.001,0.003,0.003,0.002,0.002
89,0.003,0.003,0.003,0,0.003,0.003,0.002,2.823,0.002,0.003,0.002,0.003,0.302,0.003,0.002,0.002,0.406,0.003,0.002,0.002,0,0.002,0.003,0.004,2.906,0.002,0.002,0.003,2.776,0.002,0.002,0.002,0.395,0.003,0.003,0.002,0.003,0.002,0.003,0.002
90,0.002,0.002,0.002,0,0.002,0.002,0.002,0.003,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.067,0.002,0.002,0.004,2.639,0.002,0.003,0.003,0.925,0.002,0.002,0.002,0.068,0.002,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0,0.002,0.001
91,0.003,0.004,0.005,2.215,0.003,0.004,0.003,0.003,0,0.006,0.004,0.038,0,0.009,0.007,0.003,1.281,0.005,0.007,0.003,1.213,0.003,0.003,0.007,0.009,0.003,0.003,0.005,0.006,0.004,0.002,0.002,0.003,0.003,0.003,0.005,0.003,0,0.004,0.002
92,0.003,0.003,0.005,0.028,0.003,0.003,0.002,0.004,0,0.007,0.002,0.003,1.518,0.004,0.008,0.003,0.095,0.004,0.004,0.003,0.009,0.002,0.003,0.004,0.051,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.004,0,0.003,0.002
93,0.002,0.001,0.001,0,0,0.002,0.001,0.002,0,0.002,0,0.001,0.001,0.001,0,0,0.687,0.001,0.001,0.002,0,0.001,0.001,0.001,0.001,0,0.001,0.002,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001,0.001
94,0.002,0,0.001,0.001,0.002,0.002,0.001,0,4.872,0.001,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0.001,0,0,0.001,0.001,0,2.308,0.001,0,0.003,5.29,0,0
95,0.087,0.005,0.008,0.006,0.003,0.013,0.005,0.005,3.432,0.011,0.003,0.004,0.011,0.007,0.01,0.003,0.009,0.004,0.012,0.003,0.004,0.04,0.008,0.031,0.009,0,0.004,0.004,0.004,0.004,0.003,0.002,0.003,0,0.004,0.004,0.004,4.407,0.005,0.002
96,0,0.002,0.003,0.002,0.777,0.004,0.003,0.015,0.028,0.003,0.002,0.002,0.002,0,0.002,0.002,0.002,0.003,0.003,0.003,0.002,0.022,0.003,0.032,0.003,0,0.003,0.002,0.003,0.002,0.002,0.002,0.002,2.573,0.003,0.002,0.002,1.03,0.005,0.002
97,1.248,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0.002,0.003,0.002,1.168,0.002,0.002,0.002,1.002,0.002,0.003,0.001,0.002,0.002,0.001,0.001,0,0.002,0.002,0.002,0.002,0.001,0.002,0.001,0,0.001,0.001,0.002,0.002,0.002,0.001
98,0,0.004,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0,0.003,0.002,0.002,0,0.003,0.003,0.002,0.038,0.002,0.002,0.003,0.283,0.002,0.003,0.003,2.143,0.003,0.002,0.003,0.002,0.002,0.002,0.003,4.116,0.002,0.002,0.002,0.002,0.002,0.002
99,0,0.002,0.002,0.002,0.002,0.006,0.002,0.002,0.003,3.234,0.001,0.003,0.002,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.545,0.002,0.002,0.002,2.175,0,0.002,0.002,0.002,0.17,0.002
100,0,0.003,0.005,0.004,0.003,0.005,0.004,0.002,0.002,0,0.003,0.003,0.003,4.861,0.004,0,0,0,0,0,0.002,0.003,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0.001,0,0.003,0.004,0.004,0.003,0.004,0.004,0,0.002,0.002,0.003,3.34,0.002,0.002,0.004,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.006,0.002,0.001,0.001,0.001,0.001,0,0.001,0.002,0.002,0,0.002
102,3.457,0.003,0.005,0.005,0.008,0.003,0.003,0.005,0.003,5.383,0.002,0.003,0.002,2.572,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.002,0.002,0.003,0.002,0.004,0.002,0.002,0.004,0.005,1.441,0.003,0.006,0.005,1.3,0.002
103,0.088,0.112,0.004,0.003,0.029,0,0.003,0.004,0.007,2.086,0,0.002,0.002,0.158,0,0.002,0.002,0.002,0.003,0.002,0.001,0.001,0.759,0.002,0.003,0.001,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0.004,0.002
104,0.002,0,0.002,0.002,0.002,1.225,0.001,0.002,0.002,0.097,1.134,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.003,0.003,0.002,0.002,1.348,0.002,0.003,0.003,0.208,0.002,0.002,0.002,0.002,0,0.002,0.003,1.807,0
105,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.001,0.003,0.001,0.002,0.001,0.002,0,0.002,0.002,0.002,0,0.002,0.001,0.002,0.333,0.001,0,0.001,0,0.001,0.001,0,0.001,0.001,0.001,0.002,0.002,0,0.002,0.002,1.222,0
106,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.003,0.003,0.001,0.002,0.001,0.001,0,0.002,0.002,0.002,0,0.001,0.002,0.001,0,0.001,0.002,0.001,0,0.002,0.002,0.001,0.002,0.003,0.002,0.003,0.002,2.374,0.002,0.002,0.003,2.314
107,0.003,1.77,0.003,0.002,0.003,2.778,0.001,0.003,0.002,0.003,0.002,0.002,0.002,0.002,4.696,0.002,0.002,0.002,1.779,0.002,0.003,0.002,0.45,0.002,0.002,0.002,0.753,0.004,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0,0.001,0.002,0.002,0.001
108,0.004,0.003,0.003,0.003,0.002,1.448,1.156,0.002,0.002,0.003,0.002,0.002,0.003,0.003,3.501,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.036,0.002,0.001,0.002,0,0.002,0.002,0.001,0.001,0.002,0.002,0.002,1.706,0.001,0.002,0.002,0.001
109,0.002,0.002,0,0.002,0.002,0.002,0.03,0.002,0.001,0.002,0.001,0.25,0.001,0.001,0,1.652,0.001,0.002,0.001,0,0.002,0.001,0.431,0.003,0.003,0.001,0.002,1.103,0.002,0.002,0.001,1.087,0.002,0.002,0.001,1.416,0.003,0.002,0.002,0.001
110,0.003,0.003,0,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0.025,0.003,0.003,2.651,0,0.002,0.002,0.002,2.124,0.003,0.002,0.003,0.007,0.002,0.003,0.002,0.001,0.002,0.002,0.002,0,0.002,0.003,0.002,0.681,0.002,0.003,0.002,0.002
111,0.002,0.002,0,0.005,0.002,0.002,0.002,0.002,0.002,0.004,0.002,0.003,0.003,0.002,0.041,0,0.002,0.002,0.003,0.328,0.002,0.001,0.002,0,0.002,0.001,0.002,0,0.002,0.002,0.002,1.137,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002
112,0.003,0.002,1.592,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0,0.003,0.004,0.005,1.801,0.003,0.003,0.002,0.449,0.002,0.003,0.003,0,0.003,0.002,0.002,1.032,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.003,0,0.004,0.002,0.002
113,0.002,0.002,0.002,0.002,0.002,0.003,0.002,0,0.002,0.002,0.002,1.182,0.002,0.002,0.002,0.018,0.002,0.002,0.002,0.002,0,0.001,0.001,2.564,0.001,0.001,0.001,0.005,0.002,0.002,0.001,0.001,0,0.002,0.002,0.001,0,0.002,0.002,0.001
114,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.002,0,0.002,0.002,1.785,0.002,0.002,0.002,0.002,0.06,0.002,0.002,0.001,0,0.002,0.001,0.001,0,0.002,0.002,0.001
115,0.003,0.003,0.338,0.103,0.003,0.003,0.003,1.868,0.003,0.003,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.001,0.002,0.506,0.001,0.002,0.002,0.064,0.002,0.001,0.002,0.002,1.205,0.002,0.002,0.002,3.044,0.003,0.002,0.002
116,0.002,0.002,0.002,0.452,0.002,0.294,0.002,2.21,0.002,0.003,0.001,0.002,0.948,0.002,0.002,0.002,1.046,0.002,0.001,0.002,0,0.002,0.002,0.002,0.736,0.001,0.002,0.002,0,0.001,0.002,0.003,0.002,0.003,0.002,0.002,0.304,0.002,0.002,0.002
117,0.006,0.002,0.002,0,0.003,0.003,0.002,1.498,0.003,0.006,0.002,0.001,0,0.002,0.002,0.002,0,0.002,0.001,0.001,3.964,0.002,0.002,0.001,0,0.001,0.002,0.002,0,0.002,0.001,0.001,0,0.002,0.002,0.001,0.001,0.002,0.001,0.002
118,0.002,0.002,0.003,0,0.002,0.003,0.002,0,0.003,0.004,0.002,0.003,0,0.002,0.003,0.002,1.698,0.002,0.002,0.002,2.761,0.004,0.003,0.006,0.715,0.002,0.002,0.004,1.252,0.003,0.002,0.002,1.174,0.003,0.002,0.002,0.003,0.753,0.002,0.002
119,0.003,0.003,0.003,0.928,0.002,0.003,0.002,0.874,0,0.003,0.002,0.003,1.437,0.003,0.002,0.003,0.073,0.002,0.002,0.002,0.003,0.002,0.002,0.006,0.003,0.002,0.003,0.003,0.003,0.003,0.002,0.001,0,0,0.001,0.001,0.002,0.868,0.002,0.001
120,0.004,0.004,0.004,0.003,0.004,0.004,0.002,0.045,0,0.006,0.003,0.004,0.216,0.006,0.01,0.002,0.003,0.004,0.005,0.002,0.004,0.006,0.005,0.007,0.005,0.004,0.003,0.008,0.004,0.014,0.002,0.002,0.779,0,0.002,0.002,0.003,0,0.003,0.002
121,0.005,0.003,0.003,0.002,0.727,0.004,0.002,0.003,2.192,0.005,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.104,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0,0.002,0.001,0.001,0,0.002,0.001
122,0.004,0.002,0.003,0.003,1.078,0.003,0.002,0.002,1.495,0.003,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0,0.002,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.002,2.66,0.002,0.002,0.002,0,0.003,0.002
123,0.002,0.002,0.002,0.003,1.055,0.003,0.002,0.003,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.626,0.002,0.002,0.002,0,0.002,0.001,0.003,0,0.002,0.002,0.002,3.746,0.002,0.002
124,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.003,0.002,0.003,0.003,0.002,0.938,0.002,0.002,0.002,0.001,0.001,0.001,0.003,0,0.002,0.003,0.003,0.002,0.002,0.003,0.002,2.1,0.003,0.003,0.003,0,0.003,0.002,0.002,2.076,0.002,0.002
125,0,0.002,0.003,0.003,0,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.005,0.183,0.004,0.002,0.003,0.003,0.003,0.002,0.001,2.812,0.003,0.002,0.003,0.003,0.002,0.007,0.004,0,0.002,0.002,0.002,0,0.003,0.002,0.003,0.049,0.003,0.002
126,0,0.005,0.008,0.009,1.984,0.011,0.004,0.004,0.007,0.003,0.004,0.011,0.01,0.006,0.008,0.005,0.009,0.267,0.004,0.008,0.003,2.026,0.007,0.004,0.005,0.003,0.002,0.004,0.003,0,0.003,0.002,0.003,5.731,0.004,0.003,0.003,0.003,0.006,0.002
127,0,0.002,0.003,0.002,0.01,0.01,0.002,0.002,0.004,0,0.002,0.002,0.002,0.083,0.004,0.002,0.005,0.004,0.004,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.003,0.002,0.002,0,0.792,0.002,0.002,1.428,0.003,0.007,0.005,0.003,0.004,0.002
128,0,0.002,0.003,0.002,0.002,0,0.002,0.002,0.002,1.484,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.379,0,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0,0.001
129,2.361,0.002,0.003,0.003,0.003,2.589,0.003,0.002,0.002,0.008,0.001,0.002,0.002,1.38,0.001,0.001,0.001,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,1.148,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0.001
130,0.001,0.001,0.002,0.002,0.002,3.142,0.001,0.002,0.002,0.002,0,0.001,0.001,0,0,0.001,0.002,0.001,0,0.001,0.002,0.001,0.003,0.003,0.002,0.001,0.001,0.001,0.004,0.001,0,0.001,0.002,0.005,1.352,0.001,0.002,0.001,3.476,0.002
131,0.002,0.001,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0,0.001,0.001,1.741,0,0.001,0.002,0.002,0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.34,0.003,0.003,0.002,1.023,0.001,0.002,0.002,1.24,0.002,0.002,0.001,0,0
132,0.003,0.765,0.002,0.002,0.002,0,0.003,0.002,0.003,0.003,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0,0.002,0.007,0.005,0.008,0.036,0.008,0.004,0.016,0.008,0.009,0.026,0.001,0.001,0.001,0.001,0,0.001,0.001,0.001,0,0
133,0.003,0.003,0.003,0.003,0.003,4.513,0.002,0.003,0.002,0.004,1.149,0.002,0.002,0.002,0,0.002,0.002,0.003,2.784,0.002,0.002,0.002,0.002,0.02,0.005,0.002,0.008,0.005,0.004,0.014,0.003,0.002,0.003,0.003,0.038,0.04,0.003,0.003,2.522,0.843
134,0.003,0,0.003,0.003,0.002,1.934,0,0.002,0.002,0.004,0.001,0.003,0.002,0.001,0,0.002,0.002,0.002,0,0.001,0.004,0.002,0.005,0.003,0.002,0.003,0.004,0,0.003,0.003,0.001,1.048,0.002,0.002,0.001,0.001,0.001,0.001,0.002,0.919
135,0.003,1.824,0.003,0.002,0.002,0.002,0,0.002,0.002,0.003,0.002,0.002,0.003,0.002,3.669,0.002,0.002,0.002,2.043,0.001,0.002,0.002,0.002,0.002,0.002,0.001,0.002,2.043,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002
136,0.002,0.937,0.002,0.003,0.002,0.002,0,0.003,0.003,0.004,0.002,0,0.002,0.002,1.743,0.002,0.002,0.003,0.002,0,0.002,0.003,0.003,0,0.002,0.002,0.002,2.12,0.002,0.002,0.001,0,0.001,0.002,0.001,0,0.002,0.002,0.002,0.001
137,0.003,0.003,0,0.005,0.006,0.003,1.612,0.002,0.003,0.003,0.001,0,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0,0.002,0.002,0.002,1.92,0.006,0.003,0.003,2.35,0.003,0.003,0.002,2.162,0.002,0.003,0.003,1.725,0.002,0.002,0.003,0.002
138,0.003,0.003,1.39,0.003,0.002,0.003,0.002,0.002,0.002,0.003,0.003,2.367,0.002,0.002,0.002,0.002,0.002,0.002,0.002,2.142,0.001,0.001,0.002,0,0.002,0.001,0.002,0,0.001,0.001,0.002,0,0.002,0.002,0.002,0.002,0,0.001,0.002,0.001
139,0.002,0.002,0.385,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,2.024,0.002,0.002,0.002,0.173,0.002,0.002,0.002,0.501,0.002,0.001,0.002,2.307,0.002,0.002,0.002,0,0.002,0.002,0.002,1.466,0.002,0.003,0.002,0.002,0.793,0.002,0.002,0.002
140,0.002,0.002,0,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.957,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0,0.002,0.002,0.002,0,0.002,0.001,0.001,0.002,0.001,0.002,0.002,0.002,1.069,0.002,0.002,0.002
141,0.002,0.002,2.628,0.002,0.002,0.002,0.002,0,0.002,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.002,0.001,0.001,0.002,0.001,1.587,0.002,0.001,0.002,0,0.001,0.001,0,0.001,0,0.001,0.001,0.001,0,0.001,0,0.001
142,0.002,0.002,1.751,0.002,0.002,0.002,0.002,0,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.218,0.003,0.002,0.003,3.697,0.002,0.003,0.001,0.001,0,0.002,0.001,0.002,1.558,0.002,0.002,0.001
143,0.002,0.003,0.185,0.002,0.002,0.003,0.003,0,0.002,0.004,0.002,0.002,0.002,0.002,0.004,0.003,0.091,0.002,0.002,0.002,0.363,0.005,0.006,0.003,0,0.002,0.003,0.009,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.368,0.003,0.002,0.001
144,0.003,0.002,0.002,1.434,0.002,0.003,0.002,2.04,0.003,0.002,0.002,0.002,0.834,0.002,0.002,0.002,1.122,0.002,0.002,0.001,0.004,0.003,0.007,0.008,0,0.003,0.003,0.006,1.756,0.005,0.001,0.001,0,0.002,0.002,0.001,0.002,0.002,0.002,0.001
145,0.003,0.003,0.003,0,0.003,0.003,0.002,0.003,0.002,0.003,0.002,0.003,0.822,0.003,0.003,0.003,0.467,0.003,0.003,0.002,0.004,0.003,0.003,0.003,1.643,0.002,0.004,0.004,0.225,0.008,0.002,0.002,1.613,0.003,0.002,0.003,0.003,0,0.003,0.002
146,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0,0.002,0.002,0.003,0.618,0.004,0.004,0.002,0.694,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.016,0.002,0.002,0.006,0.187,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0,0.002,0.002
147,0.003,0.003,0.003,1.641,0.003,0.003,0.003,0.003,0,0.004,0.002,0.003,0.811,0.002,0.002,0.002,0.046,0.002,0.003,0.002,0.002,0.001,0.002,0.001,0.001,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.015,0.002,0.002,0.002,2.814,0.003,0.002
148,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0,0.003,0.002,0.003,0.008,0.005,0.011,0.002,0.002,0.002,0.002,0.003,0.001,0,0.001,0.002,0.002,0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0,0.002,0.002,0.002,3.318,0.002,0.002
149,0.003,0.002,0.002,0.002,0.008,0.003,0.002,0.002,0,0.002,0.001,0.003,0.001,0.002,0.003,0.002,0.002,0.003,0.002,0.003,0.001,1.598,0.001,0.002,0.002,0,0.002,0.001,0.002,0,0.002,0.002,0.003,2.599,0.003,0.002,0.002,2.078,0.002,0.003
150,0.003,0.002,0.002,0.003,1.909,0.002,0.002,0.002,3.284,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.001,0.001,0.002,2.242,0.002,0.002,0.002,0,0.003,0.001
151,0.07,0.002,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.009,0.002,0.002,0.001,0,0.002,0.002,0.002,0,0.001,0.001,0.002,2.06,0.002,0.002,0.003,1.868,0.002,0.003,0.003,1.003,0.003,0.002
152,0.005,0.004,0.002,0.004,3.486,0.004,0.002,0.003,0.003,0.003,0.001,0.002,0.002,0.814,0.002,0.002,0.002,0,0.002,0.002,0.002,2.383,0.002,0.003,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.003,0,0.004,0.007,0.003,0.003,0.001,0.003
153,0,0.002,0.002,0.002,3.027,0.003,0.002,0.002,0.002,0.001,0.002,0.002,0.002,2.342,0.002,0.001,0.001,0.893,0.002,0.002,0.002,0.002,0.002,0.002,0.002,3.711,0.002,0.003,0.003,0,0.001,0.002,0.002,0.806,0.002,0.001,0.002,0.002,0,0.002
154,0.957,0.002,0.002,0.003,2.353,0.003,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.003,0.002,0.002,0.198,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.191,0.002,0.002,0.002,0,0.002,0.001,0.001,0.103,0.144,0.002,0.002,0.002,0,0.001
155,0.127,0.003,0.002,0.003,2.273,0.002,0.002,0.004,0.002,2.005,0.002,0.001,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.001,5.376,0.444,0.001,0.001,0.001,0,0.001,0.002,0.002,1.51,0.001
156,0.003,0.003,0.004,0.005,0.085,0.005,0.002,0.003,0.003,1.882,0.003,0.003,0.003,2.536,0.004,0.003,0.002,0.004,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002,0.002,0,0,0.002,0.002,0.003,1.256,0.002,0.003,0.002,1.425,0.002
157,0.002,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.002,1.145,0.002,0.002,0.002,0.033,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002,2.838,0,0.001,0.002,0.002,0,0.002,0.002,0.002,0.003,0.001
158,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.002,0.083,0,0.002,0.002,0.002,0.001,0.002,0.001,0.002,0,0.002,0.001,0.002,0,0.002,0.002,0.002,0,0.001,0.002,0.001,2.229,0.002,0.003,0.002,1.791,0.002,0.003,0.003,0.002,0.002
159,0.002,0,0.002,0.002,0.002,0,0.002,0.001,0.002,0.003,1.018,0.002,0.002,0.002,0,0.002,0.002,0.002,1.461,0.002,0.001,0.001,0,0.001,0.002,0.001,3.334,0.001,0.002,0.001,0.411,0.002,0.002,0.003,0.006,0.003,0.002,0.002,0.003,0.129
160,0.002,2.819,0.003,0.002,0.002,0,0.002,0.002,0.002,0.003,0.001,0.002,0.002,0.002,0,0.001,0.002,0.002,0,0.002,0.003,0.002,2.726,0.003,0.004,0.002,1.951,0.003,0.003,0.003,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.002,0.002
161,0.009,0,0.005,0.002,0.003,0,0.004,0.005,0.003,0.002,0.005,0.004,0.006,0.003,0,0.002,0.002,0.003,1.515,0.002,0.003,0.003,1.707,0.004,0.005,0.003,0.008,0.002,0.003,0.007,0.002,0.002,0.002,0.005,0.004,0.885,0.003,0.004,0.004,0
162,0.004,2.079,0.003,0.003,0.003,2.467,0.255,0.003,0.003,0.004,0.001,0.002,0.003,0.002,0,0.002,0.002,0.002,0.222,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0.802,0.002,0.002,0.001,0,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.641
163,0.004,0.002,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.006,0.002,0.075,0.003,0.002,2.293,0.002,0.002,0.002,0.846,0,0.002,0.002,0.002,1.169,0.002,0.002,0.002,1.182,0.002,0.002,0.003,0,0.004,0.005,0.003,0.816,0.002,0.003,0.003,0.026
164,0.002,0.002,0,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0.002,0.002,0.002,0,0.002,0.002,0.483,0,0.002,0.001,0.001,1.327,0.004,0.002,0.002,1.827,0.002,0.002,0.002,0,0.002,0.002,0.001,0.667,0.002,0.002,0.002,0.001
165,0.002,0.002,1.652,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0,0.002,0.005,0.001,0,0.002,0.002,0.002,0,0.002,0.002,0.003,0,0.002,0.002,0.002,2.589,0.002,0.002,0.001,3.91,0.002,0.001,0.002,0.002,0.003,0.002,0.002,0.002
166,0.004,0.002,1.206,0.003,0.003,0.003,0.002,0.004,0.003,0.005,0.002,0,0.002,0.002,0.004,0,0.003,0.002,0.002,2.31,0.002,0.002,0.002,0,0.002,0.004,0.002,0,0.003,0.003,0.002,2.52,0.003,0.003,0.002,0.004,0.003,0.003,0.004,0.002
167,0.002,0.001,0.003,0.002,0.002,0.002,0.002,0,0.002,0.006,0.002,0,0.002,0.002,0.003,0,0.002,0.003,0.002,0.23,0.002,0.002,0.003,2.218,0.002,0.003,0.003,2.206,0.002,0.002,0.001,0.001,0.001,0.002,0.001,0.002,0.86,0.002,0.002,0.002
