w_await,aceph01,aceph02,aceph03,aceph04
381,252.254,124.157,336.87,172.436
382,214.29,232.965,325.579,108.033
383,414.42,378.902,213.56,150.896
384,312.79,386.627,248.561,195.021
385,213.736,189.129,98.893,232.502
386,297.084,128.675,175.392,307.702
387,235.528,192.92,176.514,476.867
388,150.817,143.207,178.577,294.29
389,152.967,197.094,234.771,147.058
390,238.604,371.764,300.309,213.141
391,155.919,231.334,186.183,546.544
392,152.675,300.575,190.375,267.398
393,358.649,335.243,119.808,166.884
394,338.12,380.893,162.3,380.266
395,155.235,230.857,252.091,239.39
396,162.459,314.206,381.621,444.193
397,209.454,385.465,289.117,262.409
398,228.716,363.206,245.036,137.044
399,238.465,112.776,255.283,173.876
