%sys,aceph01,aceph02,aceph03,aceph04
93,4.05,3.55,4.42,7.03
94,9.6,11.11,7.73,3.12
95,7.06,4.94,6.98,8.24
96,2.27,3.04,3.25,5.32
97,2.03,2.51,2.41,2.8
98,6.3,3.56,4.8,3.26
99,6.39,5.27,7.25,4.89
100,2.14,2.38,2.53,5.32
101,10.89,9.75,10.38,1.88
102,5.82,5.83,5.61,7.75
103,2.13,2.38,2.01,5.61
104,2.26,2.02,2.26,2.12
105,6.89,5.83,5.47,2.4
106,6.95,5.01,5.8,7.8
107,3.41,3.75,3.16,5.84
108,4.42,4.32,5.06,2.75
109,4.24,3.77,4.91,3.56
110,2.53,2.14,2.76,6.75
111,2.9,3.28,3.16,2.9
112,2.4,1.39,2.13,2.53
113,9.68,8.8,7.49,1.51
114,6.46,3.9,4.22,9.88
115,4.91,4.17,5.46,3.61
116,1.77,2.89,2.15,4.03
117,2.89,1.64,1.76,3.12
118,6.31,5.42,5.52,3.41
119,5.3,4.08,3.16,3.8
120,4.31,2.62,4.78,3.76
121,4.18,3.67,2.54,2.53
122,7.22,8.79,5.32,4.83
123,3.87,2.92,2.53,5.28
124,7.82,7.73,7.85,4.27
125,3.65,4.14,3.16,5.82
126,5.82,5.13,5.42,3.16
127,5.2,5.72,5.05,5.42
128,5.08,3.8,4.45,6.28
129,2.93,2.15,2.02,5.53
130,5.04,3.01,4.14,2.8
131,6.91,6.2,6.28,2.44
132,9.14,8.4,7.38,4.92
133,3.46,3.03,2.91,7.5
134,4.67,3.8,3.67,3.17
135,4.44,2.93,3.28,3.06
136,3.68,2.89,3.54,5.27
137,5.33,4.66,5.67,3.79
138,2.03,2.64,2.28,5.99
139,4.92,4.39,4.51,2.26
140,3.98,4.51,5.12,4.55
141,3.48,3.91,4.91,5.73
142,6.46,4.26,4.98,3.63
143,4.79,2.64,2.54,3.91
144,3.69,3.3,4.03,2.53
145,2.54,2.15,2.54,3.51
146,5.84,5.85,7.03,2.52
147,8.26,4.5,6.18,7.78
148,3.32,3.3,2.9,4.94
149,6.83,7.84,4.4,4.05
150,3.42,3.4,3.17,5.57
151,4.97,3.42,4.91,3.13
152,4.17,4.04,3.26,5.41
153,4.62,5.26,5.1,3.52
154,2.55,4.4,4.17,5.1
155,1.64,1.77,2.27,2.63
156,4.71,4.55,5.67,1.64
157,6.91,6.58,7.84,4.52
158,5.52,4.17,5.2,6.65
159,5.23,3.54,2.54,5.03
160,6.11,6.16,7.62,4.55
161,8.79,8.61,8.19,7.38
162,7.98,7.43,5.67,6.45
163,3.8,3.03,2.78,4.99
164,2.89,2.02,2.77,5.67
165,5.63,4.59,3.4,3.0
166,4.22,4.68,4.16,3.64
167,2.15,1.64,2.27,6.11
168,3.83,3.4,3.91,2.27
169,4.08,3.72,4.91,4.81
170,6.46,4.86,4.17,3.57
171,3.15,3.15,3.03,4.53
172,6.08,6.42,4.31,3.13
173,4.99,3.83,5.87,4.85
174,3.31,2.92,4.05,4.3
175,3.03,3.11,2.92,5.18
176,3.44,3.91,4.69,3.3
177,1.64,2.03,2.75,4.7
178,8.94,6.32,7.13,1.75
179,3.44,3.31,3.27,6.11
180,6.73,6.62,5.74,3.17
181,2.39,1.89,1.75,6.23
182,4.3,4.04,2.77,2.52
183,4.16,4.65,3.42,4.4
184,3.3,2.9,3.55,5.05
185,5.88,7.9,5.39,3.52
186,5.87,7.22,7.59,6.1
187,3.32,2.86,2.64,6.83
188,2.91,2.15,3.16,4.02
189,4.57,5.45,5.94,2.39
190,7.46,5.65,7.98,4.96
191,5.15,3.64,3.29,5.53
192,3.13,2.16,2.52,3.93
193,5.92,7.48,5.29,2.01
194,8.55,7.48,6.9,4.85
195,4.31,3.92,3.27,9.6
196,1.91,2.53,2.26,3.41
197,4.2,4.8,5.22,2.29
198,3.4,2.76,3.53,5.32
199,6.65,6.17,6.59,3.77
200,3.68,3.4,4.0,4.94
201,4.96,7.16,5.87,2.65
