op_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
41,164816884080,138442137808,154561237112,148249076056,135645241496,154562221656,112652873936,181561979432,142482973152,189613769208,115300262304,147761860928,157175583312,177127473760,191358710088,151521087712,150457729160,178353652008,164154335544,177557332440,144433651992,159471194424,172274942072,191529730288,183877472864,163539738920,128845271320,198220014264,156736627000,172414746864,148971184512,126979166976,164058829064,185451368968,156622778608,162542510480,148058624432,175781314872,229942788720,134852329696
42,164816970096,138442174672,154561319032,148249133400,135645274264,154562246232,112652902608,181562016296,142483050976,189613793784,115300282784,147761910080,157175644752,177127473760,191358751048,151521153248,150457786504,178353893672,164154409272,177557410264,144434155800,159471194424,172275073144,191529836784,183877567072,163539820840,128845336856,198220112568,156736725304,172414746864,148971245952,126979212032,164058906888,185451438600,156622848240,162542559632,148058653104,175781314872,229942882928,134852387040
43,164817195376,138442436816,154561581176,148249420120,135645487256,154562541144,112653152464,181562466856,142483358176,189614133752,115300508064,147762254144,157175951952,177127473760,191359185224,151521472736,150458081416,178354209064,164154704184,177557791192,144434389272,159471194424,172275269752,191530107120,183877792352,163540042024,128845500696,198220358328,156736999736,172414746864,148971544960,126979363584,164059234568,185451782664,156623130864,162542879120,148058968496,175781544248,229943140976,134852583648
44,164817195376,138442436816,154561581176,148249420120,135645487256,154562541144,112653152464,181562466856,142483358176,189614133752,115300508064,147762254144,157175951952,177127473760,191359185224,151521472736,150458081416,178354209064,164154704184,177557791192,144434483480,159471194424,172275429496,191530246384,183877931616,163540185384,128845607192,198220497592,156737106232,172415537392,148971544960,126979363584,164059234568,185451782664,156623130864,162542879120,148058968496,175781544248,229943140976,134852587744
45,164817453424,138442600656,154561790072,148249620824,135645589656,154562696792,112653250768,181562704424,142483497440,189614260728,115300622752,147762458944,157176148560,177127473760,191359373640,151521636576,150458269832,178354360616,164154863928,177558020568,144434532632,159471194424,172275478648,191530291440,183877948000,163540218152,128845623576,198220550840,156737122616,172415705328,148971651456,126979506944,164059439368,185452032520,156623237360,162543120784,148059091376,175782572344,229943145072,134852702432
46,164817621360,138442907856,154562105464,148249944408,135645933720,154563032664,112653480144,181563175464,142483780064,189614260728,115300835744,147762815296,157176492624,177128256096,191359803720,151521935584,150458585224,178354700584,164155228472,177558385112,144434790680,159472038200,172275798136,191530655984,183878275680,163540533544,128845914392,198220894904,156737360184,172416098544,148971950464,126979822336,164059795720,185452425736,156623237360,162543518096,148059447728,175783383352,229943169648,134852948192
47,164817883504,138442961104,154562179192,148250030424,135646007448,154563032664,112653521104,181563253288,142483861984,189614260728,115300864416,147762860352,157176566352,177128432224,191359918408,151522013408,150458675336,178354798888,164155257144,177558462936,144434888984,159472275768,172275933304,191530954992,183878550112,163540795688,128846098712,198221312696,156737622328,172416418032,148972024192,126979887872,164059877640,185452532232,156623237360,162543624592,148059529648,175783514424,229943169648,134853013728
48,164817883504,138442961104,154562179192,148250030424,135646007448,154563032664,112653521104,181563253288,142483861984,189614260728,115300864416,147762860352,157176566352,177128432224,191359918408,151522013408,150458675336,178354798888,164155257144,177558462936,144434888984,159472275768,172275933304,191530954992,183878550112,163540795688,128846098712,198221312696,156737622328,172416418032,148972024192,126979887872,164059877640,185452532232,156623237360,162543624592,148059529648,175783514424,229943169648,134853013728
49,164817965424,138443047120,154562289784,148250120536,135646089368,154563032664,112653631696,181563347496,142483952096,189614260728,115300954528,147762942272,157176664656,177128538720,191360037192,151522095328,150458761352,178354889000,164155371832,177558548952,144434888984,159472275768,172275933304,191530954992,183878550112,163540795688,128846098712,198221312696,156737622328,172416418032,148972114304,126979949312,164059955464,185452597768,156623290608,162543726992,148059591088,175783592248,229943169648,134853054688
50,164818166128,138443206864,154562523256,148250370392,135646310552,154563049048,112653787344,181563531816,142484148704,189614678520,115301192096,147763114304,157176861264,177128878688,191360336200,151522291936,150458962056,178355171624,164155375928,177558782424,144434966808,159472374072,172276084856,191531016432,183878677088,163540869416,128846139672,198221447864,156737712440,172416495856,148972298624,126980154112,164060193032,185452904968,156623831280,162543919504,148059787696,175783821624,229943218800,134853185760
