op_w_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
267,0,0.007,0.008,0.013,0.007,1.115,0.006,0.271,0.007,6.423,1.519,0.272,0.265,0.785,0.479,0.139,0.681,0.572,1.134,0.808,0.915,0.005,0,0.005,0.427,1.153,0.169,0.461,0.051,0.631,0,0.47,1.055,2.027,0.704,0.888,1.407,0.57,5.614,0.756
268,4.741,0.004,0.177,0.077,0.188,0.172,0.005,0.022,0.006,2.797,0.765,0.043,0.265,0.039,0.159,0.07,0.238,0.162,0.271,0.1,0.046,0.11,3.413,0.661,0.067,0.904,0,2.765,0.592,2.925,0.517,0.03,0.458,1.232,0.17,0.658,0.174,0.206,0,0.262
269,5.164,1.267,0.036,0.406,0.434,0.47,0.006,1.215,0.412,0.457,0.816,0.137,1.24,0.547,0.945,1.965,1.259,1.316,0,1.442,0.133,0.105,0,0.255,0.076,0.475,0,0.345,0.557,1.233,0.97,0.037,0.615,4.677,0.005,0.687,0.11,0.383,7.09,0
270,1.465,0,0.02,0.007,0.03,0.2,0.441,0.045,0.138,0.579,0.365,0.101,0.248,0.154,0.02,0.576,0.179,0.041,3.73,0.333,0.053,0.044,2.293,0.067,0.022,0.084,0,0.104,0.072,0.047,0.008,0.006,0.019,0.022,1.869,0.031,0.006,0.028,3.275,0
271,0.87,0,0.206,0.233,0.55,0.504,0.609,0.644,0.548,1.442,0.005,0.138,0.369,0.406,1.709,0.109,0.335,0.387,0,0.288,0.271,0.381,0.868,0.784,0.121,0.332,5.092,0.576,0.3,0.908,0.451,0.027,0.127,0.061,0.64,0.369,0.112,0.006,0.977,0
272,1.933,1.585,0.148,0.229,0.295,0.644,0.368,0.174,0.547,0.713,0.83,0.26,0.526,0.59,2.454,0.393,0.328,0.769,1.899,0.74,0.028,0.03,0.013,0,0.021,0.095,1.54,0,0.082,0.169,0.585,0.339,0.619,0.277,0.308,0,0.588,0.594,2.171,1.641
273,0.012,0.324,0.004,0.526,0.046,0.196,0.403,0.309,0.216,0.089,0.007,0.022,0.109,0.02,0,0.192,0.108,0.116,1.48,0,0.167,0.32,0.199,0,0.191,0.005,0.808,0,0.65,0.082,0.006,0.021,0.029,0.037,0.04,2.381,0.207,0.304,1.294,0.21
274,0.51,2.414,0,0.253,0.253,1.223,0.007,0.009,0.007,1.726,0.005,0.005,0.009,0.005,0,0,0.005,0.006,0.006,1.515,0.222,0.83,0.746,4.529,0.388,0.331,0.231,0,1.107,0.005,0.006,0.264,0.115,0.098,0.48,0,0.27,0.129,0.415,0.288
275,0.004,0.081,0,0.289,0.42,0.203,2.125,0.268,0.004,0.006,1.325,0.321,0.551,0.299,0,2.383,1.217,0.848,1.032,0.005,1.124,0.005,0.71,0,0.004,0.554,1.061,0,0.004,0.005,0.005,0.203,0.006,0.127,0.125,2.37,0.294,0.096,0.226,0.004
276,0.399,0.988,0,0.568,0.584,0.36,0.139,0.629,0.366,0.011,0.005,0.005,0.006,0.005,0,2.288,0.004,0.005,0.005,0.008,0.372,0.147,0.402,2.411,0.233,0.244,0.773,0,0.321,0.007,0.188,1.307,0.004,0.075,0.087,1.748,0.853,0.32,1.377,0.003
277,0.058,0.075,1.585,0.03,0.034,0.031,0.072,0,0.006,0.006,0.084,1.086,0.083,0.462,3.009,0.006,0.684,0.042,0.788,0.198,0.163,0.279,0.237,0.654,0.005,0.304,0.231,0,0.016,0.094,0.774,0.548,0.269,0.784,0.147,1.122,0.405,0.525,0.444,0.264
278,0.009,0.007,0.02,0.385,0.006,0.296,0.12,0,0.415,0.284,0.004,0,0.203,0.192,0.466,1.079,0.112,0.129,0.044,0.29,0.229,0.363,0.376,0.461,0.065,0.005,0.31,8.332,0.467,0.005,0.07,0.338,0.215,0.103,0.143,0.852,0,0.318,0.104,0.093
279,0.095,0.176,0.443,2.065,1.249,0.853,0.082,4.732,0.646,0.397,0.381,1.564,0.405,0.005,0.799,0,1.499,0.3,0.011,0.005,0,0.015,0.08,0.719,0.006,0.195,0.26,2.519,0.232,0.037,0.824,0.005,0.079,0.999,0.602,0.005,0,0.005,0.005,0.313
280,0.093,0.619,1.412,0,0.005,0.758,0.984,0,0.887,0.739,0.253,0.218,0.919,0.158,2.021,1.758,1.063,0.772,1.579,0.319,3.246,0.09,0.004,1.261,0,0.05,0.005,0.155,1.572,0.009,0.382,0.757,0.157,0.413,0.546,0.149,2.296,0.177,0.183,0.259
281,0.237,0.588,0.326,2.265,0.005,0.679,0.409,0,0.442,0.095,0.553,0.057,1.142,0.317,0.077,0.046,0,0.179,0.144,0.068,0,0.85,0.005,0.005,0,0.2,0.166,0.01,0,0.048,0.488,0.127,0,0.558,0.679,0.367,0.63,0.209,0.08,0.216
282,0.011,0.307,0.006,2.951,0.015,0.005,3.254,6.221,0.002,0,0.005,0.005,0,0.005,0.007,0.007,0.771,0.007,0.006,0.012,0,0.948,0.008,0.007,2.458,0.232,1.87,1.74,0,0.007,0.006,0.004,0,0.003,0.004,0.431,0.216,0.227,0.178,0.089
283,0.314,0.062,0.04,0,0.739,0.168,0.796,2.523,0.989,0.318,0.429,0.191,0,0.611,0.446,1.627,0.421,0.71,0.522,1.707,2.074,0.425,0.606,0.031,0.17,0.487,0.235,1.124,2.924,0.205,0.102,1.123,0,0.544,0.404,1.206,2.088,2.072,0.548,0.098
284,0.42,0.334,0.388,0,0.2,0.125,0.379,1.073,0.332,0.547,0.15,0.211,0,0.348,0.277,1.107,0.83,0.249,0.538,0.594,1.552,0.154,0.458,0.276,0.665,0.005,0.192,0.188,0.854,0.006,0.484,0.028,4.302,0.264,0.127,0.412,0.59,0,0.159,0.46
285,0.3,0.007,0.107,2.494,0.3,0.394,0.217,1.388,2.717,0.239,0.025,0.006,2.003,0.03,0.006,0.005,0.012,0.017,0.023,0.007,0.893,0.663,0.035,0.383,0.357,0,0.106,0.238,0.259,0.275,0.069,0.171,0.869,0,0.208,0.012,0.666,0,0.232,0.069
286,0.212,0.082,0.117,0.499,0,0.148,0.006,0.312,0.95,0.053,0.095,0.605,0.861,0.405,0.058,0.281,0,0.381,0.348,0.384,0.286,0,0.006,0.13,0.283,3.699,0.552,0.006,0.09,0.086,0.025,0.178,0.008,0,0.216,0.35,0.107,1.483,0.238,0.319
287,0.561,0.035,0.43,0.897,2.048,0.711,0.22,0.498,0,0.153,0.306,0.337,0.521,0.005,0.324,0.072,1.185,0.006,0.471,0.347,0.824,0,0.098,0.373,0.678,1.286,0.54,0.334,0.491,0.901,0.004,0.301,0.483,0,0.417,0.275,0.095,0,0.445,0.285
288,0,0.006,0.006,0.007,0,0.006,0.004,0.007,1.071,0,0.051,0.373,1.793,1.94,0.454,0.159,0.314,0.771,0.299,0.276,0,0,0.007,0.006,0.005,0.005,0.006,0.007,0.197,0,0.123,0.156,0.098,1.86,0.24,0.172,0.104,0,0.043,0.071
289,0,0,0,0,0,0,0,0,0,0,0.013,0.183,0.007,0,0.165,0.041,0.712,0,0.006,0.025,0.535,0,0.322,0.784,0.006,2.057,0.383,0.991,0.533,0,0.005,0.013,0.006,1.281,0.283,0.005,0.13,0,0.107,0.074
290,2.141,0.155,0.584,0.798,0,0.38,0.748,0.873,0.832,0,0.46,1.63,1.267,5.189,1.032,0.38,0.005,2.391,0.318,0.493,0.379,2.724,0.005,0.159,0.214,0.546,0.637,0.465,0.625,0,0.005,0.005,0.203,2.785,0.006,0.697,0.004,5.908,0.006,0.007
291,0,0.371,0.502,0.045,0,0.217,0.409,0.201,0.411,4.955,0.972,0.531,0.546,0,1.14,0.007,1.433,3.475,0.871,0.343,0.254,0.156,0.297,0.38,0.281,0.844,0.179,0.287,0.457,1.838,0.005,0.227,0.357,0.489,0.471,0.922,0.352,1.837,1.083,0.412
292,0,0.16,0.008,0.013,3.573,0,0.127,0.083,0.405,0,0.006,0.241,0.069,2.257,0.387,0.104,0.259,1.046,0.297,0.242,0.006,0.658,0.25,0.596,1.314,0.094,1.612,1.091,0.149,1.068,0.462,0.433,0.708,1.05,0.905,0.123,0.461,0.112,0,0.005
293,0,0.072,0.125,0.064,1.408,1.574,0.051,0.03,0.008,6.975,0.056,0.63,0.171,0,0.734,0.477,1.039,0.823,0.339,0.088,1.548,1.287,1.172,0.041,1.173,0.953,0.006,0.629,0.004,0.763,1.218,0.993,0.368,1.471,1.071,0.334,0.414,1.068,4.585,0.524
294,0,0.211,0.301,0.014,1.276,0,0.004,0.062,0.032,0,1.528,0.699,0.712,0,0.475,0.139,0.718,0.023,0,0.404,0.004,0.466,0.136,0.19,0.147,0.037,0.427,0.236,0.439,0.333,0,0.004,0.328,1.52,0.626,0.994,1.056,0.707,1.836,0.489
295,0,1.48,1.195,0.357,2.372,0,0.175,0.319,1.199,0,0.003,0.004,0.006,0,0.005,0.154,0.004,0.004,1.402,0.004,0.678,0.507,0.791,0.725,0.904,0.606,1.294,0.888,1.222,1.484,2.042,0.004,0.004,0.082,0.005,0.308,0.004,0.132,1.178,0.249
296,6.17,0,0.006,0.007,0.006,0,0.16,0.006,0.005,7.827,0.005,0.005,0.603,6.235,1.222,0.008,0.005,0.279,0,0.004,2.051,0.422,0,0.31,0.466,1.121,0.57,2.72,0.005,2.659,1.775,1.418,0.388,0.919,0.982,0.005,0.284,0.007,0.005,0.006
297,0.379,0,0.006,0.005,0.006,0,0.006,0.006,0.197,3.471,1.087,0.645,1.458,0,0,0.704,1.093,1.272,0,1.406,0.018,0.005,0,0.126,0.031,0.194,0.047,0.464,0.285,0.508,0.42,0.069,0.502,1.927,0.015,1.474,0.067,0.874,0.478,0.115
298,0.047,0,0.026,0.006,0.005,3.446,0.005,0.005,0.057,0.038,0.008,0.016,0.006,2.822,0,0.005,0.012,0.008,0,0.007,0.945,0.11,0,0.603,0.218,0.213,0.689,0.596,0.382,2.728,0.396,0.375,0.004,0.138,2.097,0.01,0.143,0.008,0.037,0.006
299,0.221,5.756,0.358,0.363,0.477,1.784,0.006,0.006,0.077,0.177,0.178,0.008,0.286,0.902,0,0.426,0.577,0.01,0,1.634,0.403,0.355,0,0.479,0.443,0.381,0.276,0.182,0.654,0.574,1.254,0.517,0.272,0.712,1.474,0,0.318,0.435,1.661,0.673
300,0.743,0,0.086,0.099,0.6,0.378,0.791,0.573,0.928,1.378,0.172,0.1,0.061,0.987,4.23,0.22,0.195,0.424,0,0.005,0.195,0.047,2.707,0,0.154,0.033,0.006,0.008,0.045,0.006,0.893,0.047,0.511,0.321,0.319,1.189,0.92,0.229,0.426,0.206
301,1.423,2.38,0.602,0.151,0.515,0.367,0.02,0.604,0.006,1.207,0.005,0.843,0.585,1.161,1.966,0.006,0.306,0.112,0,2.399,0.3,0.483,0.977,0,0.564,0.71,0.669,1.45,0.185,0.842,0.961,0.12,0.568,0.421,0.007,0,0.174,0.361,0.281,1.445
302,0.007,0.316,1.449,0.242,0.05,0.355,0.047,0.174,0.237,0.123,0.04,0.355,0.105,0.41,2.779,0.417,0.283,0.663,2.307,0,0.053,0.27,0.811,0,0.137,0.083,0.091,0.54,0.169,0.209,0.299,0.73,0.388,0.112,0.122,1.198,0.72,0.072,0.432,0.049
303,0,0,0,0,0,0,1.931,0.004,1.983,1.96,0.043,0,0.077,0.012,0.47,0,0.146,0.16,0.35,2.18,0.003,0,0.004,0,0.664,0.003,0,0.003,0.003,0,0.044,0.23,0.158,0.085,0.251,0.047,0,0.079,0.064,0.426
304,0.593,1.024,0,0.668,0.122,0.288,0.507,0.47,0.149,0.252,0.004,0,0,0,0.003,0,0.004,0.003,0,0,0.274,0.142,0.329,3.533,0.19,0.092,0.17,0.204,0.217,0.05,0.53,0.697,0.386,0.2,0.02,1.034,2.279,0.701,0.9,0.008
305,0.181,0.004,0,0.032,0.02,0.066,0.125,0,0.081,0.093,0.208,2.286,0.092,0.252,0.647,1.43,0.416,0.149,0.557,3.34,1.125,0.044,0.03,1.904,0.06,0.005,0.062,0.013,0.272,0.103,0.238,0.108,0.21,0.547,0.291,0.178,2.382,0.091,0.27,0.307
306,0.26,0.19,6.726,0.298,0.005,0.142,0.293,0,0.162,0.102,0.006,0.639,0.006,0.088,0.045,0.093,0.076,0.048,0.007,1.66,0,0.211,0.37,1.128,0,0.326,0.005,0.005,0.009,0.706,0.134,0.004,0,0.298,0.21,0.141,1.277,0.338,0.072,0.082
307,0.153,0.007,2.941,0.113,0.108,0.007,0.324,0,0.384,0.354,0.369,0,0.257,0.257,0.428,0.357,0.363,0.252,0.009,1.001,2.331,0.721,0.738,1.154,0,0.505,0.183,0.007,0.441,0.444,0.364,0.59,0,0.43,0.513,0.308,1.55,0.576,0.295,0.573
308,1.025,1.007,3.175,0,0.425,0.303,0.845,4.127,0.478,0.8,0.047,1.689,0.426,0.626,0.325,0.087,0.857,0.26,0.058,0.871,2.772,0.886,1.22,0.006,0,1.308,0.805,1.237,0.881,0.242,0.705,1.089,3.906,0.452,0.226,0.674,0.453,0.642,0.087,0.386
309,0.003,0.003,0.004,0,0.004,0.005,0.165,0,0.005,0.006,0.309,0.814,0,0.475,0.227,0.983,0,0.455,0.713,2.706,2.177,0.004,0.009,0.005,0,0.008,0.169,0.557,0.692,0.103,0.144,0.53,3.646,0.008,0.326,0.777,0.12,0,0.127,0.178
310,0.19,0.147,0.415,0,0.363,0.961,0.785,0,0.519,0.508,0.004,0.004,0,0.004,0.003,0.082,0,0.009,0.01,0.003,0,0.639,0.221,0.214,5.723,0.197,0.477,0.712,0.195,0.006,0.004,0.004,0,0.006,0.003,0.174,0.004,0,0.004,0
311,0.621,0.152,1.361,1.807,0.35,0.388,0.781,0,0.419,0.527,0.022,0.06,1.85,0.699,0.287,0.68,0,0.419,0.269,1.06,2.421,0.348,0.007,0.298,0,0.536,0.611,0.471,0.576,0.276,0.417,1.544,2.659,0.991,0.601,0.912,0.619,0,0.42,0.58
312,0.198,0.054,0.512,0.123,0.011,0.347,0.249,3.91,0.818,0.121,0.213,0.99,1.199,0.473,0.048,0.835,0,0.291,0.546,0.535,0,0.733,0.007,0.263,6.776,1.633,0.472,0.739,0.608,0.124,0.006,0.25,1.81,0.27,0.095,0.562,0.122,4.871,0.362,0.451
313,0.407,0.025,0.523,0.61,0,0.121,0.105,1.051,0.05,0.175,0.646,0.577,0.611,0.842,0.516,0.925,5.019,0.861,0.567,1.856,1.201,0,0.009,0.218,2.373,2.696,0.291,0.011,0.143,0.044,0.046,0.68,0.76,0.294,0.468,0.779,1.122,0,0.503,0.374
314,0.088,0.005,0.017,0.27,0,0.063,0.214,0.967,0.107,0.235,0.051,0.041,0.011,0.024,0.017,0.101,1.764,0.045,0.082,0.086,0.334,0,0.005,0.175,1.604,0,0.137,0.286,0.607,0,0.059,0.026,0.01,0.054,0.015,0.081,0.034,7.314,0.087,0.175
315,0.254,0.008,0.005,0.254,3.803,0.188,0.388,0.008,0.006,0.007,0.53,0.203,0.045,0.512,0.121,0.083,0.908,0.672,0.133,0.152,0.004,0,0.005,0.003,0.003,0,0.004,0.32,0.003,0,0.005,0.053,0.005,0,0.006,0.009,0.045,2.717,0.005,0.076
316,0.837,0.003,2.09,0.004,0,0.006,1.426,0.204,1.679,1.25,0.005,0.005,0.005,0,0.003,0.198,0.003,0.32,0.005,0.565,0.004,0,0.005,0.842,2.768,5.732,0.826,0.789,0.38,0,0.527,0.635,0.279,0,1.028,0.32,0.463,1.339,0.567,0.004
317,1.324,0.804,1.261,0.202,0,0.011,0.872,0.206,1.046,0.063,0.733,1.109,0.94,2.401,0.615,1.248,1.228,0.845,1.145,2.189,0.005,0,0.008,0.007,0.007,0,0.004,0.005,0.496,5.117,0.418,2.114,1.924,0,1.801,0.005,0.646,2.171,0.545,1.471
318,0,0.514,0.669,0.823,0,0.877,0.405,2.006,0.173,0.441,0,0.005,0.004,0,0.003,0.003,0.003,0.003,1.433,0,0.008,7.448,0.009,0.202,0.007,3.291,0.387,0.008,0.009,2.636,1.373,0.003,2.034,4.698,2.431,0.856,1.42,1.525,0.005,0.004
319,3.592,0.082,0.192,0.055,4.059,0.225,0.164,0.012,0.234,0,0.488,1.062,0.516,0,2.62,0.468,0.741,0.273,1.113,0.481,0.58,3.105,0.2,0.294,2.084,0.227,1.211,0.083,0.478,0,0.406,0.57,0.767,0,0.214,0.593,0.188,1.55,0.004,1.028
320,1.465,0.007,0.134,0.039,1.027,0.007,0.16,0.036,0.132,1.895,0.174,0.618,0.644,6.337,0.811,0.417,0.663,0.402,0.553,0.925,0.23,1.103,1.466,0.041,0.121,0.872,0.084,0.499,0.051,1.695,0.81,0.267,0.871,1.813,0.341,0.419,0.139,1.581,0,0.006
321,2.419,1.534,1.518,0.005,1.383,0.418,0.004,0.775,0.166,1.571,0.272,0.194,0.423,0,0.432,0.091,0.327,0.189,0.018,0.14,0.081,0.305,0,0.304,0.221,0.442,0.038,0.196,0.201,1.028,1.547,0.099,0.349,0.913,0.129,0.429,0.382,0.177,0,0.101
322,0,0.458,0.094,0.26,2.139,1.429,0.735,0.24,0.261,1.65,0.005,0.006,0.005,0,0.006,0.005,0.006,0.007,1.409,0.043,0.185,1.213,0,0.63,0.266,0.982,0.58,0.783,1.19,1.253,0,0.004,0.298,0.277,0.005,0.333,0.005,0.114,0,0.664
323,1.431,0,0.009,0.083,0.527,0,0.311,0.42,0.414,0.599,0.218,0.072,0.292,4.147,0.488,0.153,0.336,0.391,0.065,0.074,0.065,0.023,4.417,0.12,0.017,0.17,0.6,0.332,0.104,0.213,1.347,0.642,0.134,0.405,0.635,0.075,0.193,0.012,2.357,0.024
324,0.005,0,0.005,0.005,0.005,1.519,0.005,0.06,0.005,0.006,0.073,0.217,0.418,1.196,0,0.145,0.303,0.186,4.31,0.345,0.468,0.088,0,0.408,0.291,0.306,0.5,0.245,0.075,0.423,0.459,0.044,0.278,0.125,0.005,0.231,0.013,0.055,0.65,0.779
325,0.005,2.239,0.007,0.008,0.005,0.005,0.005,0.006,0.005,0.007,0.096,0.113,0.125,1.712,0,0.139,0.124,0.004,0,0.288,0.004,0.004,0,0.003,0.005,0.003,0,0,0,0.003,0.964,0.168,0.117,0.147,0.494,0.708,0.161,0.169,1.3,0.143
326,0.004,0,0.004,0.008,0.288,0.004,1.544,0.006,1.116,0.004,0,0.004,0.003,0.004,0,0,0,0.003,0,0.004,0.939,0.37,0,0.372,0.46,0.413,0.641,0.709,0.14,1.091,0.005,0.003,0.003,0.003,0.003,0,0,0.004,0.003,0
327,1.066,0.965,0.872,0.37,1.161,1.251,5.234,0.999,1.216,0.704,1.101,0.589,0.004,1.347,4.88,0.34,0.009,0.996,0,0.004,0.547,0.649,6.316,1.401,1.066,1.072,1.039,1.127,0.854,1.064,0.757,0.418,0.871,0.242,0.396,0,0.365,0.562,0.696,1.357
328,0.132,0.005,0,0.056,0.004,0.047,0.697,0.037,0.037,0.05,0.117,0.22,0.494,0.452,5.249,0.008,0.339,0.323,5.785,0.006,0.109,0.176,1.793,0,0.127,0.069,0.079,0,0.222,0.118,2.271,0.744,1.072,0.787,0.274,0,0.636,0.561,2.023,0
329,0.007,0.194,2.262,0.752,0.88,0.31,0.537,0.164,0.234,0.411,0.087,0,0.227,0.155,1.601,0.017,0.011,0.109,1.55,3.292,0.004,0.003,0.003,2.435,0.003,0.003,0.004,0,0.004,0.005,0.09,0.084,0.066,0.058,0.063,1.349,0.057,0.025,0.112,1.281
330,0,0,0,0,0,0,0,0,0,0.004,0.281,0,0.003,0.003,0.003,0.685,0.003,0.004,4.997,0,0.009,0.208,0.006,0,0.01,0.252,0.007,3.376,0.005,0.006,0.003,0.232,0.003,0.004,0.003,0.003,0.004,0.471,0.114,0.003
331,0.006,0.158,4.199,0.814,0.255,0.54,0.552,1.101,0.556,1.034,0.186,0,1.06,0.005,3.012,1.234,0.792,0.478,3.062,0,0.005,0.006,0.007,0,0.005,0.004,0.006,3.857,0.008,0.007,0.666,0.165,0.006,0.521,0.652,0.006,0.009,0.206,0.157,0.219
332,0.004,0.733,0,0.006,0.005,0.572,0.004,0.044,0.005,0.35,0.006,0,0.74,0.004,3.813,0.855,1.032,1.161,3.416,0,0.538,0.681,1.848,0,0.218,0.369,0.657,4.316,1.019,0.788,0.005,1.072,0.003,0.476,0.747,0.007,0.007,0.006,0.338,1.15
333,1.043,0.588,3.553,1.524,0.152,0.065,0.724,1.248,0.468,1.018,0.005,5.521,0.007,0.154,0.254,0.005,0.005,0.18,0.387,2.964,1.063,1.025,1.457,0,0.004,2.826,1.594,0,0.003,1.068,0.004,0.637,0.455,0.176,1.222,0.005,0.218,0.194,0.155,1.253
334,0.006,0.145,1.328,1.702,0.122,0.198,0.157,0,0.097,0.086,0.005,0,1.195,0.902,1.283,0.004,0.004,1.296,2.38,1.145,3.881,0.211,2.261,3.099,0.31,0.018,0.066,7.113,0.825,0.038,0.644,1.814,0,1.437,0.759,1.981,1.42,0.781,0.539,1.676
335,0.006,0.005,0.01,0,0,0.006,0,4.609,0.008,0.009,0.25,3.109,0.364,0.888,1.429,0.819,0.508,0.341,0.437,0.842,1.095,0.182,0.543,2.366,0,0.638,0.264,0,0,0.331,1.149,0.006,4.994,0.388,0.532,0.733,0.625,0.374,0.303,1.026
336,0.026,0.233,1.199,0,0.348,0.482,0.072,1.355,0.606,0.22,0.004,0.381,0.377,0.307,0.116,0.563,0,0.297,0.522,1.407,0,0.422,0.004,0.004,0,0.004,0.614,0,0,0.004,0.068,0.101,5.659,0.323,0.18,0.088,0.269,0.172,0.198,0.226
337,0.293,0.152,0.708,1.19,0.106,0.237,0.342,0.421,0.181,0.303,0.474,3.171,0.655,1.312,0.004,1.728,0,0.995,1.101,1.153,1.3,0.006,0.006,0.005,0,0.005,0.019,3.304,0,0.005,0.003,1.774,0,0.004,0.01,1.208,0.942,1.202,0.329,0.003
338,0.17,0.418,0.32,0.21,0.008,0.235,0.214,0.8,0,0.319,0.012,0.009,0.764,0.006,0.865,0.571,0,0.505,0.396,0.696,0.061,0.229,0.528,0.193,4.28,0.109,0.067,0.235,1.362,0.047,0.304,0.501,0,0.666,0.295,0.098,0.094,0.006,0.169,0.473
339,0.008,0.082,0.23,0.006,0.008,0.009,0.008,0.008,3.078,0.129,0.473,0.197,0.355,0.142,0.144,0.156,0,0.317,0.227,0.634,0.456,0.271,0.108,0.264,1.278,0.548,0.369,0.008,0.185,0.207,0.126,0.022,2.142,0.29,0.215,0.167,0.15,0.189,0.163,0.224
340,0.258,0.141,0.376,0.456,0.005,0.086,0.005,0.949,0,0.838,0.394,0.136,0.033,0.141,0.237,0.107,5.331,0.052,0.092,0.009,0.137,1.508,0.169,0.262,0.936,1.412,0.199,0.224,0.54,0.203,0.293,0.46,0.058,0.665,0.491,0.27,0.309,0,0.316,0.259
341,0.647,0.009,0.425,0.362,0.581,0.459,0.231,0.313,2.855,0.354,0.323,0.293,0.267,0.273,0.202,0.202,0,0.09,0.274,0.266,0.237,0,0.005,0.793,1.132,0,0.305,0.006,0.008,0.349,0.005,0.131,0.047,2.482,0.32,0.36,0.276,0,0.164,0.486
342,0.411,0.132,0.312,0.173,0,0.022,0.193,0.11,1.116,0.318,0.005,0.005,0.005,0.006,0.006,0.006,2.598,0.005,0.006,0.006,0.339,0,0.223,0.299,1.456,0,0.326,0.362,0.569,1.769,0.004,0.591,0.005,0,0.004,0.464,0.056,0,0.267,0.08
343,0.194,0.005,0.005,0.003,0,0.003,0.257,0.004,1.092,2.727,0.871,0.357,0.172,0.171,0.102,0.165,0.995,1.168,0.181,0.428,0.018,3.964,0.018,0.058,0.031,1.577,0.159,0.064,0.107,2.256,0.237,0.057,0.027,0,0.039,0.383,0.084,2.128,0.099,0.462
344,0.848,0.005,0.238,0.005,2.144,0.006,0.004,0.005,0.004,1.997,0.15,0.137,0.233,1.904,0.351,0.035,0.005,1.685,0.467,0.281,0.501,0,0.004,0.005,0.004,0.136,0.006,0.006,0.004,1.587,0.177,0.169,0.377,0,0.24,0.445,0.289,1.112,0.211,0.236
345,4.779,0.005,0.725,0.43,0.255,0.927,0.005,0.362,0.004,0,0.802,0.102,0.004,0,0.536,0.005,0.787,0,0.62,0.747,2.431,0,0.388,1.078,2.048,1.213,1.806,1.0,1.0,2.832,0.205,0.004,0.589,0,0.005,0.004,0.004,0.534,0.005,0.004
346,2.514,0.214,0.095,0.149,0.429,0.022,0.151,0.223,0.339,0,0.004,1.015,1.879,0,0.386,0.631,0.918,2.562,0.004,0.004,0.657,0,0.246,0.065,1.53,0.225,0.587,0.281,0.008,3.949,0.632,0.453,0.231,7.007,0.337,0.117,0.095,0.675,0.496,0.014
347,0,0,0,0.004,0,0.38,0.003,0,0.003,0,0.03,0.911,1.559,0,0.609,0.011,2.116,2.293,0.391,0.824,0.008,3.135,0.179,0.061,0.008,0.016,0.036,0.198,0.065,0.891,0.137,0.075,0.647,2.536,0.035,0.845,0.206,0.192,2.235,0.05
348,3.511,0.006,0.006,0.006,0.005,0.006,0.006,0.007,0.006,4.455,0.137,0.092,0.194,0,0.54,0.011,0.075,0.769,0.334,0.242,0.004,0.486,0,0.003,0.003,0.003,0.004,0,0.003,0.003,0,0.004,0.004,0.683,0.006,0.331,0.032,1.014,0.99,0.184
349,4.63,0.213,0.43,0.329,0.318,0.024,0.013,0.168,0.08,3.458,0.003,0.003,0,0,0,0,0,0.003,0.185,0.42,1.064,0.957,1.218,0.093,0.702,1.269,0.312,1.268,0.043,1.769,0,0.549,0.803,2.513,0.432,1.468,0.334,0.627,0,0.782
350,1.221,1.986,0.454,0.05,0.059,0.734,0.519,0.341,1.055,0.842,1.277,0.909,0.732,0,0.595,0.005,0.344,0.666,1.557,0.542,0.105,1.717,0.489,0.054,0.132,0.519,0.074,0.883,0.322,0.511,0,0.005,0.639,2.195,0.364,0.752,0.012,0.011,0,0.004
351,0.006,0,0.069,0.152,0.087,0.169,0.006,0.166,0.091,0.043,0.187,0.007,0.203,0,0.453,0.097,0.366,0.373,0,0.006,0.221,0.617,0.762,1.093,0.178,0.545,0.099,1.26,1.044,0.874,1.876,0.05,0.032,1.684,0.015,0.104,0.037,0.019,2.09,0.013
