op_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
268,164848115712,138468638720,154590728192,148278575104,135671578624,154591723520,112674484224,181598212096,142510309376,189649776640,115322433536,147790766080,157205663744,177161531392,191395573760,151550337024,150486605824,178387791872,164185317376,177591205888,144461844480,159502413824,172308066304,191567269888,183913451520,163571773440,128870154240,198258585600,156767010816,172448673792,148999819264,127003619328,164091346944,185487482880,156653072384,162574598144,148087173120,175816028160,229985296384,134877696000
269,164848156672,138468745216,154590883840,148278710272,135671652352,154591887360,112674562048,181598347264,142510370816,189650567168,115322445824,147790917632,157205774336,177161715712,191395704832,151550509056,150486732800,178387914752,164185419776,177591373824,144461926400,159502495744,172308078592,191567368192,183913545728,163571834880,128870154240,198258794496,156767105024,172448813056,149000048640,127003721728,164091514880,185487654912,156653228032,162574725120,148087341056,175816163328,229985296384,134877753344
270,164848414720,138468823040,154590982144,148278841344,135671771136,154591989760,112674603008,181598482432,142510428160,189650665472,115322585088,147790962688,157205884928,177161781248,191395815424,151550574592,150486818816,178388062208,164185419776,177591439360,144462106624,159502741504,172308078592,191567601664,183913816064,163572031488,128870154240,198259032064,156767342592,172449054720,149000146944,127003795456,164091600896,185487863808,156653236224,162574835712,148087410688,175816290304,229985320960,134877753344
271,164848955392,138468823040,154591141888,148279046144,135671861248,154592190464,112674754560,181598715904,142510628864,189650960384,115322765312,147791134720,157206081536,177161990144,191395905536,151550775296,150487011328,178388258816,164185505792,177591652352,144462225408,159502880768,172308705280,191567745024,183913926656,163572158464,128870154240,198259175424,156767567872,172449161216,149000302592,127003947008,164091731968,185488023552,156653244416,162574966784,148087562240,175816511488,229986521088,134877753344
272,164849119232,138468823040,154591289344,148279197696,135671984128,154592354304,112674893824,181598945280,142510780416,189651189760,115322826752,147791228928,157206200320,177162113024,191395946496,151550889984,150487142400,178388393984,164185505792,177591824384,144462475264,159503134720,172309028864,191567876096,183914233856,163572441088,128870244352,198259380224,156767698944,172449390592,149000425472,127004057600,164091826176,185488162816,156653633536,162575044608,148087693312,175816663040,229986889728,134877753344
273,164849598464,138469351424,154591662080,148279549952,135672254464,154592628736,112675041280,181599375360,142511144960,189651484672,115323035648,147791527936,157206405120,177162420224,191395954688,151551193088,150487334912,178388606976,164185563136,177591980032,144462589952,159503233024,172309143552,191567876096,183914414080,163572559872,128870830080,198259380224,156767961088,172449624064,149000679424,127004303360,164092170240,185488404480,156653907968,162575044608,148087910400,175816847360,229987348480,134878294016
274,164849651712,138469404672,154591670272,148279627776,135672320000,154592735232,112675102720,181599453184,142511206400,189651677184,115323121664,147791663104,157206540288,177162555392,191395954688,151551197184,150487449600,178388811776,164186259456,177591980032,144462643200,159503306752,172309200896,191567876096,183914496000,163572609024,128870854656,198259380224,156768055296,172449677312,149000757248,127004381184,164092293120,185488596992,156654092288,162575101952,148088119296,175817154560,229987749888,134878437376
275,164849700864,138469462016,154591670272,148279693312,135672377344,154592854016,112675143680,181599510528,142511230976,189651795968,115323146240,147791695872,157206577152,177162612736,191395954688,151551197184,150487478272,178388869120,164186288128,177592344576,144462708736,159503409152,172309291008,191567880192,183914627072,163572678656,128870903808,198259380224,156768169984,172449730560,149000802304,127004426240,164092346368,185488662528,156654141440,162575101952,148088168448,175817207808,229987819520,134878519296
276,164849729536,138469511168,154591670272,148279721984,135672414208,154592923648,112675184640,181599592448,142511276032,189651841024,115323240448,147791740928,157206654976,177162694656,191395954688,151551213568,150487543808,178388979712,164186386432,177592422400,144462741504,159503441920,172309352448,191567880192,183914708992,163572764672,128870952960,198259380224,156768231424,172449783808,149000839168,127004475392,164092399616,185488740352,156654219264,162575634432,148088233984,175817318400,229987901440,134878576640
277,164849991680,138469728256,154591670272,148279943168,135672602624,154593189888,112675323904,181599842304,142511525888,189652066304,115323289600,147791781888,157206708224,177162735616,191395954688,151551393792,150487588864,178389049344,164186435584,177592479744,144462929920,159503745024,172309602304,191568769024,183914987520,163573055488,128871124992,198259380224,156768493568,172450033664,149000884224,127004520448,164092452864,185488793600,156654264320,162575695872,148088287232,175817367552,229987954688,134878617600
278,164850229248,138469892096,154592333824,148280123392,135672786944,154593333248,112675430400,181599842304,142511693824,189652258816,115323465728,147791859712,157206888448,177163001856,191397031936,151551430656,150487805952,178389282816,164186681344,177592778752,144463097856,159503929344,172309856256,191569006592,183915175936,163573272576,128871297024,198259380224,156768624640,172450254848,149001179136,127004712960,164092669952,185489084416,156654514176,162576048128,148088344576,175817621504,229988384768,134878838784
279,164850348032,138469974016,154592370688,148280205312,135672864768,154593386496,112675479552,181599842304,142511771648,189652385792,115323535360,147791859712,157207089152,177163165696,191397257216,151551709184,150487977984,178389458944,164186828800,177592999936,144463204352,159504064512,172309983232,191569137664,183915315200,163573354496,128871374848,198259433472,156768776192,172450328576,149001302016,127004876800,164092964864,185489289216,156654690304,162576252928,148088344576,175817854976,229988659200,134878969856
280,164850622464,138470154240,154592620544,148280446976,135673143296,154593644544,112675684352,181599961088,142512005120,189652619264,115323600896,147792359424,157207220224,177163272192,191397310464,151551709184,150488051712,178389540864,164186914816,177593085952,144463204352,159504330752,172310339584,191569440768,183915438080,163573719040,128871575552,198260793344,156768780288,172450660352,149001416704,127004921856,164093038592,185489395712,156654764032,162576326656,148088344576,175817924608,229988765696,134879059968
281,164850716672,138470244352,154592727040,148280446976,135673196544,154593730560,112675770368,181599961088,142512062464,189652725760,115323801600,147792637952,157207461888,177163608064,191397855232,151552155648,150488354816,178389921792,164187303936,177593389056,144463233024,159504388096,172310392832,191569670144,183915438080,163573813248,128871628800,198260920320,156769079296,172450742272,149001719808,127005200384,164093050880,185489764352,156655210496,162576560128,148088885248,175818219520,229989257216,134879297536
282,164850769920,138470313984,154592821248,148280520704,135673249792,154593796096,112675803136,181599961088,142512156672,189652799488,115323899904,147792707584,157207482368,177163669504,191397941248,151552266240,150488354816,178390016000,164187410432,177593495552,144463233024,159504400384,172310401024,191569686528,183915438080,163573837824,128871636992,198260924416,156769079296,172450766848,149001809920,127005249536,164093050880,185489842176,156655276032,162576646144,148089069568,175818301440,229989355520,134879326208
283,164850823168,138470354944,154592833536,148280524800,135673262080,154593808384,112675807232,181600006144,142512160768,189652799488,115323904000,147792728064,157207482368,177163685888,191397969920,151552282624,150488473600,178390032384,164187430912,177593507840,144463233024,159504515072,172310556672,191569850368,183915888640,163574013952,128871739392,198261096448,156769079296,172450889728,149001826304,127005257728,164093050880,185489858560,156655308800,162576666624,148089098240,175818334208,229989388288,134879338496
