kbmemused,aceph01,aceph02,aceph03,aceph04
286,9219508.0,9078116.0,9332308.0,9184328.0
287,9219592.0,9082708.0,9337056.0,9186360.0
288,9218644.0,9081916.0,9342892.0,9193048.0
289,9212468.0,9084608.0,9347164.0,9196580.0
290,9217744.0,9090284.0,9348864.0,9193036.0
291,9224672.0,9099012.0,9347608.0,9199312.0
292,9225532.0,9090292.0,9348008.0,9200264.0
293,9227252.0,9093600.0,9350216.0,9204424.0
294,9225892.0,9097276.0,9352100.0,9205852.0
295,9253704.0,9110416.0,9348584.0,9211464.0
296,9229028.0,9135644.0,9389252.0,9215748.0
297,9232284.0,9105696.0,9352192.0,9256620.0
298,9234460.0,9108332.0,9356412.0,9238872.0
299,9238664.0,9113596.0,9360952.0,9217720.0
300,9241436.0,9115768.0,9367932.0,9229104.0
301,9265860.0,9119636.0,9368012.0,9223892.0
302,9242824.0,9121768.0,9370436.0,9223916.0
303,9240696.0,9126852.0,9369924.0,9225812.0
304,9232556.0,9133228.0,9365772.0,9227980.0
305,9239872.0,9120916.0,9371628.0,9226272.0
306,9243272.0,9118576.0,9374132.0,9232652.0
307,9252920.0,9125656.0,9378760.0,9228092.0
308,9254584.0,9170404.0,9412748.0,9259504.0
309,9258684.0,9154404.0,9408204.0,9271808.0
310,9256728.0,9129144.0,9381692.0,9230628.0
311,9274716.0,9126244.0,9386736.0,9230340.0
312,9301544.0,9136396.0,9394604.0,9230952.0
313,9270380.0,9138716.0,9381160.0,9240056.0
314,9279152.0,9147412.0,9386828.0,9243840.0
315,9285304.0,9150388.0,9387904.0,9253684.0
316,9288604.0,9143628.0,9397800.0,9258148.0
317,9292516.0,9142816.0,9398760.0,9265864.0
318,9289676.0,9165076.0,9435548.0,9297876.0
319,9291668.0,9147640.0,9397276.0,9299716.0
320,9297268.0,9144208.0,9400528.0,9262456.0
321,9336920.0,9149860.0,9403008.0,9266756.0
322,9305176.0,9149028.0,9406092.0,9262288.0
323,9303116.0,9143868.0,9402280.0,9263276.0
324,9304240.0,9145012.0,9404292.0,9262352.0
325,9308272.0,9146076.0,9404760.0,9263184.0
326,9299428.0,9147624.0,9403740.0,9264380.0
327,9304540.0,9150824.0,9408564.0,9270224.0
328,9308036.0,9154048.0,9411376.0,9273828.0
329,9312240.0,9158640.0,9415212.0,9291232.0
330,9318964.0,9162656.0,9422132.0,9286516.0
331,9339836.0,9170160.0,9454328.0,9266396.0
332,9367756.0,9184460.0,9472620.0,9272836.0
333,9323260.0,9205160.0,9424400.0,9281828.0
334,9327852.0,9181380.0,9426440.0,9283232.0
335,9327892.0,9192108.0,9436004.0,9290332.0
336,9334544.0,9194420.0,9431812.0,9300468.0
337,9337884.0,9194692.0,9431512.0,9304612.0
338,9337408.0,9199112.0,9439824.0,9303912.0
339,9333976.0,9199108.0,9443324.0,9303380.0
340,9334284.0,9196476.0,9439764.0,9302776.0
341,9336628.0,9200768.0,9436804.0,9303564.0
342,9367812.0,9201668.0,9441940.0,9332412.0
343,9360448.0,9243408.0,9491152.0,9339840.0
344,9335976.0,9268868.0,9476228.0,9306092.0
345,9337152.0,9242396.0,9452096.0,9306684.0
346,9337844.0,9213800.0,9453928.0,9310020.0
347,9331324.0,9214396.0,9455996.0,9311968.0
348,9330440.0,9214684.0,9448736.0,9312480.0
349,9333856.0,9212504.0,9450160.0,9313156.0
350,9368976.0,9214608.0,9454700.0,9315272.0
351,9364120.0,9223644.0,9461108.0,9312336.0
352,9344348.0,9228908.0,9464532.0,9319684.0
353,9347776.0,9231360.0,9466196.0,9322388.0
354,9351836.0,9237160.0,9474124.0,9324328.0
355,9356124.0,9243664.0,9481040.0,9324704.0
356,9361208.0,9260468.0,9512192.0,9355592.0
357,9366464.0,9257720.0,9485248.0,9369608.0
358,9349068.0,9228736.0,9485220.0,9332292.0
359,9325448.0,9231932.0,9485500.0,9324800.0
360,9334288.0,9235076.0,9490528.0,9321432.0
361,9332280.0,9241080.0,9492412.0,9327604.0
362,9349864.0,9242968.0,9495628.0,9333692.0
363,9350796.0,9244340.0,9497956.0,9336364.0
364,9325452.0,9227720.0,9498912.0,9338296.0
365,9328612.0,9230880.0,9502532.0,9338684.0
366,9329384.0,9231908.0,9503020.0,9333784.0
367,9334672.0,9231612.0,9512736.0,9333076.0
368,9340904.0,9228056.0,9512200.0,9330924.0
369,9338260.0,9228544.0,9513660.0,9333260.0
370,9345256.0,9276064.0,9526856.0,9350024.0
371,9387780.0,9240864.0,9537768.0,9359884.0
372,9365284.0,9250784.0,9538128.0,9347448.0
373,9363980.0,9262500.0,9538352.0,9353980.0
374,9370236.0,9265824.0,9530900.0,9360792.0
375,9375696.0,9267012.0,9524328.0,9362012.0
376,9380532.0,9258824.0,9528796.0,9367244.0
377,9381984.0,9260692.0,9535960.0,9377028.0
378,9378812.0,9263732.0,9537260.0,9375368.0
379,9382876.0,9260628.0,9539972.0,9376732.0
380,9387608.0,9265792.0,9542916.0,9401772.0
381,9394288.0,9272604.0,9550720.0,9414020.0
382,9394324.0,9273064.0,9542276.0,9375240.0
383,9405908.0,9299980.0,9565144.0,9377476.0
384,9410128.0,9282128.0,9567232.0,9380048.0
385,9404584.0,9280888.0,9542096.0,9382312.0
386,9408944.0,9285580.0,9549548.0,9383100.0
387,9404932.0,9290036.0,9550336.0,9383176.0
388,9407828.0,9295712.0,9557088.0,9384124.0
389,9409520.0,9298648.0,9558216.0,9388932.0
390,9453020.0,9303600.0,9565768.0,9388920.0
391,9447072.0,9303012.0,9569628.0,9429868.0
392,9451160.0,9310572.0,9586960.0,9397528.0
393,9416420.0,9333188.0,9573548.0,9400264.0
394,9417328.0,9316700.0,9572356.0,9403524.0
395,9422328.0,9321836.0,9577636.0,9406088.0
396,9424296.0,9320476.0,9580236.0,9410624.0
397,9429540.0,9318124.0,9584820.0,9407364.0
398,9432176.0,9319712.0,9589212.0,9412580.0
399,9436888.0,9321324.0,9576200.0,9416324.0
