%usr,aceph01,aceph02,aceph03,aceph04
80,26.27,36.18,32.7,9.17
81,15.76,16.29,19.11,24.47
82,13.01,11.63,12.22,20.48
83,43.97,24.07,32.17,14.41
84,17.54,11.96,13.64,28.88
85,21.83,23.45,21.37,10.8
86,29.73,27.74,36.68,24.4
87,16.04,29.04,23.77,27.24
88,34.99,21.7,21.5,21.45
89,16.19,9.46,10.16,25.0
90,40.2,36.22,34.51,8.47
91,15.23,15.56,14.93,36.72
92,44.65,33.25,29.91,17.34
93,17.45,15.97,21.97,40.53
94,56.36,70.11,48.67,18.0
95,32.34,32.95,40.61,49.05
96,10.97,14.96,12.77,29.66
97,11.42,12.28,10.66,14.36
98,37.66,27.06,28.07,11.04
99,43.55,35.22,49.24,28.31
100,10.31,9.66,11.24,32.78
101,72.91,67.59,71.52,9.55
102,32.24,41.57,30.57,52.22
103,8.77,8.9,8.29,24.71
104,8.04,7.69,7.65,8.72
105,45.86,44.36,39.19,7.06
106,43.99,30.66,37.83,44.78
107,16.92,16.27,15.78,39.26
108,19.44,19.06,26.55,16.1
109,25.06,25.28,28.55,19.59
110,10.38,10.09,12.94,30.83
111,15.62,19.17,17.42,9.58
112,7.06,7.81,7.63,13.42
113,65.29,56.38,50.13,9.56
114,34.05,19.12,26.98,63.0
115,20.28,22.76,24.14,20.8
116,8.83,8.53,9.73,20.25
117,13.94,5.81,8.31,12.47
118,35.26,31.87,30.68,13.4
119,29.04,21.02,20.96,25.06
120,22.21,16.25,21.01,20.55
121,21.52,20.0,23.28,18.23
122,40.76,50.57,33.16,24.17
123,20.22,15.97,14.45,31.82
124,49.23,47.78,44.71,19.72
125,19.52,21.58,16.31,36.66
126,28.19,30.16,33.42,14.79
127,40.1,29.61,32.45,28.84
128,25.41,22.66,24.78,37.94
129,18.07,12.77,14.36,31.95
130,20.18,24.56,27.23,12.45
131,38.19,33.54,44.35,12.2
132,56.98,55.51,51.78,28.41
133,18.44,16.52,16.2,45.49
134,30.64,20.41,18.46,13.43
135,26.02,19.87,19.19,20.41
136,18.55,17.34,17.22,23.09
137,29.19,34.26,28.75,20.2
138,10.25,11.06,11.76,34.18
139,30.18,30.2,28.82,10.43
140,24.78,31.45,31.2,28.95
