txkB/s,client01,client02,client03,client04
51,5779.35,2440.79,103.29,4425.87
52,772.97,298.59,1396.93,10.28
53,14.6,750.3,1677.56,1269.12
54,1659.54,1874.2,6624.65,1578.27
55,5479.12,6304.24,6431.62,6016.26
56,6423.46,6071.45,2724.27,5019.94
57,6039.56,3648.33,6685.74,2018.16
58,4478.57,6027.78,5267.08,6190.56
59,4454.79,5028.37,1273.38,3315.07
60,4382.31,1372.64,1338.47,1813.28
61,801.81,1093.24,1545.13,814.31
62,1068.94,1479.67,3498.91,1169.34
63,186.25,2276.58,5054.68,1879.45
64,6267.62,4864.33,4731.71,2631.88
65,6534.34,5429.52,3188.84,3741.55
66,4164.22,3210.37,478.18,2009.45
67,890.77,797.32,1772.71,460.86
68,272.98,1907.75,1659.93,2143.43
69,2750.25,1399.53,2229.38,674.43
70,2015.71,4148.36,4401.94,3486.09
71,4434.54,3191.2,3421.4,2420.52
72,4317.38,6086.69,3331.41,5189.12
73,4806.55,2971.04,203.96,2867.35
74,1669.28,517.71,558.85,569.93
75,133.49,9.86,1683.02,7.12
76,2173.91,3152.75,3339.17,2881.83
77,639.9,2815.26,4754.82,3042.81
78,4792.61,6120.91,1743.65,5672.46
79,4630.31,2050.13,2621.62,1824.22
80,372.33,2873.27,1689.77,1918.66
81,3350.52,2717.16,1078.91,2233.84
82,3028.89,1568.1,3441.72,1339.07
83,438.48,3267.91,1747.97,2889.58
84,2966.2,1591.92,1720.92,1244.71
85,1006.41,1796.55,4564.19,1609.52
86,2680.15,4859.97,1111.41,5345.13
87,2674.51,983.58,4126.46,1010.25
88,4371.09,4597.92,2271.6,3275.93
89,2770.77,2305.44,5254.88,1963.27
90,2692.25,5601.49,560.73,5023.78
91,1963.11,570.86,4544.32,427.84
92,2047.88,4251.72,3193.89,4175.12
93,4316.94,3808.38,4453.55,3249.13
94,2978.08,5354.34,2807.72,5814.85
95,5944.39,4786.21,2351.2,4644.12
96,5615.96,3595.07,859.04,2258.1
97,1644.47,940.14,2382.18,1200.28
98,15.24,2446.73,5753.24,2017.96
99,5794.39,5884.25,1668.81,7035.54
100,3192.19,1915.69,4245.56,1439.04
101,2709.97,4829.8,6849.24,5724.97
102,8486.49,7906.68,327.66,7583.18
103,1749.37,377.6,102.75,81.84
104,553.63,267.13,2945.43,56.9
105,105.74,2322.4,7274.84,1648.99
106,7523.0,7646.77,1598.64,6421.81
107,3958.09,2538.55,1259.93,1733.43
108,1579.4,1432.72,3760.83,1359.93
109,2365.41,4151.15,927.13,5777.95
110,3641.26,1122.81,1173.43,959.92
111,858.44,1759.83,20.43,1302.72
112,1231.94,28.45,5386.3,26.13
113,1522.48,4763.66,4384.36,5211.27
114,6930.18,5345.14,1377.77,4801.22
115,1251.91,1441.42,2469.07,1384.56
116,2354.97,1838.93,1023.21,2772.38
117,1058.82,1231.43,1921.05,537.09
118,831.33,3993.82,3574.14,1845.68
119,6430.0,3752.19,910.15,3706.96
120,2303.39,2055.07,1300.67,1870.45
121,2164.57,2325.24,4625.4,1999.28
122,4253.6,6039.9,1392.42,5743.57
123,3407.84,1990.86,4745.02,2169.03
124,2385.66,6006.96,2400.88,4339.78
125,4751.26,3102.37,2729.38,2342.29
126,4090.54,3110.22,4479.44,2612.97
127,3036.33,4767.06,3158.36,3979.19
128,4595.12,2863.23,2182.24,4590.31
129,2554.71,3080.33,674.66,2475.96
130,1526.1,691.11,4032.01,534.99
131,4225.74,5090.32,5554.82,5696.51
132,4255.37,3789.74,3927.83,2529.35
133,7034.38,3956.79,1330.96,4327.92
134,1253.66,2020.07,3042.98,1841.96
135,3763.05,3645.12,1639.44,3156.84
136,1551.13,2717.99,1436.49,2172.82
137,1754.27,1299.07,2662.8,1662.7
138,4182.76,2003.0,783.88,2487.25
139,336.61,179.71,7376.29,756.11
140,6087.65,7844.82,1766.17,7289.71
141,1984.82,1537.17,3471.31,1729.92
142,3516.49,3772.3,1216.27,4098.87
143,2935.17,1154.72,1159.88,1258.05
144,445.24,1070.36,1267.4,1165.75
145,1708.47,1570.22,1505.12,1344.31
146,1048.12,2099.99,3800.16,2158.19
147,8444.11,6431.85,2638.63,7029.97
148,2563.1,3732.49,1608.58,2697.55
149,2933.67,2099.06,3137.16,2846.83
150,3361.41,3254.45,2933.14,3217.25
151,2787.0,3553.72,1408.99,2955.63
152,1835.3,1043.54,3398.05,1510.88
153,3936.98,3505.04,4165.93,4710.38
154,3189.95,4093.14,360.94,3040.58
155,2020.6,830.75,1254.44,280.97
156,1299.13,1638.28,5165.09,2322.33
157,1900.2,6144.23,3181.86,4840.89
158,6246.53,4045.78,3265.67,4444.67
159,3919.25,3574.65,5303.58,3888.75
160,4711.63,5879.45,4056.64,5571.09
161,3581.98,3870.04,6252.78,4149.18
162,7496.95,7355.37,1166.59,4561.17
163,3578.67,2416.96,2001.53,1767.85
164,2229.44,2736.96,3213.61,2595.59
165,958.97,2826.1,2341.68,1392.83
166,2760.05,2924.91,1151.76,3914.57
167,4064.17,1867.87,2237.25,1357.76
168,1764.74,2060.45,2549.19,1788.55
169,2828.58,2776.21,1881.97,2610.78
170,3087.27,1671.43,1632.41,1634.15
171,2638.77,3051.06,2697.58,1928.56
172,1008.28,2779.99,4010.41,3189.18
173,4645.1,3638.78,1872.98,3619.11
174,2254.48,2382.9,2427.49,1993.01
175,2603.09,2961.62,2688.8,1863.37
176,1743.67,2121.31,1114.6,2354.43
177,2917.25,1208.16,3354.49,1171.07
178,2290.53,4125.81,3223.87,5708.07
179,5536.61,3365.1,2148.18,2182.23
180,3015.41,4154.33,1435.0,4368.79
181,2608.53,2033.86,763.44,1623.77
182,728.26,848.79,4431.23,923.23
183,2765.46,4512.1,677.37,3888.45
184,2456.96,933.9,4611.48,1038.21
185,3222.63,4285.24,5345.87,4926.46
186,6621.13,4826.39,669.41,6114.94
187,2736.5,890.34,1234.32,1071.73
188,1158.34,1538.82,3695.1,1514.28
189,1295.73,4316.07,3331.6,4030.2
190,3606.87,3954.58,4676.46,3368.3
191,6148.51,5053.48,457.17,4818.48
192,1405.06,119.52,2946.16,590.91
193,1409.3,4319.81,5973.31,3319.7
