op_w_process_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
83,0.19,0.966,4.547,0.336,0.302,0.416,0.458,0.181,0.071,0.181,0.2,1.171,0.081,0.332,0.218,0.309,0.342,0.171,0.005,0,0.473,0.738,0.648,0,0.218,0.38,0.307,0,0.33,0.154,0.255,0.63,0.13,0.09,0.178,0.254,0.073,0.144,0.226,0.036
84,0.005,0.019,0.088,0.196,0.287,0.03,0.023,0.008,0.307,0.091,0.005,0,0.144,0.28,0.592,0.215,0.333,0.227,0.23,0,0.08,0.316,0.273,5.484,0.005,0.294,0.01,0.17,0.005,0.168,0.159,0.134,0.156,0.379,0.292,0.079,0.463,0.224,0.161,0.36
85,0.342,0.547,0.433,0.457,0.039,0.51,0.263,0,0.441,0.535,0.241,0.361,0.103,0.309,0.216,0.464,0.256,0.126,0.297,0.348,0.405,0.542,0.346,7.643,0.294,0.012,0.577,0.225,1.363,0.241,0.447,0.626,0.419,0.59,0.602,0.231,0.532,0.49,0.543,0.838
86,0.773,0.53,0.468,0.434,0.012,0.008,0.728,0,0.048,0.008,0.686,0.31,0.233,0.074,0.635,1.088,0.476,0.141,0.586,0.053,0.077,0.04,0.013,0.106,0,0.005,0.005,0.013,0,0.006,0.195,0.005,0,0.618,0.24,0.561,0.101,0.177,0.598,0.043
87,0.444,0.255,0.278,0,0.116,0.505,0.299,0,0.362,0.253,0.004,0.01,0.006,0.014,0.04,0.008,0.005,0.008,0.005,0.321,0,0.08,0.063,0.076,1.544,0.005,0.035,0.005,1.693,0.058,0.008,0.088,0,0.036,0.038,0.005,0.078,0.081,0.008,0.05
88,0.543,0,0.004,0,0.003,0.796,1.107,0,1.2,0.658,0.005,1.004,0.716,0.11,0.341,0.746,0.192,0.252,0.665,1.254,0,0.711,0.887,0.004,0,0.689,0.569,0.337,0,0.16,0.185,0.796,0.9,1.103,0.463,0.004,0.445,0.742,0.005,1.549
89,0.235,0.32,0.215,0,0.007,0.077,0.558,0.873,0.953,0.296,0.814,0.136,2.624,1.103,0.07,0.705,1.671,0.451,0.575,0.635,5.255,0.49,0.014,0.032,1.168,0.476,0.29,1.037,2.526,0.007,0.351,1.108,0.423,0.452,0.977,0.901,0.739,1.815,0.701,0.249
90,0.341,0.018,0.102,0,0.274,0.145,0.312,0.288,0,0.445,0.154,0.077,0,0.136,0.111,0.35,0.023,0.12,0.083,0.106,4.069,0.009,0.006,0.009,0.313,0.013,0.013,0.005,0.084,0.01,0.394,0.185,0.082,0.151,0.09,0.368,0.52,0,0.155,0.088
91,0.073,0.063,0.048,0.749,0.048,0.03,0.043,0.235,0,0.165,0.075,0.195,0,0.888,0.113,0.554,2.052,0.886,0.547,1.647,0.186,0.32,0.013,0.3,0.335,0.123,0.315,0.113,0.051,0.295,0.482,0.246,0.32,0.543,0.348,0.432,0.328,0,1.056,0.75
92,0.007,0.199,0.009,0.064,0.059,0.01,0.259,0.265,0,0.24,0.016,0.01,0.267,0.014,0.015,0.012,0.032,0.011,0.017,0.014,0.036,0.208,0.295,0.114,0.183,0.222,0.054,0.169,0.115,0.007,0.086,0.145,0.425,0.029,0.181,0.011,0.043,0,0.147,0.095
93,0.004,0.003,0.005,0.003,0.002,0.003,0,0.578,0,0.003,0.002,0.003,0.004,0,0.003,0,0.395,0.004,0.003,0.003,0.003,0.811,0.003,0.423,0.355,0,0.005,0.003,0.003,0.003,0,0.002,0.003,0,0.003,0.293,0.429,0,0.004,0
94,0,0,0.003,0,0,0,0,0.004,0,0,0.003,0.003,0.003,0,0.003,0,0.003,0,0,0.003,0.005,0,0,0.003,0.003,0,0,2.311,0,5.084,0,0,0,0,0.004,0,0,0,0,0
95,1.546,0.016,0.537,0.72,1.739,0.764,0.932,1.511,1.751,0.723,1.783,1.168,0.911,0.726,0.478,1.035,1.436,0.432,0.487,1.399,0.768,0.733,0.624,1.026,1.464,0,0.613,1.008,1.294,0.917,0.444,0.469,0.015,0,0.14,0.941,0.713,4.097,0.151,1.239
96,0,0.042,0.124,0.469,0.276,0.052,0.012,0.159,0.015,0.015,0.008,0.214,0.546,0,0.321,0.066,0.169,0.042,0.132,0.177,0.575,0.106,0.22,0.12,0.336,0,0.303,0.076,0.766,0.282,0.099,0.152,0.088,5.571,0.076,0.072,0.015,0.103,0.137,0.061
97,2.264,0.006,0.117,0.004,0.127,0.004,0.004,0.151,0.005,0,0.003,0.004,0.005,1.387,0.005,0.005,0.004,0.969,0.005,0.118,0.326,0.003,0.004,0.059,0.007,0,0.424,0.304,0.478,0.004,0.244,0.316,0.004,0,0.004,0.21,0.417,0.052,0.433,0.198
98,0,0.21,0.605,0.233,0.025,0.29,0.34,0.386,1.018,0,0.512,0.413,1.719,0,0.363,0.199,0.252,0.163,0.9,0.701,0.62,0.27,0.282,0.094,0.204,1.39,0.209,0.007,0.006,0.253,0.005,0.141,0.237,2.521,0.715,0.005,0.024,1.096,0.005,0.447
99,0,0.101,0.061,0.004,0.076,0.051,0.021,0.009,0.075,3.242,0.136,0.11,2.154,0,0.048,0.052,0.016,0.082,0.186,0.421,0.006,0.169,0.127,0.008,0.669,0.08,0.053,0.243,0.15,0.704,0.04,0.005,0.09,0.089,0,0.081,0.031,0.005,0.158,0.005
100,0,2.553,0.893,0.007,0.009,1.466,1.017,1.344,2.509,0,0,0.014,0.005,8.018,0,0,0,0,0,0,5.223,0.007,3.838,5.436,0,0,0,0,0,0,5.16,0,0,0,0,0,0,0,0,0
101,0,0,0,0.006,0.003,0.01,0.385,0.11,1.731,0,0.005,0.006,0.005,0.073,0.006,0.006,0.006,0.005,0.005,0.005,1.675,0.59,0.826,1.828,1.617,0.93,0.497,2.169,2.156,1.384,1.225,0.959,0.169,0.587,0,0.005,0.005,0.006,0,0.004
102,1.482,0.308,0.186,0.054,0.01,0.153,0.211,0.168,0.171,7.504,0.717,0.405,1.261,2.118,0.82,0.256,0.566,0.852,0.746,0.407,1.04,0.481,0.718,0.738,0.435,0.811,0.682,1.812,0.617,1.308,0.243,0.681,0.571,1.707,0.526,1.431,0.335,1.158,0.477,0.146
103,0.108,0,0.007,0.006,0.178,0,0.071,0.075,0.152,0.048,0,0.456,0.206,0.092,0,0.005,0.331,0.053,0.136,0.428,1.508,0.501,2.92,0.021,0.775,0.496,0.01,0.934,0.224,0.122,0.079,0.228,0.491,0.556,0.085,0.089,0.748,0.59,1.06,1.577
104,1.066,0,0.279,0.223,0.349,1.541,0.251,0.228,0.607,0.274,0.847,0.075,0.091,0.319,0,0.369,0.386,0.134,0,0.331,0.203,0.027,0.174,0.342,0.254,0.203,0.771,0.302,0.176,0.375,0.582,0.09,0.605,0.309,0.09,0,0.606,0.124,2.164,0
105,0.003,0,0.004,0.004,0.324,0,0.092,0.628,0.038,0.086,0,0.047,0.249,0.004,0,0.004,0.062,0.005,0,0.158,0.004,0.004,1.067,0.051,0.004,0.004,0,0.004,0.292,1.032,0.003,0.005,0.004,0.005,0.004,3.145,0.307,0.004,0.332,0
106,2.098,0,0.285,0.352,0.753,0,0.004,0.005,0.858,1.502,0.933,0.617,1.102,2.464,0,0.69,0.409,0.692,0,0.505,0.061,0.483,0,1.614,0.683,0.643,0,0.777,0.829,0.26,0.004,0.003,0.004,0.005,0.004,3.433,0.004,0.005,0.006,0.522
107,1.121,0.53,0.824,0.192,0.77,2.011,0.502,0.552,0.299,0.552,0.199,0.418,0.277,0.79,6.495,0.519,0.377,0.622,0.345,0.166,0.421,0.504,0.729,0.73,0.702,0.531,0.384,0.526,0.212,1.031,0.529,0.522,1.092,0.677,1.036,0,0.995,0.794,0.958,0.425
108,0.124,0.164,0.349,0.16,0.199,0.392,0.056,0.047,0.005,0.837,0.644,0.085,0.228,1.347,5.608,0,0.168,0.149,0.282,0,0.37,0.816,1.317,0.815,0.732,0.754,0.161,0,0.792,0.587,1.136,2.967,0.405,0.71,0.43,2.668,0.724,0.822,0.684,0.825
109,0.263,0.661,0,0.254,0.533,0.634,0.371,0.213,0.349,0.272,0.19,0.244,0.534,0.101,0,1.518,0.519,0.223,0.312,0,0.157,0.3,0.324,0.367,0.058,0.285,0.318,0.284,0.213,0.093,0.391,1.811,0.112,0.244,0.006,1.242,0.099,0.004,0.161,0.015
110,0.045,0.687,0,0.649,0.143,1.057,0.041,0.391,1.117,0.204,0.04,0.023,0.036,0.006,0.335,0,0.065,0.015,0.158,1.559,0.213,0.689,0.861,0.406,0.432,0.559,0.104,0.05,0.891,0.006,0.377,0,0.409,0.307,0.111,0.128,0.607,0.499,0.306,0.529
111,0.135,0.428,0,0.563,0.685,0.563,0.005,0.082,0.213,0.007,0.005,0.006,0.232,0.303,0.109,0,0.319,0.186,0.005,0.097,0.108,0.01,0.278,0,0.006,0.211,0.082,0.851,0.051,0.278,0.025,0.49,0.01,0.011,0.011,0.01,0,0.059,0.005,0.008
112,0.14,0.6,0.994,0.348,0.301,0.376,0.723,0.444,0.24,0.068,0.064,2.544,0.323,0.213,0.754,0.206,0.353,0.568,0.204,0.434,0.331,0.319,0.212,0,0.028,0.507,0.38,0.429,0.105,0.247,0.23,0.412,0.319,0.464,0.527,0.459,0,0.388,0.558,0.392
113,0.136,0.429,0.099,0.08,0.301,0.177,0.322,0,0.216,0.452,0.004,0.289,0.005,0.005,0.159,0.048,0.004,0.005,0.006,0.005,0,0.147,0.456,4.294,0.144,0.004,0.143,0.075,0.547,0.005,0.265,0.003,0,0.045,0.287,0.008,0,0.005,0.005,0.161
114,0.844,0.332,1.299,0.474,0.119,0.006,0.245,0,0.005,0.129,0.103,0.324,0.21,0.319,0.664,0.676,1.127,0.091,0.483,0.58,0,0.005,0.005,0.147,0.005,0.005,0.005,0.006,0.032,0.006,0.01,0.004,0,0.276,0.207,0.315,0,0.497,0.46,0.005
115,0.136,0.82,0.622,0.694,0.011,0.616,0.89,2.509,0.239,0.821,0.52,0.434,0.346,0.171,0.907,0.721,0.573,0.342,0.215,0.788,0,0.325,0.557,0.635,0.195,0.665,0.32,0.551,0.298,0.141,0.034,0.388,0.246,0.047,0.084,0.653,2.167,0.263,0.188,0.006
116,0.029,0.333,0.101,0.554,0.07,0.162,0.641,2.446,0.292,0.205,0.049,0.048,1.178,0.109,0.107,0.245,2.137,0.048,0.051,0.114,0,0.314,0.055,0.185,0.678,0.158,0.196,0.076,0,0.051,0.029,0.159,0.151,0.067,0.222,0.009,0.195,0.148,0.23,0.076
117,0.343,0.006,0.008,0,0.763,0.006,0.533,0.236,0.626,0.654,0.19,0.172,0,0.647,0.006,1.495,0,0.254,0.465,0.426,5.395,0.22,0.004,0.004,0,0.59,0.555,0.249,0,0.01,0.004,0.578,0,0.143,0.005,0.725,0.425,1.089,0.279,0.563
118,0.698,0.122,0.309,2.892,0.787,0.318,0.998,1.342,0.6,0.833,0.48,0.432,0,0.306,0.161,1.699,0.88,0.263,0.839,1.202,0.16,0.26,0.043,0.803,0.735,0.141,0.137,0.12,0.228,0.04,0.587,0.015,2.684,0.582,0.139,0.802,1.549,1.648,0.62,0.526
119,0.015,0.134,0.019,0.402,0.112,0.008,0.287,1.459,0,0.353,0.102,0.131,1.938,0.314,0.022,0.135,0.273,0.131,0.144,0.244,0.129,0.248,0.23,0.075,0.354,0.353,0.418,0.142,0.161,0.015,0.005,0.223,0,0,0.236,0.255,0.005,0.54,0.33,0.108
120,0.11,0.086,0.124,0.162,0.073,0.009,0.022,0.084,0,0.087,0.01,0.023,0.145,0.034,0.083,0.073,0.086,0.13,0.023,0.185,0.078,0.218,0.282,0.014,0.028,0.096,0.151,0.082,0.052,0.012,0.016,0.012,0.652,0,0.014,0.008,0.008,0,0.025,0.015
121,0.007,0.005,0.007,0.006,0.242,0.007,0.005,0.007,4.163,0.008,0.334,0.337,0.306,0.292,0.553,0.215,0.399,0.211,0.015,0.052,0.006,1.038,0.322,0.517,0.844,0.401,0.201,0.33,0.542,0.25,0.333,0.322,0.005,0,0.472,0.623,0.119,0,0.176,1.227
122,0.35,0.006,0.312,1.064,1.109,0.305,0.005,0.522,0.023,0.007,0.302,0.594,0.902,0.672,0.468,0.292,0.911,1.064,0.375,0.425,1.226,0,0.355,0.417,0.667,0.073,0.436,0.327,0.234,0.891,0.408,0.146,0.005,1.638,0.15,0.121,0.09,0,0.035,0.338
123,1.655,0.088,1.303,1.67,0.021,1.445,0.74,1.535,0.397,0.429,0.403,1.468,1.338,0.003,0.606,0.735,0.751,0.613,0.496,0.383,1.606,0,0.005,0.424,1.222,0.971,1.061,1.119,1.788,0,0.135,0.247,0.092,0,0.281,0.027,0.081,4.386,0.261,0.062
124,0,0.296,0.303,0.301,0,0.005,0.522,1.198,0.46,0.005,0.167,0.06,0.06,2.858,1.023,0.378,0.632,0.023,0.509,0.556,0.154,0,0.066,0.117,0.353,0.275,0.097,0.38,0.389,3.315,0.447,0.143,0.343,0,0.293,0.005,1.225,0.388,0.07,0.006
125,0,0.202,0.02,0.014,0,0.044,0.341,0.131,0.014,0.245,0.006,0.229,0.054,0.027,0.619,0.012,0.019,0.008,0.091,0.169,0.004,4.51,0.006,0.303,0.007,0.005,0.008,0.009,0.01,0,0.154,0.328,0.102,0,0.009,0.472,0.079,0.065,0.226,0.006
126,0,0.065,0.472,0.301,2.701,0.02,0.325,0.834,0.978,1.822,0.358,0.306,0.55,0.48,0.507,0.069,0.251,0.523,0.414,0.55,0.593,0.065,0.147,0.331,0.534,0.009,0.775,0.246,0.009,0,0.281,0.711,0.398,4.698,0.229,0.567,0.085,1.123,0.542,0.084
127,0,0.006,0.176,0.134,0.038,0.417,0.008,0.163,0.01,0,0.004,0.422,0.173,0.367,0.301,0.037,0.214,0.361,0.42,0.159,0.012,0.046,0.069,0.012,0.029,0.014,0.013,0.165,0.235,0,0.93,0.009,0.009,0.355,0.013,0.015,0.012,0.29,0.011,0.084
128,7.379,0.218,0.694,0.242,0.288,1.676,0.391,0.048,1.136,0.3,0.496,0.917,0.313,0,1.283,0.006,0.913,0.293,0.975,0.616,0.294,0.025,0.34,0.005,0.164,0.513,0.005,0.144,0.004,0.431,0,0.071,1.133,0.518,0.691,0.452,1.175,0.892,0,0.299
129,0.877,0.174,0.501,0.135,0.361,3.182,0.005,0.034,0.005,0.058,0.006,0.368,0.8,2.605,1.042,0.562,0.832,0.307,0,0.615,0.366,0.392,0.946,0.598,0.129,0.2,0.264,1.877,0.214,1.059,3.653,0.129,0.473,1.062,0,0.607,0.079,0.504,0,0.004
130,0.208,1.752,0.407,1.273,0.815,0,0,0.418,0.418,0.004,1.517,0.511,0.003,0,0,0.003,0.9,0.476,0,0.765,0.129,0.463,1.214,0.258,0.21,1.398,0.003,0.635,0.847,0.099,0,0.87,0.004,1.036,2.456,0.352,0.479,0.55,4.341,0.003
131,0.889,0,0.573,0.333,0.88,0,0.004,0.299,0.061,0.65,0,0.168,0.083,0.038,0,0.465,0.004,0.198,0,0.003,0.325,0.292,0.551,1.078,0.282,0.324,0.457,0.253,0.926,1.366,0.462,0.373,0.006,1.164,0.657,0.004,0.004,0.004,0,0
132,0.004,1.067,0.104,0.003,0.008,0,0.005,0.003,0.004,0.127,0,0.391,0.003,0.405,0,0.003,0.508,0.257,0,0.143,0.167,0.598,0.925,0.534,0.183,0.288,0.735,0.887,0.769,1.55,0.37,0.062,0.306,0.166,0,0.421,0.478,0.264,0,0
133,0.831,1.267,0.197,0.099,0.639,0,0.146,0.548,0.389,0.199,0.307,0.228,0.271,0.555,0,0.536,0.436,0.112,5.337,0.502,0.681,0.343,0.189,0.532,0.504,0.532,0.84,0.119,0.296,1.129,0.548,0.255,0.34,0.595,0.303,0.647,0.224,0.444,0.162,0.079
134,0.103,0,0.006,0.1,0.114,0.096,0.525,0.005,0.165,0.023,0.047,0.221,0.77,0.252,0,0.027,0.366,0.058,0,0.136,0.008,0.548,0.169,0.791,0.649,0.428,0.801,0,0.097,0.638,0.034,0.922,0.035,2.323,0.608,1.177,0.179,0.111,0.321,0.868
135,1.447,3.846,1.168,0.035,1.049,0.566,0,0.354,0.312,0.854,0.077,0.005,0.007,0.039,7.307,0.006,0.006,0.006,0.313,0.007,0.572,0.269,0.687,1.521,0.225,0.705,0.481,2.771,0.853,0.161,1.825,0,0.62,0.42,0.181,0,1.019,0.532,0.065,0.771
136,0.005,0.178,0.006,0.005,0.005,0.673,0,0.08,0.741,0.01,0.095,0,0.145,0.395,0.073,0.117,0.227,0.4,0.147,0,0.429,0.607,0.346,0,0.423,0.699,0.407,2.959,0.911,0.519,0.35,0,0.296,0.591,0.385,0,0.209,0.402,0.666,0.435
137,0.462,0.284,0,0.612,0.528,1.301,0.205,0.128,0.056,0.598,0.565,0,0.523,0.523,0.383,0.368,0.58,0.726,0.237,0,0.005,0.006,0.005,2.892,0.006,0.104,0.006,0,0.005,0.005,0.193,2.777,0.303,0.007,0.493,0.442,0.112,0.006,0.318,0.006
138,0.229,0.297,0.525,0.885,0.721,0.565,0.455,0.994,0.812,0.582,0.184,4.304,0.611,0.273,0.906,0.878,0.61,0.578,0.836,3.261,0.161,0.61,0.652,0,0.264,0.389,0.738,0,0.468,0.402,0.481,0,0.545,0.606,0.942,0.174,0,0.064,0.397,0.503
139,0.258,0.463,0.29,0.421,0.267,0.677,0.473,0.101,0.419,0.319,0.005,0.806,0.057,0.369,0.081,0.25,0.398,0.54,0.013,0.164,0.214,0.165,0.301,0.6,0.143,0.089,0.141,0,0.448,0.037,0.214,0.223,0.084,0.051,0.335,0.006,1.712,0.025,0.026,0.149
140,1.257,0.764,0,0.676,0.013,0.045,0.663,0,0.268,0.049,0.105,0.117,0.022,0.647,0.794,0.872,0.551,0.055,0.431,0.142,0.111,0.013,0.252,0,0.061,0.004,0.101,0,0.718,0.003,0.618,0.004,0.354,0.466,0.268,0.621,1.05,1.064,0.354,0.189
141,0.59,0.004,3.0,0.397,0.005,0.004,0.003,0,0.003,0.004,0.718,0.962,1.026,0.191,0.349,1.12,0,0.003,0.005,0.004,0.316,0.483,0.342,1.491,0.133,0.366,0.543,0,0.004,0.119,0.003,0.003,0,0.003,0.786,0.004,0,0.003,0.608,0.003
142,0.021,0.14,0.7,0.167,0.004,0.017,0.027,0,0.071,0.022,0.208,0.804,0.259,0.173,0.161,0.28,0.231,0.44,0.165,0.457,0.045,0.021,0.041,0.092,0.043,0.067,0.031,0.208,0.006,0.035,0.035,0.204,0,0.237,0.306,0.004,1.977,0.186,0.07,0.003
143,0.006,0.194,0.471,1.697,0.736,0.75,0.015,0,0.676,0.75,0.398,0.041,0.977,0.019,1.618,1.221,1.28,0.391,2.007,0.322,0.064,0.546,0.059,0.031,0,0.297,0.209,0.106,0,0.011,0.066,0.653,0,0.47,0.493,0.01,0.111,0.037,0.524,0.102
144,0.035,0.005,0.043,1.689,0.07,0.006,0.222,0.543,0.023,0.101,0.223,0.648,2.21,0.543,0.027,0.622,1.284,0.216,0.514,0.308,0.072,0.422,0.344,0.089,0,0.367,0.319,0.625,2.374,0.111,0.004,0.884,0,0.055,0.285,0.886,0.134,0.969,0.227,0.051
145,0.712,0.457,0.696,0,0.115,0.159,0.329,0.308,0.423,0.479,0.487,0.365,0.249,0.252,0.08,0.079,0.034,0.279,0.392,0.258,0.09,0.19,0.024,0.195,0.377,0.012,0.184,0.031,0.069,0.026,0.305,0.054,0.209,0.146,0.34,0.128,0.139,0,0.074,0.133
146,0.138,0.239,0.106,0,0.005,0.087,0.504,0.391,0,0.075,0.069,0.007,0.862,0.1,0.21,0.086,0.309,0.01,0.167,0.006,0.252,0.246,0.005,0.149,0.035,0.042,0.278,0.311,0.33,0.415,0.221,0.284,0.047,0.124,0.283,0.04,0.495,0,0.154,0.362
147,0.01,0.052,0.018,0.199,0.033,0.008,0.107,0.054,0,0.121,0.004,0.246,0.3,0.331,0.16,0.059,0.237,0.312,0.18,0.194,0.13,0.373,0.04,0.098,0.164,0,0.007,0.051,0.128,0.005,0.022,0.268,0.242,0.885,0.372,0.502,0.036,0,0.323,0.45
148,1.113,0.006,1.275,0.618,0.722,1.43,1.111,1.176,0,0.524,0.414,1.454,0.353,0.468,0.121,0.502,0.642,1.027,0.576,0.534,0.712,0,0.005,0.336,0.853,0,0.644,1.029,1.267,1.166,0.005,0.005,0.005,0,0.009,0.004,0.009,5.441,0.025,0.005
149,1.087,0.006,0.473,0.788,1.218,0.214,0.732,0.778,0,0.778,0.005,0.006,1.197,1.038,0.406,0.005,0.805,0.698,0.094,0.623,0.405,2.001,0.417,1.264,1.449,0,0.681,0.548,0.733,0,0.008,0.005,0.007,2.515,0.005,0.005,0.005,0.133,0.008,0.006
150,0.128,0.005,0.205,0.393,2.543,0.227,0.005,0.344,0.757,0.005,0.753,0.756,1.103,1.196,0.666,1.253,0.726,0.674,0.004,0.424,0.202,0,0.006,0.061,0.308,0,0.253,0.048,0.219,0,0.844,0.835,0.004,0.071,0.503,1.038,0.689,0,0.304,0.9
151,0.425,0.065,0.229,0.715,0,0.482,0.23,0.254,0.076,0.173,0.036,0.17,1.166,0.59,0.245,0.176,0.659,0.168,0.068,0.192,0.003,0,0.11,0.123,0.003,0,0.004,0.14,0.189,4.863,0.029,0.005,0.317,0.387,0.005,0.029,0.006,0.733,0.007,0.005
152,0.417,0.074,0.29,0.455,4.274,0.008,0.219,0.345,0.747,0.625,0.84,1.037,0.985,1.025,0.956,0.006,0.288,0,0.847,0.215,0.334,0.211,0.004,0.146,0.183,0,0.301,0.262,0.005,0,0.384,0.49,0.51,0,0.777,1.137,1.314,1.086,1.001,0.855
153,0,1.183,1.032,0.093,0,0.091,0.858,0.053,1.552,1.797,0.531,1.788,1.987,5.798,1.096,0.742,0.343,1.151,0.952,0.993,0.075,0.063,0.015,0.372,0.482,1.183,0.79,0.199,0.038,0,0.455,0.89,0.736,1.048,1.882,0.138,0.103,2.095,0,0.977
154,0.732,0.018,0.064,0.005,0,0.053,0.005,0.043,0.042,0,0.006,0.095,0.172,0,0.347,0.12,0.354,0.329,0.137,0.13,0.005,0.461,0.326,0.101,0.438,0.136,0.984,0.159,0.144,0,0.292,0.405,0.39,0.679,0.132,0.351,0.059,0.107,0,0.153
155,0.425,0.495,1.14,0.233,0.053,0.2,0.089,0.214,0.542,3.227,0.671,0.638,0.107,0,1.372,0.338,1.14,0.314,0.074,0.497,0.873,0.021,0.925,0.005,0.59,0.284,0.09,0.164,0.004,0,0.242,0.76,0.644,1.234,3.353,0.71,0.834,1.346,3.659,0.123
156,0.268,0.89,0.614,0.158,0.38,0.405,0.475,0.875,0.33,0,0.353,0.234,0.103,0.47,0.212,0.053,0.006,0.017,0.028,0.027,0.301,0.796,1.12,0.48,0.316,1.153,0.534,0.529,0.936,0,4.378,1.086,0.752,0.245,2.753,0.005,0.047,0.006,0.537,0.004
157,0.12,1.215,0.848,0.308,0.793,0.023,0.61,0.077,2.663,0.363,1.069,0.94,0.429,0.09,1.048,0.053,0.949,0.127,0.227,0.534,0.165,0.151,0,0.026,0.085,0.042,0,0.143,0.005,0.031,0,0.027,0.864,0.188,0,0.555,1.195,0.227,0.113,0.039
158,0.659,0,1.153,0.312,2.127,0,0.005,0.406,0.385,0.092,0,0.757,0.308,0.655,0.775,0.274,0.005,0.521,0,0.01,0.445,0.825,0,0.209,0.604,1.012,0,0.603,0.808,0.634,2.141,0.005,0.007,0.008,0.886,0.005,0.005,0.005,0.006,0.004
159,0.401,0,0.441,0.015,0.355,0,0.004,0.314,0.005,0.156,0.834,0.044,0.086,0.349,0,0.018,0.004,0.034,2.373,0.006,0.163,0.498,0,0.373,0.502,0.177,3.623,0.285,0.203,0.974,0.218,0.004,0.342,0.146,0.027,0.264,0.099,0.071,0.085,0.533
160,0.668,3.437,0.006,0.411,1.114,0,0.455,0.796,1.22,0.868,0.362,0.679,0.187,1.105,0,0.331,1.126,0.89,0,1.14,0.006,0.004,5.289,0.006,0.006,0.006,0.064,0.005,0.005,0.432,0.623,0.004,0.722,0.1,0.083,0.281,0.875,0.595,1.677,0.498
161,0.571,0,0.4,0.005,0.717,0,0.008,0.007,0.134,0.663,0.067,0.194,0.751,0.844,0,0.006,0.245,0.007,2.35,0.006,0.283,0.044,0.083,0.557,0.522,0.584,0.366,0.801,0.312,2.343,0.791,0.006,0.504,0.222,0.005,0.588,0.007,0.006,0.182,0
162,0.078,0.128,0.04,0.035,0.308,0.828,0.063,0.431,1.002,0.194,0.369,0.116,0.351,0.534,0,0.41,0.337,0.635,0.606,0.868,0.086,0.096,0.277,0,0.147,0.14,0.101,1.347,0.198,0.149,0.671,0,0.936,0.472,0.906,0.327,0.428,0.292,0.958,1.079
163,0.066,0.641,0.787,0.183,0.415,0.519,0.005,0.545,0.802,0.149,0.007,0.179,0.122,0.046,0.404,0.194,0.281,0.124,0.777,0,0.289,0.223,0.357,2.866,0.354,0.334,0.168,2.126,0.419,0.028,1.245,0,0.144,0.232,0.273,2.621,0.377,0.309,0.33,0.396
164,0.265,0.571,1.793,0.359,0.277,0.502,0.006,0.093,0.034,0.239,0.072,0,0.221,0.044,0.123,1.151,0.308,0.097,0.1,0,0.004,0.165,0.006,0.236,0.006,0.004,0.004,0,0.005,0.005,0.15,0,0.021,0.342,0.102,0.396,0.004,0.208,0.086,0.44
165,0.806,0.229,2.055,0.135,0.006,0.658,0.505,0.373,0.005,0.006,0.218,0,0.348,0.486,0.758,0,0.576,0.006,0.423,0,0.656,0.739,1.26,0,0.528,0.673,1.092,0,0.977,0.769,0.371,6.647,0.182,0.155,0.082,0.321,0.339,0.302,0.453,0.004
166,1.033,1.505,0.099,1.406,0.474,1.651,0.498,0.842,0.608,0.255,0.006,0,0.311,0.495,0.668,0,0.676,0.781,0.223,0.408,0.005,0.57,0.245,0,0.009,0.409,0.124,0,0.007,0.341,0.249,0.65,0.143,0.104,0.429,0.115,0.577,0.198,0.556,0.69
167,0.005,1.173,0.079,0.623,0.004,0.539,0.005,0,0.007,0.008,0.007,0,1.968,0.006,0.992,0,0.003,0.168,1.092,0.286,0.329,0.254,0.457,2.744,0.135,0.008,0.273,0.874,0.864,0.027,0.563,0.004,0.005,0.01,0.004,0.006,2.758,0.006,0.16,0.127
