op_w,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
197,206809,173515,193360,186535,169869,193879,141225,228069,178985,237623,144673,185364,196279,221742,239271,189549,188073,223415,204651,222465,180757,199655,215416,240252,230055,204767,161685,248018,196601,216086,186197,159100,205629,232565,196479,203852,185556,219714,287771,168597
198,206874,173584,193505,186567,169913,193939,141264,228108,179030,237684,144734,185438,196307,221812,239358,189600,188121,223501,204712,222651,180757,199679,215444,240286,230055,204791,161695,248141,196620,216109,186249,159137,205629,232620,196520,203892,185652,219781,287876,168630
199,206894,173603,193535,186578,169930,193972,141274,228108,179054,237719,144744,185467,196350,221831,239379,189630,188157,223543,204745,222692,180757,199692,215455,240302,230058,204799,161710,248275,196626,216123,186276,159150,205629,232636,196540,203911,185677,219796,287902,168650
200,206906,173616,193554,186578,169947,193985,141283,228108,179068,237733,144754,185479,196364,221842,239392,189644,188167,223554,204761,222702,180858,199709,215481,240324,230058,204826,161722,248309,196626,216148,186279,159155,205629,232636,196540,203911,185677,219796,287904,168653
201,206941,173638,193576,186578,169993,194006,141303,228133,179094,237761,144763,185509,196396,221875,239429,189690,188167,223581,204785,222750,180963,199769,215562,240398,230065,204886,161771,248403,196628,216196,186318,159182,205634,232665,196570,203952,185707,219823,287957,168692
202,207010,173683,193641,186588,170031,194046,141336,228244,179131,237808,144786,185576,196414,221933,239487,189734,188167,223639,204835,222805,181031,199841,215618,240479,230215,204958,161834,248493,196636,216269,186387,159245,205875,232722,196645,204028,185769,219823,288046,168752
203,207100,173755,193723,186760,170106,194121,141412,228354,179147,237913,144844,185646,196503,222021,239570,189790,188301,223731,204897,222871,181065,199861,215661,240530,230348,204995,161872,248540,196821,216332,186452,159308,205968,232730,196723,204092,185821,219823,288133,168798
204,207132,173786,193758,186807,170112,194170,141446,228404,179147,237977,144865,185673,196575,222066,239608,189838,188342,223769,204943,222926,181072,199861,215683,240553,230385,204995,161881,248551,196829,216341,186468,159321,205986,232746,196750,204111,185848,219823,288193,168826
205,207139,173799,193770,186818,170112,194181,141455,228420,179165,237993,144875,185683,196588,222069,239616,189839,188349,223769,204945,222926,181096,199918,215713,240586,230426,205043,161905,248590,196864,216349,186502,159356,206031,232748,196797,204152,185880,219823,288236,168841
206,207170,173821,193800,186839,170112,194206,141473,228454,179302,238024,144898,185704,196604,222089,239653,189863,188378,223803,204978,222969,181124,199923,215727,240608,230457,205073,161920,248622,196883,216384,186509,159357,206040,232748,196802,204160,185889,219823,288264,168853
