kbcommit,aceph01,aceph02,aceph03,aceph04
213,18032280.0,17192648.0,17461436.0,17868876.0
214,18038596.0,17146832.0,17454500.0,17847812.0
215,18006400.0,17146632.0,17444160.0,17894656.0
216,17995944.0,17178976.0,17474684.0,17857012.0
217,18001956.0,17134208.0,17474684.0,17889356.0
218,18016388.0,17122316.0,17470420.0,17867348.0
219,18005628.0,17158124.0,17448800.0,17888572.0
220,17999064.0,17131248.0,17456412.0,17865724.0
221,17988808.0,17126664.0,17449412.0,17879892.0
222,17994228.0,17125452.0,17443196.0,17851992.0
223,18023240.0,17188468.0,17438672.0,17883260.0
224,18035436.0,17165424.0,17446356.0,17859232.0
225,18029344.0,17122384.0,17458676.0,17870248.0
226,18019108.0,17154288.0,17442504.0,17882840.0
227,18012152.0,17164820.0,17458692.0,17893572.0
228,18024444.0,17164820.0,17444484.0,17874716.0
229,17999124.0,17152748.0,17471028.0,17885120.0
230,18004924.0,17109668.0,17451664.0,17873264.0
231,18018432.0,17153724.0,17500820.0,17864276.0
232,18025028.0,17161020.0,17433912.0,17874200.0
233,18003980.0,17138832.0,17445248.0,17877400.0
234,18013492.0,17143504.0,17438372.0,17856748.0
235,18003600.0,17160788.0,17465544.0,17873276.0
236,18010400.0,17143604.0,17441760.0,17879280.0
237,18028028.0,17170340.0,17458020.0,17868392.0
238,18040624.0,17161776.0,17420112.0,17900180.0
239,18023856.0,17157460.0,17467020.0,17878100.0
240,18018420.0,17152076.0,17462528.0,17865400.0
241,18003900.0,17119296.0,17437168.0,17869416.0
242,18013444.0,17147612.0,17462496.0,17858184.0
243,17993764.0,17179100.0,17459556.0,17851612.0
244,17980224.0,17156344.0,17445000.0,17874444.0
245,18042064.0,17150116.0,17426740.0,17883492.0
246,18002848.0,17143308.0,17435804.0,17879704.0
247,18010032.0,17152544.0,17483692.0,17908768.0
248,18026240.0,17148756.0,17454912.0,17849888.0
249,18058060.0,17148756.0,17423352.0,17864684.0
250,17976604.0,17159512.0,17483656.0,17872272.0
251,18041868.0,17168620.0,17478800.0,17832192.0
252,18038208.0,17182876.0,17457768.0,17839068.0
253,18020368.0,17151424.0,17454492.0,17888928.0
254,17997164.0,17177300.0,17463684.0,17885048.0
255,18025248.0,17152892.0,17435152.0,17870204.0
256,17984880.0,17183300.0,17430872.0,17844688.0
257,18027168.0,17142488.0,17443860.0,17850404.0
258,18037156.0,17155552.0,17453408.0,17866032.0
259,18035044.0,17172048.0,17453172.0,17898804.0
260,18051096.0,17166180.0,17481088.0,17879180.0
261,18028412.0,17145956.0,17446560.0,17876144.0
262,18007184.0,17127880.0,17451608.0,17867248.0
263,18001272.0,17142552.0,17464380.0,17853624.0
264,17989524.0,17166284.0,17421864.0,17869980.0
265,18030832.0,17158980.0,17466996.0,17880192.0
266,18026180.0,17133240.0,17461148.0,17856304.0
267,18038500.0,17122184.0,17439940.0,17849256.0
268,17995960.0,17134344.0,17462620.0,17859772.0
269,17990664.0,17127188.0,17443012.0,17883600.0
270,18031988.0,17129700.0,17425788.0,17873828.0
271,18001488.0,17163344.0,17455360.0,17850320.0
272,17994092.0,17156008.0,17470812.0,17877172.0
273,18026764.0,17156008.0,17487420.0,17901768.0
274,18024520.0,17165284.0,17484652.0,17917840.0
275,17985308.0,17156248.0,17446312.0,17839840.0
276,18043000.0,17146496.0,17420368.0,17873952.0
277,18016416.0,17161224.0,17454924.0,17868436.0
278,17999976.0,17159672.0,17478892.0,17860428.0
279,18002488.0,17186524.0,17463360.0,17864524.0
280,17988896.0,17145896.0,17457700.0,17861172.0
281,18022384.0,17157700.0,17476316.0,17850472.0
282,17996484.0,17175104.0,17492548.0,17899544.0
283,18029080.0,17172536.0,17472580.0,17892508.0
284,18029080.0,17189104.0,17467732.0,17868572.0
285,18009856.0,17134756.0,17467344.0,17884708.0
286,18005372.0,17160668.0,17444428.0,17862560.0
287,18014636.0,17175120.0,17472948.0,17868260.0
288,18012628.0,17155340.0,17464724.0,17845080.0
289,17990232.0,17151480.0,17445964.0,17877792.0
290,18034012.0,17157664.0,17456892.0,17849008.0
291,18006924.0,17165728.0,17459844.0,17855440.0
292,18037708.0,17175984.0,17474440.0,17861916.0
293,17969224.0,17147180.0,17465744.0,17873748.0
294,18033372.0,17158348.0,17476428.0,17871332.0
295,18029648.0,17172208.0,17453168.0,17900192.0
296,18026340.0,17120608.0,17484984.0,17860308.0
297,18007668.0,17110056.0,17447048.0,17874576.0
298,17997860.0,17138700.0,17436872.0,17888280.0
299,17967136.0,17129600.0,17437408.0,17863812.0
300,17996516.0,17156768.0,17469320.0,17895988.0
301,18012728.0,17132652.0,17449424.0,17877352.0
302,17984156.0,17139592.0,17463632.0,17868384.0
303,18009872.0,17186596.0,17439392.0,17862608.0
304,18004560.0,17175340.0,17448456.0,17875452.0
305,18016988.0,17115392.0,17461232.0,17868968.0
306,17994980.0,17161268.0,17461640.0,17867588.0
307,18003532.0,17124008.0,17455464.0,17896788.0
308,18032776.0,17170712.0,17488060.0,17872456.0
309,18012152.0,17152384.0,17484112.0,17888836.0
310,18004568.0,17163452.0,17459556.0,17882248.0
311,18020796.0,17144820.0,17490824.0,17867364.0
312,17998216.0,17123920.0,17440596.0,17881772.0
313,18025588.0,17154608.0,17465796.0,17871196.0
314,17990196.0,17142896.0,17475028.0,17881080.0
315,18012220.0,17125304.0,17453444.0,17883676.0
316,18008524.0,17151988.0,17483076.0,17878644.0
317,18005852.0,17161872.0,17456016.0,17894964.0
318,17978096.0,17162032.0,17453120.0,17854744.0
319,18026524.0,17156644.0,17435108.0,17870836.0
320,18000640.0,17146040.0,17467260.0,17903324.0
321,18015024.0,17179508.0,17443260.0,17878092.0
322,18029912.0,17151196.0,17492492.0,17893864.0
323,18024804.0,17161596.0,17489740.0,17882884.0
324,18022028.0,17158392.0,17469936.0,17815328.0
325,18022612.0,17150972.0,17461348.0,17896136.0
326,17989484.0,17159168.0,17436612.0,17875544.0
327,18004196.0,17134976.0,17454124.0,17872540.0
328,18001896.0,17142652.0,17486300.0,17863484.0
329,17996888.0,17132388.0,17483296.0,17873552.0
330,18005536.0,17146336.0,17497160.0,17883416.0
331,18035268.0,17157068.0,17478856.0,17872924.0
332,18045868.0,17114340.0,17484252.0,17869300.0
333,18011352.0,17132016.0,17470304.0,17883368.0
334,18028156.0,17160524.0,17461460.0,17891268.0
335,18023884.0,17120408.0,17472756.0,17865948.0
336,18020904.0,17143800.0,17455748.0,17857080.0
337,17972300.0,17155772.0,17454964.0,17868748.0
338,17983556.0,17127068.0,17422644.0,17863152.0
339,18009768.0,17172656.0,17431976.0,17856280.0
340,18037588.0,17174548.0,17458612.0,17842348.0
341,18002084.0,17171492.0,17452400.0,17873936.0
342,18034500.0,17150660.0,17449376.0,17870448.0
343,18011912.0,17183724.0,17497744.0,17886572.0
344,18005012.0,17174232.0,17432148.0,17861344.0
345,18001616.0,17154176.0,17456880.0,17857828.0
346,18003288.0,17143756.0,17427516.0,17871400.0
347,18022108.0,17137496.0,17465144.0,17883208.0
348,18001128.0,17136120.0,17480808.0,17879504.0
349,18001224.0,17179748.0,17474812.0,17851520.0
350,18014396.0,17160016.0,17481288.0,17886744.0
351,17996424.0,17151064.0,17462368.0,17878536.0
352,18010148.0,17161020.0,17436088.0,17839532.0
353,17999908.0,17113828.0,17448532.0,17865408.0
354,18009424.0,17160480.0,17492784.0,17866920.0
355,18037280.0,17171920.0,17460008.0,17875820.0
356,18016292.0,17170004.0,17460008.0,17925380.0
357,18008136.0,17163576.0,17438488.0,17881792.0
358,18021320.0,17159796.0,17452248.0,17859088.0
359,18029048.0,17175776.0,17451652.0,17863952.0
360,18025656.0,17183896.0,17466308.0,17858468.0
361,17985964.0,17161144.0,17438980.0,17851176.0
362,18001416.0,17172696.0,17468584.0,17881908.0
363,18001416.0,17152668.0,17454020.0,17838648.0
364,18009324.0,17147496.0,17465576.0,17866612.0
365,18005832.0,17131288.0,17441552.0,17856904.0
366,18030748.0,17174908.0,17456560.0,17849524.0
367,17997900.0,17138124.0,17450600.0,17860184.0
368,18030784.0,17135984.0,17456628.0,17872520.0
369,18008220.0,17162952.0,17465296.0,17883324.0
370,17999892.0,17179124.0,17433016.0,17890692.0
371,18016500.0,17189756.0,17433016.0,17887640.0
372,18030756.0,17168276.0,17442688.0,17887496.0
373,18018272.0,17146664.0,17473080.0,17877992.0
374,18015648.0,17157276.0,17438788.0,17877904.0
375,18007008.0,17133900.0,17444068.0,17865644.0
376,18053660.0,17179660.0,17452044.0,17878488.0
377,18031956.0,17173320.0,17469048.0,17887060.0
378,18005120.0,17151960.0,17492780.0,17863968.0
379,18004092.0,17122120.0,17452476.0,17877848.0
380,18003324.0,17164360.0,17458532.0,17884020.0
381,18016680.0,17120904.0,17434812.0,17879960.0
382,18021252.0,17174416.0,17466420.0,17893616.0
383,18015828.0,17169340.0,17483060.0,17867724.0
384,18032020.0,17153264.0,17483060.0,17859192.0
385,17992020.0,17105416.0,17458316.0,17867584.0
386,17999896.0,17144648.0,17471452.0,17862636.0
387,18011312.0,17136196.0,17466920.0,17843796.0
388,17985668.0,17161480.0,17476816.0,17884432.0
389,17997088.0,17153400.0,17454552.0,17899788.0
390,18026840.0,17135608.0,17441448.0,17863320.0
391,18005016.0,17147840.0,17455108.0,17863320.0
392,18021428.0,17153228.0,17467008.0,17857876.0
393,18016456.0,17153228.0,17464380.0,17885424.0
394,17988668.0,17150296.0,17449784.0,17879616.0
395,18000052.0,17160836.0,17423992.0,17857052.0
396,17998312.0,17157224.0,17440328.0,17868520.0
397,18005796.0,17148308.0,17440848.0,17872212.0
398,18014600.0,17116000.0,17447688.0,17830420.0
399,18035980.0,17146424.0,17431296.0,17856972.0
