op,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
39,693382,561270,639759,425054,452213,446236,459333,542170,784046,633661,669266,813590,599065,451574,731795,491213,470275,658904,399637,533050,495941,748867,704018,665876,517953,853912,525593,758704,816739,627587,432958,743732,794979,683549,890814,687523,281161,410239,1198467,597119
40,693556,561461,640014,425216,452422,446485,459548,542327,784298,633812,669454,813774,599285,451815,731960,491405,470483,659071,399834,533219,496087,749133,704183,666079,518204,854074,525804,758845,816898,627777,433225,743899,795177,683735,891003,687682,281386,410443,1198655,597373
41,693772,561626,640217,425434,452626,446674,459665,542539,784517,634051,669644,813999,599527,452035,732173,491593,470656,659253,399947,533432,496264,749367,704398,666362,518388,854275,525994,759005,817046,627987,433401,744118,795362,683875,891221,687887,281554,410634,1198876,597599
42,693940,561829,640409,425622,452865,446899,459886,542775,784753,634284,669865,814187,599753,452263,732396,491843,470898,659438,400127,533686,496433,749575,704589,666586,518628,854422,526196,759194,817265,628253,433627,744348,795572,684142,891463,688121,281742,410847,1199073,597788
43,694142,561974,640537,425853,453076,447045,460041,542955,784986,634457,670035,814410,600002,452462,732649,492071,471107,659639,400341,533910,496586,749786,704788,666870,518802,854642,526431,759391,817412,628452,433877,744534,795752,684383,891643,688303,281902,411018,1199352,598007
44,694379,562194,640705,425974,453253,447208,460191,543069,785056,634652,670224,814579,600218,452669,732845,492293,471367,659842,400522,534091,496735,750010,704953,667059,519044,854900,526682,759574,817587,628677,434097,744737,795940,684630,891799,688477,282200,411218,1199554,598258
45,694601,562407,640954,426192,453463,447387,460458,543320,785282,634823,670408,814808,600407,452887,733037,492468,471542,659977,400665,534336,496853,750219,705088,667282,519192,855097,526825,759720,817774,628888,434337,744964,796150,684908,892023,688720,282416,411391,1199717,598463
46,694783,562590,641091,426419,453694,447634,460724,543498,785480,635053,670578,814961,600660,453100,733201,492661,471696,660158,400905,534493,497000,750398,705310,667478,519374,855308,527007,759901,817909,629071,434470,745172,796338,685185,892180,688886,282522,411542,1199919,598723
47,695027,562776,641360,426638,453904,447815,460852,543708,785688,635207,670731,815146,600835,453265,733391,492857,471933,660291,401100,534688,497164,750614,705503,667709,519604,855507,527220,760079,818069,629281,434690,745351,796499,685406,892436,688997,282742,411744,1200214,599003
48,695234,562967,641533,426821,454076,448027,461021,543848,785876,635380,670894,815329,601024,453443,733580,493043,472073,660497,401265,534887,497330,750841,705700,667891,519883,855658,527379,760261,818258,629528,434917,745574,796717,685717,892550,689250,282979,411925,1200369,599193
49,695442,563159,641696,427017,454298,448261,461243,544003,786101,635536,671088,815520,601199,453666,733759,493227,472287,660618,401556,535078,497496,751038,705935,668144,520037,855910,527599,760465,818417,629715,435121,745761,796887,685954,892858,689427,283186,412163,1200597,599442
