op_rw_latency,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
89,0.0,0.357,0,0,0.157,0,0.0,0.149,0.005,0.036,0.0,0.0,0.018,0.014,0.005,0.084,0.0,0,0.0,0.037,0.015,0.039,0,0.081,0.021,0.005,0.0,0.0,0.005,0.0,0.037,0.002,0.01,0.004,0.241,0.001,0.014,0.407
90,0,0,0,0.103,0.59,0,0,0.002,0.013,0.787,0.006,0.001,0.175,0.0,0,0.275,0.001,0,0,0.008,0,0.0,0.044,0.062,0.014,0.002,0.0,0.002,0,0,0,0.009,0.0,0.003,0.11,0,0,0.08
91,0,0.006,0.011,0,0.002,0.035,0.013,0.007,0.013,0.188,0.011,0.007,0.006,0.009,0.0,0,0.118,0.013,0,0.048,0.007,0.003,0.006,0.003,0.008,0.008,0.001,0.0,0.0,0.013,0.0,0.023,0.011,0.011,0.003,0,0,0.008
92,0.01,0.016,0,0,0.001,0,0.036,0.146,0.001,0,0.006,0.004,0.005,0.132,0.0,0.004,0.001,0,0.013,0.001,0,0.019,0,0.014,0.003,0.55,0.0,0.001,0.016,0.04,0,0.011,0.0,0.001,0.017,0.001,0.0,0.002
93,0,0,0,0.003,0.379,0,0,0.002,0.001,0.085,0.0,0.0,0.123,0.182,0,0.001,0.0,0,0.009,0.009,0.011,0.012,0.021,0.101,0.0,0.0,0.001,0.018,0,0,0.0,0.009,0,0.001,0.032,0.0,0,0.093
94,0,0.007,0.0,0,0.001,0,0.017,0.072,0.004,0.003,0.0,0.001,0.255,0.005,0,0,0.049,0,0,0.026,0.012,0.003,0.002,0.011,0.72,0.003,0.001,0.002,0.003,0.002,0.232,0.053,0.588,0.066,0.013,0,0,0.009
95,0.005,0.048,0,0,0.002,0.374,0.073,0.004,0.06,0.018,0.002,0.001,0.001,0.001,0.162,0.001,0.0,0.016,0.002,0.006,0,0.119,0.007,0.016,0.001,0.042,0.003,0.001,0.001,0.0,0,0.004,0.336,0.002,0.028,0.0,0.001,0.006
96,0,0,0,0.0,0.352,0,0,0.005,0,0.008,0.005,0.0,0.0,0.001,0,0.037,0.006,0,0.002,0.004,0.0,0.012,0.08,0.118,0.057,0,0.0,0.01,0.0,0.021,0.0,0.0,0.002,0.007,0.128,0.003,0,0.076
97,0,0.393,0.043,0,0.012,0,0,0.02,0.082,0.29,0,0.01,0.144,0,0,0.003,0,0,0,0.005,0.0,0.365,0.001,0.003,0.263,0.022,0.002,0.0,0,0.013,0.03,0.016,0.004,0.004,0.014,0,0,0.017
98,0.018,0.056,0,0,0.003,0.139,0.022,0.024,0.112,2.651,0.0,0.001,0.001,0.001,0.007,0.0,0.005,0.001,0.004,0.129,0,0.157,0.0,0.003,0.028,0.036,0.001,0.0,0.002,0.007,0,0.0,0.002,0.003,0.001,0,0.002,0.001
99,0,0,0,0.0,0.003,0,0.002,0.037,0.123,0.116,0.001,0.012,0.002,0.002,0.236,0.0,0,0,0,0.001,0.002,2.23,0.015,0.001,0.004,0.036,0.015,0.0,0.007,0.0,0.019,0.012,0,0.0,0.009,0.0,0,0.009
100,0,0,0.024,0,0.04,0.072,0.132,0.108,0.113,1.646,0.0,0.0,0.003,0.006,0,0.001,0.001,0,0.0,0.0,0.0,0.103,0.087,0.173,0,0.002,0.003,0.0,0,0,0,0.001,0.025,0.013,0.004,0,0,0.373
101,0.009,0.381,0,0,0.004,0,0,0.222,0,1.906,0.0,0.008,0.017,0.0,0.002,0,0.171,0.0,0,0.01,0.019,0.64,0.003,0.001,0.107,0.129,0.001,0.0,0.0,0.065,0.996,0.005,0.029,0.0,0.032,0,0.001,0.472
102,0,0,0,0.002,0.043,0,0.004,0,0.129,0.155,0.017,0.012,0.001,0.003,0.051,0.003,0.012,0,0.007,0.0,0.001,0.024,0,0.034,0.001,0.002,0.008,0.0,0.002,0.014,0.01,0.001,0,0.001,0.016,0.271,0,0.001
103,0,0.0,0.161,0,0.471,0,0.002,0.006,0.153,0.119,0.001,0.0,0.092,0.005,0,0.007,0.031,0,0.018,0.031,0.0,0.014,0.096,0.004,0.003,0.0,0.001,0.024,0,0.001,0.074,0.0,0.003,0.002,0.088,0,0,0.007
104,0.016,0.0,0,0,0.017,0.308,0.004,0.281,0.374,0.163,0.008,0.0,0,0,0.056,0,0.086,0.008,0,0.137,0.0,0.001,0.003,0.009,0.004,0.189,0.001,0.003,0.0,0.023,0,0.296,0.002,0.028,0.033,0,0.045,0.017
