journal_wr,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
95,1005615,941776,873056,772583,799826,976131,1044675,1290394,824011,945589,978929,1049331,937567,920346,991767,667690,841634,930926,654109,912180,806483,1028475,740334,1012494,765603,866077,995462,1069998,940006,956845,1000885,896293,837136,701520,987438,822322,1021309,1009312,1117651,852790
96,1005961,942134,873395,772898,800110,976387,1045131,1290732,824325,946099,979202,1049732,938005,920762,992179,668103,842020,931328,654413,912541,806742,1028843,740682,1012778,765856,866380,995831,1070282,940329,957072,1001311,896560,837496,701931,987785,822584,1021652,1009718,1118051,853131
97,1006272,942446,873740,773217,800427,976662,1045448,1291147,824677,946443,979520,1050061,938372,921158,992506,668416,842305,931669,654770,912930,807065,1029098,741005,1013104,766187,866669,996170,1070723,940618,957376,1001702,896856,837865,702230,988194,822858,1021949,1010050,1118483,853466
98,1006527,942759,873940,773488,800682,976952,1045758,1291449,824976,946754,979883,1050480,938704,921549,992853,668732,842697,931948,655055,913286,807357,1029444,741368,1013520,766533,866999,996520,1071045,940966,957717,1002056,897159,838226,702587,988513,823296,1022288,1010400,1118678,853790
99,1006876,943079,874269,773840,800952,977188,1046070,1291748,825394,947050,980171,1050838,939098,921818,993122,669119,842929,932347,655429,913643,807660,1029848,741713,1013800,766830,867342,996802,1071374,941208,958024,1002365,897502,838586,702897,988892,823575,1022739,1010700,1118985,854093
100,1007248,943450,874711,774208,801343,977639,1046380,1292162,825842,947480,980441,1051161,939400,922102,993421,669420,843302,932598,655682,914002,807961,1030216,742090,1014155,767086,867650,997170,1071761,941556,958435,1002752,897805,838914,703167,989104,823900,1023130,1011102,1119388,854484
101,1007578,943781,874994,774479,801617,977873,1046720,1292487,826083,947791,980741,1051496,939702,922425,993646,669821,843640,932905,655950,914393,808286,1030510,742392,1014539,767377,867987,997411,1072103,941896,958773,1003052,898159,839224,703560,989503,824191,1023385,1011409,1119707,854843
102,1007896,944069,875333,774867,801896,978230,1047114,1292825,826464,948202,981031,1051836,940076,922766,993974,670138,843966,933198,656300,914650,808531,1030876,742707,1014860,767632,868272,997779,1072471,942159,959104,1003454,898452,839687,703888,989878,824514,1023756,1011695,1120052,855093
103,1008193,944351,875686,775180,802318,978451,1047388,1293070,826874,948422,981308,1052228,940390,923112,994235,670563,844311,933547,656730,915032,808920,1031199,743005,1015218,768042,868725,998251,1072822,942478,959492,1003730,898776,840021,704245,990229,824832,1024040,1011973,1120301,855395
104,1008457,944563,875976,775463,802640,978810,1047663,1293427,827240,948821,981607,1052453,940680,923374,994571,670757,844554,933729,656977,915305,809168,1031508,743256,1015584,768330,868994,998579,1073086,942736,959834,1004097,899181,840305,704555,990568,825158,1024488,1012295,1120653,855715
105,1008753,944816,876261,775773,802915,979252,1047903,1293696,827569,949166,981924,1052845,941031,923808,994955,671126,844916,934055,657313,915631,809514,1031830,743538,1015985,768666,869309,998921,1073429,943059,960152,1004449,899560,840653,704886,990851,825465,1024815,1012649,1120984,856042
106,1009072,945162,876590,776142,803307,979500,1048281,1294001,827996,949538,982167,1053170,941302,924119,995302,671452,845293,934431,657686,916050,809823,1032113,743839,1016320,768968,869610,999250,1073714,943391,960485,1004892,899893,840974,705198,991234,825772,1025144,1012961,1121288,856402
107,1009404,945438,876869,776498,803622,979826,1048559,1294358,828339,949905,982400,1053495,941578,924380,995621,671750,845483,934643,657875,916268,810131,1032445,744079,1016664,769270,869919,999566,1074036,943673,960832,1005268,900237,841358,705595,991553,826128,1025547,1013368,1121691,856799
108,1009757,945743,877171,776835,803963,980168,1048958,1294720,828560,950213,982770,1053827,941920,924782,995914,672211,845867,934917,658178,916575,810478,1032791,744387,1017133,769661,870258,999809,1074376,943985,961235,1005566,900624,841711,705902,991851,826595,1025846,1013637,1121955,857070
109,1010025,946121,877507,777196,804283,980524,1049262,1295152,828928,950610,983057,1054225,942309,925072,996303,672467,846215,935306,658546,916907,810818,1033121,744758,1017456,770022,870542,1000170,1074729,944296,961614,1005834,900923,842003,706244,992177,826727,1026177,1013924,1122310,857473
110,1010320,946436,877830,777420,804586,980850,1049517,1295415,829240,950817,983352,1054593,942631,925430,996646,672787,846556,935672,658943,917312,811122,1033426,745046,1017817,770398,870948,1000528,1074994,944618,962070,1006275,901249,842320,706586,992562,827098,1026566,1014301,1122791,857798
111,1010611,946760,878122,777777,804900,981166,1049867,1295746,829724,951320,983673,1054966,942992,925767,996972,673042,846841,935944,659216,917603,811435,1033794,745470,1018178,770712,871285,1000862,1075368,944909,962356,1006589,901549,842649,706902,992931,827412,1026822,1014594,1122919,858159
112,1010951,947104,878469,778080,805240,981502,1050147,1295990,829903,951577,983975,1055308,943314,926080,997302,673334,847187,936278,659565,917976,811751,1034090,745739,1018547,771064,871554,1001207,1075650,945210,962724,1006947,901831,842917,707256,993288,827821,1027181,1014962,1123341,858538
113,1011351,947483,878836,778493,805688,981823,1050553,1296329,830315,951995,984342,1055703,943710,926484,997612,673725,847519,936713,659956,918342,812100,1034494,746079,1018926,771438,871926,1001589,1076032,945494,963061,1007229,902128,843229,707533,993610,828121,1027590,1015266,1123666,858782
114,1011639,947829,879202,778854,806066,982133,1050933,1296727,830626,952336,984617,1056027,943975,926774,997863,673961,847744,936945,660245,918588,812402,1034790,746396,1019363,771775,872201,1001886,1076291,945800,963354,1007567,902377,843520,707933,993937,828457,1027897,1015620,1123978,859049
115,1012010,948148,879547,779166,806314,982424,1051204,1297025,830949,952690,984893,1056323,944244,927064,998210,674226,848028,937182,660547,918817,812760,1035103,746723,1019791,772210,872577,1002269,1076652,946045,963772,1007805,902795,843823,708256,994261,828790,1028438,1015810,1124265,859436
116,1012395,948437,879956,779558,806657,982684,1051489,1297352,831201,952971,985211,1056777,944625,927477,998388,674570,848336,937552,661010,919162,813080,1035452,747098,1020195,772515,872928,1002565,1076928,946416,964048,1008125,903015,844263,708622,994651,829014,1028648,1016197,1124527,859722
117,1012760,948911,880334,779945,807120,983132,1051785,1297710,831635,953271,985567,1057175,945015,927852,998823,674951,848726,937851,661313,919493,813418,1035815,747396,1020596,772838,873261,1002905,1077211,946707,964376,1008410,903258,844550,708956,994904,829348,1028983,1016542,1124867,860008
118,1013124,949290,880639,780255,807393,983485,1052123,1298124,831948,953623,985852,1057474,945322,928132,999070,675210,849043,938117,661571,919811,813755,1036149,747788,1020897,773211,873548,1003304,1077563,946961,964667,1008686,903535,844903,709320,995196,829637,1029249,1016818,1125198,860358
119,1013449,949602,880936,780545,807674,983798,1052396,1298310,832285,953967,986178,1057878,945639,928507,999386,675522,849372,938453,661948,920108,814094,1036439,748115,1021262,773514,873838,1003637,1077871,947296,964998,1009053,903869,845188,709685,995592,830036,1029611,1017139,1125576,860720
120,1013844,949949,881292,780835,808088,984214,1052675,1298679,832625,954488,986511,1058229,946053,928832,999639,675897,849775,938836,662266,920496,814369,1036808,748418,1021707,773870,874183,1004012,1078205,947561,965399,1009408,904129,845471,709932,995838,830328,1030017,1017480,1125885,861058
121,1014083,950290,881669,781191,808594,984575,1053002,1299010,832960,954833,986845,1058620,946378,929177,999987,676257,850103,939084,662576,920782,814666,1037090,748785,1021992,774208,874447,1004275,1078595,947836,965807,1009836,904451,845807,710327,996230,830601,1030262,1017782,1126207,861387
122,1014441,950599,881946,781528,808814,984721,1053419,1299419,833364,955199,987173,1058952,946686,929534,1000339,676559,850405,939471,663011,921161,815022,1037389,749096,1022325,774490,874790,1004708,1078906,948200,966093,1010163,904828,846134,710699,996573,830976,1030525,1018112,1126549,861660
123,1014772,950913,882272,781855,809175,984996,1053787,1299788,833694,955534,987548,1059314,947057,929884,1000695,676982,850703,939834,663345,921566,815306,1037718,749501,1022660,774754,875156,1005090,1079180,948553,966434,1010616,905177,846386,711097,997030,831324,1030837,1018405,1126908,862056
124,1015090,951181,882510,782151,809424,985240,1053969,1300008,834050,955822,987893,1059630,947466,930290,1000967,677252,851015,940162,663676,921935,815586,1038101,749793,1022997,775136,875521,1005381,1079557,948865,966763,1010960,905549,846736,711374,997299,831708,1031185,1018792,1127241,862412
125,1015434,951554,882793,782487,809813,985553,1054326,1300403,834387,956265,988242,1059997,947815,930709,1001337,677617,851415,940500,664024,922326,815860,1038472,750121,1023336,775458,875777,1005651,1079936,949215,967048,1011274,905803,847062,711800,997701,831992,1031535,1019034,1127558,862723
126,1015770,951908,883124,782817,810207,985931,1054650,1300633,834774,956646,988535,1060308,948113,931001,1001688,677895,851646,940883,664371,922713,816168,1038853,750461,1023757,775759,876123,1006018,1080236,949421,967397,1011701,906109,847369,712236,998190,832382,1031790,1019400,1127915,863110
127,1016097,952236,883489,783133,810486,986264,1054912,1300900,835093,956977,988845,1060655,948408,931284,1001985,678223,851927,941148,664748,922995,816454,1039148,750785,1024073,776023,876393,1006294,1080569,949739,967638,1012002,906498,847674,712683,998427,832805,1032165,1019719,1128238,863432
128,1016423,952618,883727,783468,810752,986480,1055089,1301304,835468,957222,989123,1060964,948753,931658,1002245,678532,852262,941461,665101,923334,816807,1039476,751078,1024413,776305,876646,1006584,1080883,950107,968024,1012375,906834,847953,712941,998845,833006,1032532,1020052,1128631,863837
129,1016729,953003,884101,783877,811118,986813,1055445,1301472,835815,957615,989406,1061279,949048,931965,1002518,678794,852531,941691,665345,923623,817079,1039768,751453,1024694,776614,876965,1006922,1081226,950440,968234,1012765,907103,848351,713327,999189,833342,1032806,1020403,1128894,864164
130,1017030,953298,884393,784134,811483,987150,1055813,1301735,836152,958006,989731,1061619,949397,932327,1002848,679167,852865,942010,665698,923946,817424,1040124,751806,1025060,776923,877315,1007267,1081587,950754,968559,1013182,907432,848664,713722,999615,833664,1033063,1020844,1129286,864588
131,1017392,953654,884666,784450,811760,987469,1056082,1302083,836448,958457,989999,1061945,949696,932588,1003126,679499,853150,942444,665944,924276,817687,1040429,752107,1025372,777218,877600,1007553,1081939,951072,968915,1013553,907799,848999,714139,999913,834020,1033496,1021227,1129659,864955
132,1017760,954014,884951,784795,812085,987810,1056492,1302475,836815,958933,990284,1062276,950013,932933,1003564,679801,853502,942677,666360,924594,818030,1040815,752424,1025714,777538,877910,1007874,1082200,951349,969220,1013923,908043,849324,714520,1000287,834370,1033844,1021562,1130023,865301
133,1018098,954338,885370,785191,812418,988217,1056816,1302821,837064,959300,990638,1062625,950385,933260,1003960,680108,853749,942996,666639,925073,818312,1041119,752674,1025995,777858,878239,1008144,1082543,951612,969537,1014152,908400,849695,714831,1000610,834690,1034183,1021868,1130353,865640
134,1018541,954782,885790,785613,812795,988600,1057107,1303158,837361,959789,990890,1062956,950680,933580,1004180,680411,854093,943294,666909,925284,818628,1041470,752967,1026334,778197,878549,1008564,1082808,951919,969890,1014526,908791,850045,715102,1001010,835018,1034588,1022208,1130728,866003
135,1018762,955074,886009,785927,813153,988976,1057505,1303582,837728,960174,991231,1063338,951009,933944,1004487,680718,854365,943636,667278,925502,818928,1041787,753254,1026685,778502,878867,1008768,1083073,952115,970288,1014886,909061,850348,715504,1001351,835312,1034908,1022541,1130938,866290
136,1019113,955499,886373,786253,813554,989260,1057752,1303868,838194,960503,991558,1063648,951323,934303,1004813,681093,854714,943916,667606,925923,819244,1042100,753593,1027043,778772,879152,1009173,1083504,952450,970607,1015249,909428,850731,715777,1001609,835561,1035163,1022909,1131317,866672
137,1019450,955799,886602,786609,813924,989620,1058052,1304266,838477,960914,991828,1064006,951615,934529,1005080,681356,854920,944202,667860,926167,819502,1042409,753812,1027340,779030,879358,1009414,1083748,952704,970850,1015649,909790,850999,716155,1001926,835931,1035552,1023393,1131667,866975
138,1019846,956144,887015,786955,814355,990040,1058432,1304564,838875,961394,992152,1064352,951986,934878,1005408,681693,855331,944494,668213,926494,819825,1042750,754126,1027777,779382,879731,1009757,1084037,952986,971205,1016042,910167,851265,716489,1002275,836297,1035893,1023609,1132094,867261
139,1020172,956439,887317,787265,814660,990265,1058747,1304989,839170,961707,992433,1064660,952247,935132,1005655,681942,855640,944825,668537,926871,820160,1043008,754356,1028082,779704,880016,1010060,1084387,953254,971515,1016417,910517,851667,716852,1002609,836639,1036305,1023903,1132444,867545
140,1020503,956751,887671,787460,814978,990503,1059126,1305343,839543,962073,992774,1065017,952659,935489,1005958,682289,855975,945078,668841,927332,820513,1043426,754663,1028484,780081,880300,1010403,1084753,953512,971805,1016792,910866,852028,717231,1002901,837007,1036603,1024362,1132840,867918
141,1020835,957132,887843,787893,815292,990836,1059467,1305594,839984,962568,993074,1065397,953008,935812,1006272,682647,856266,945414,669148,927538,820823,1043702,754945,1028832,780347,880634,1010758,1084982,953928,972105,1017059,911116,852362,717528,1003183,837249,1036964,1024633,1133071,868153
142,1021135,957437,888196,788202,815684,991244,1059848,1306001,840310,963032,993390,1065698,953369,936150,1006637,683029,856661,945730,669563,927821,821187,1044002,755274,1029190,780770,881002,1010998,1085309,954120,972463,1017468,911369,852720,717806,1003474,837530,1037399,1024875,1133381,868448
143,1021472,957824,888481,788542,816020,991508,1060054,1306301,840799,963293,993666,1065976,953615,936512,1006862,683304,856867,945994,669749,928152,821544,1044316,755513,1029562,781058,881294,1011317,1085604,954402,972789,1017786,911629,852965,718141,1003835,837862,1037703,1025225,1133722,868797
144,1021718,958131,888774,788866,816308,991861,1060344,1306507,841187,963586,993953,1066340,953977,936845,1007156,683636,857194,946266,670108,928503,821877,1044615,755828,1029899,781381,881549,1011630,1085961,954676,973078,1018205,911967,853352,718535,1004170,838191,1038005,1025552,1134021,869115
145,1022069,958476,889075,789140,816634,992166,1060703,1306853,841500,963924,994264,1066722,954302,937227,1007516,684000,857552,946578,670456,928780,822219,1044931,756113,1030356,781776,882033,1011982,1086297,954961,973443,1018500,912325,853632,719008,1004532,838551,1038462,1025882,1134365,869551
146,1022453,958834,889388,789572,817073,992434,1061035,1307151,841816,964262,994583,1067022,954625,937520,1007811,684269,857860,946953,670771,929190,822486,1045239,756475,1030686,782061,882314,1012288,1086562,955246,973750,1018871,912661,854011,719261,1004904,838922,1038705,1026176,1134702,869827
147,1022808,959095,889734,789864,817397,992700,1061334,1307421,842206,964552,994883,1067351,954926,937884,1008139,684647,858152,947241,671082,929451,822883,1045494,756794,1031058,782423,882677,1012661,1086851,955577,974098,1019216,912907,854271,719658,1005244,839191,1039017,1026509,1135043,870133
148,1023207,959507,890079,790245,817808,993113,1061676,1307756,842439,964956,995197,1067676,955303,938256,1008399,684937,858476,947631,671397,929825,823179,1045869,757133,1031359,782793,882989,1012945,1087248,955755,974356,1019554,913270,854708,719938,1005606,839446,1039336,1026887,1135378,870593
149,1023573,959865,890400,790656,818296,993452,1061951,1308124,842863,965283,995474,1068082,955599,938580,1008674,685226,858812,947888,671716,930185,823484,1046115,757384,1031695,782996,883295,1013298,1087545,956096,974732,1019817,913560,855076,720190,1005929,839803,1039684,1027205,1135643,870861
150,1023854,960214,890811,790960,818565,993760,1062314,1308440,843236,965602,995843,1068424,955929,938965,1009015,685576,859120,948213,672094,930483,823774,1046514,757756,1032130,783346,883633,1013583,1087869,956384,975067,1020176,913822,855386,720531,1006172,840144,1039937,1027516,1135954,871183
151,1024183,960576,891080,791351,818879,994155,1062645,1308916,843696,966037,996173,1068855,956250,939320,1009348,685942,859523,948500,672401,930836,824059,1046823,758065,1032433,783671,883915,1013922,1088188,956673,975454,1020581,914130,855689,720948,1006592,840586,1040260,1027936,1136428,871725
152,1024544,960907,891413,791683,819270,994441,1062928,1309117,843987,966403,996473,1069158,956615,939634,1009651,686256,859858,948819,672732,931148,824344,1047109,758357,1032772,784032,884305,1014334,1088518,956921,975803,1020912,914489,856009,721241,1006915,840910,1040546,1028222,1136660,872008
153,1024950,961302,891808,792051,819558,994845,1063262,1309445,844326,966718,996737,1069503,956961,939962,1009959,686575,860126,949099,672987,931470,824665,1047480,758727,1033199,784267,884619,1014660,1088844,957317,976127,1021320,914819,856315,721673,1007328,841264,1040936,1028505,1136999,872386
154,1025260,961617,892151,792308,819916,995187,1063606,1309675,844700,967067,997049,1069865,957344,940332,1010214,686852,860433,949481,673345,931816,824947,1047811,759032,1033534,784643,884917,1014999,1089118,957576,976509,1021743,915134,856701,722091,1007589,841666,1041214,1028822,1137283,872724
155,1025546,961975,892434,792576,820240,995446,1063930,1310015,845121,967335,997324,1070169,957653,940645,1010535,687171,860744,949753,673669,932037,825282,1048158,759448,1033892,784986,885251,1015283,1089572,957908,976781,1022128,915488,856979,722347,1007947,841924,1041545,1029165,1137642,873044
156,1026014,962333,892834,792977,820650,995853,1064293,1310382,845425,967701,997643,1070510,957968,940972,1010843,687423,861122,950005,673987,932356,825619,1048400,759767,1034303,785342,885602,1015576,1089809,958195,977120,1022525,915801,857303,722720,1008267,842322,1041961,1029534,1137964,873583
157,1026312,962641,893101,793228,820907,996166,1064552,1310595,845786,967988,997996,1070879,958345,941301,1011216,687728,861521,950303,674318,932576,825916,1048771,760102,1034600,785619,885909,1015936,1090204,958543,977430,1022925,916155,857582,723114,1008686,842662,1042319,1029887,1138282,873745
158,1026637,962932,893366,793586,821261,996440,1064822,1310919,846164,968346,998254,1071199,958621,941610,1011478,687993,861745,950564,674605,932912,826204,1049125,760438,1034889,785947,886213,1016210,1090503,958814,977720,1023266,916480,857967,723444,1009017,842924,1042595,1030169,1138638,874095
159,1027020,963358,893717,793935,821631,996783,1065198,1311263,846533,968758,998587,1071532,958952,941970,1011826,688357,862102,950927,674944,933211,826537,1049466,760717,1035263,786266,886510,1016499,1090822,959170,978076,1023614,916813,858308,723776,1009340,843146,1043030,1030510,1138943,874435
160,1027344,963663,894080,794252,821926,997065,1065574,1311577,846777,969116,998826,1071838,959222,942272,1012083,688625,862356,951177,675291,933520,826836,1049837,761069,1035580,786603,886820,1016787,1091174,959424,978415,1024003,917109,858653,724248,1009761,843546,1043300,1030899,1139277,874808
161,1027708,964054,894385,794675,822342,997337,1065839,1311872,847138,969494,999124,1072155,959572,942565,1012372,688958,862676,951468,675571,933759,827158,1050182,761395,1035833,786895,887143,1017078,1091525,959733,978699,1024245,917356,859029,724534,1010067,843807,1043765,1031219,1139598,875325
162,1028065,964404,894703,794995,822636,997732,1066177,1312161,847523,970013,999470,1072568,959887,942924,1012661,689200,863072,951767,675975,934058,827410,1050464,761661,1036179,787205,887457,1017396,1091848,960027,978994,1024584,917648,859353,724846,1010395,844162,1044153,1031548,1139895,875487
163,1028422,964756,895045,795399,822995,998056,1066599,1312535,847936,970359,999780,1072912,960242,943176,1013050,689465,863345,952046,676335,934355,827688,1050831,761986,1036483,787468,887683,1017680,1092205,960353,979307,1024896,918035,859691,725232,1010694,844519,1044374,1031949,1140191,875877
164,1028798,965065,895426,795787,823367,998400,1066960,1312886,848208,970738,1000106,1073244,960570,943549,1013348,689817,863705,952344,676627,934688,828028,1051117,762283,1036849,787831,887980,1018083,1092461,960621,979649,1025277,918437,860035,725605,1011024,844829,1044660,1032291,1140467,876250
165,1029056,965419,895750,796172,823689,998637,1067295,1313264,848556,971102,1000411,1073622,960875,943878,1013634,690135,864008,952687,677065,934974,828382,1051474,762618,1037169,788096,888275,1018460,1092863,960919,979999,1025702,918727,860414,725963,1011385,845245,1045046,1032631,1140763,876591
166,1029337,965741,896006,796442,823946,998918,1067539,1313566,848864,971489,1000735,1073945,961208,944208,1013990,690464,864299,952906,677301,935258,828709,1051821,762946,1037515,788468,888609,1018796,1093173,961175,980349,1026129,918962,860776,726351,1011726,845561,1045303,1033038,1141195,876962
167,1029644,966075,896349,796776,824302,999223,1067777,1313902,849298,971892,1001038,1074294,961554,944535,1014277,690807,864548,953292,677643,935599,828990,1052082,763269,1037875,788694,888917,1019156,1093487,961458,980713,1026471,919254,861066,726671,1012016,845919,1045573,1033440,1141518,877393
168,1030038,966415,896659,797123,824662,999591,1068137,1314209,849568,972220,1001355,1074619,961931,944910,1014660,691144,864895,953637,678018,936030,829237,1052387,763568,1038143,788991,889209,1019416,1093856,961770,981018,1026820,919569,861390,726930,1012276,846146,1046001,1033675,1141767,877643
169,1030353,966768,896949,797483,825004,999883,1068420,1314553,850014,972650,1001639,1074970,962243,945219,1014909,691435,865170,953836,678288,936268,829635,1052682,763827,1038593,789323,889548,1019781,1094166,962059,981320,1027200,919903,861625,727280,1012608,846470,1046348,1034121,1142118,878031
170,1030704,967063,897213,797814,825316,1000106,1068661,1314834,850241,972889,1001997,1075333,962718,945591,1015341,691784,865440,954224,678619,936682,829944,1053058,764107,1038943,789665,889887,1020127,1094454,962331,981661,1027539,920113,862074,727636,1012902,846827,1046649,1034430,1142503,878332
171,1031076,967421,897464,798144,825686,1000425,1069077,1315218,850727,973256,1002269,1075674,962962,945868,1015640,692099,865763,954504,679015,937009,830286,1053417,764340,1039326,790022,890193,1020431,1094767,962613,981981,1027838,920444,862334,727993,1013295,847142,1046988,1034736,1142852,878709
172,1031438,967746,897822,798539,826014,1000710,1069274,1315483,851046,973680,1002571,1075986,963275,946196,1015935,692399,866050,954776,679471,937312,830644,1053685,764705,1039650,790354,890560,1020833,1095142,962916,982264,1028106,920812,862742,728340,1013623,847477,1047328,1035106,1143229,878990
173,1031767,968131,898151,798913,826349,1001081,1069718,1315905,851470,974153,1002802,1076292,963564,946438,1016265,692697,866343,955081,679694,937606,830895,1053991,765030,1040067,790742,890981,1021227,1095414,963251,982660,1028455,921121,863053,728736,1013910,847791,1047625,1035418,1143530,879338
174,1032108,968385,898391,799158,826564,1001387,1069945,1316181,851750,974379,1003141,1076635,963877,946742,1016599,693065,866612,955397,679970,937899,831264,1054363,765394,1040480,790998,891294,1021532,1095727,963583,983063,1028833,921614,863418,729062,1014323,848124,1048004,1035777,1143903,879679
175,1032437,968610,898721,799433,826879,1001684,1070110,1316435,852056,974692,1003472,1077055,964243,947183,1016904,693321,866978,955686,680275,938251,831633,1054741,765641,1040818,791424,891724,1021929,1096073,963881,983286,1029087,921961,863735,729436,1014633,848499,1048422,1036039,1144268,879949
176,1032723,968945,898973,799719,827181,1001949,1070369,1316681,852376,974899,1003803,1077431,964630,947543,1017235,693690,867282,956008,680601,938764,831941,1055046,765885,1041234,791738,892060,1022334,1096453,964161,983784,1029451,922271,864181,729848,1014968,848777,1048740,1036367,1144569,880286
177,1033157,969330,899350,800157,827489,1002346,1070773,1316927,852752,975304,1004058,1077754,964974,947891,1017550,694039,867589,956344,680929,938904,832291,1055324,766256,1041700,792021,892429,1022599,1096770,964463,984092,1029834,922563,864530,730141,1015315,849141,1049075,1036635,1144891,880647
178,1033490,969669,899650,800496,827897,1002734,1071145,1317388,853093,975650,1004362,1078131,965360,948201,1017818,694370,867896,956550,681218,939207,832577,1055630,766582,1042140,792444,892824,1023020,1097009,964777,984559,1030249,922853,864821,730498,1015657,849545,1049408,1037019,1145278,880947
179,1033869,969969,900034,800722,828145,1003041,1071493,1317736,853425,976037,1004669,1078460,965667,948555,1018204,694702,868331,956872,681601,939610,832879,1055965,766933,1042495,792779,893081,1023367,1097368,965140,984747,1030634,923153,865111,730824,1016008,849749,1049687,1037254,1145674,881269
180,1034225,970332,900406,801182,828505,1003411,1071785,1318104,853789,976509,1004949,1078729,966000,948937,1018537,695040,868571,957147,682044,939924,833202,1056327,767249,1042832,793066,893307,1023719,1097712,965564,985082,1030989,923471,865444,731242,1016390,850066,1050023,1037605,1145933,881612
181,1034520,970651,900702,801495,828848,1003786,1072110,1318369,854141,976858,1005264,1079065,966365,949172,1018751,695327,868916,957497,682268,940229,833539,1056689,767585,1043142,793387,893644,1024062,1098034,965676,985421,1031443,923838,865760,731710,1016713,850389,1050368,1038143,1146310,881907
182,1034861,970976,900953,801829,829084,1004106,1072402,1318634,854516,977276,1005600,1079349,966794,949647,1019182,695708,869140,957882,682622,940540,833869,1056960,767961,1043599,793763,893935,1024398,1098364,966038,985787,1031806,924129,866076,732087,1017087,850701,1050729,1038341,1146697,882239
183,1035150,971288,901227,802103,829403,1004358,1072700,1319013,854810,977657,1005888,1079776,967034,949970,1019484,696041,869464,958085,682837,940765,834152,1057297,768332,1043979,794141,894383,1024843,1098646,966425,986139,1032132,924503,866418,732538,1017432,851048,1051058,1038726,1147167,882515
184,1035446,971590,901560,802453,829695,1004629,1072999,1319311,855120,977905,1006179,1080133,967373,950304,1019827,696264,869878,958388,683147,941036,834468,1057575,768609,1044414,794480,894748,1025261,1099001,966770,986381,1032519,924858,866776,732824,1017804,851403,1051382,1039026,1147425,882947
185,1035831,971988,901882,802809,830060,1004934,1073354,1319579,855352,978341,1006544,1080548,967765,950681,1020159,696634,870183,958742,683515,941417,834782,1058038,768984,1044811,794855,895043,1025506,1099295,967024,986694,1032902,925190,867080,733107,1018089,851680,1051617,1039377,1147783,883248
186,1036139,972269,902221,803084,830369,1005270,1073608,1319972,855758,978736,1006857,1080862,968105,950994,1020464,696973,870501,959067,683988,941822,835064,1058344,769400,1045198,795130,895308,1025928,1099693,967443,987089,1033137,925546,867422,733543,1018467,851982,1052046,1039578,1147984,883576
187,1036513,972669,902561,803439,830740,1005690,1073950,1320295,856077,979003,1007159,1081210,968432,951354,1020727,697292,870835,959350,684340,942086,835398,1058701,769683,1045564,795447,895694,1026249,1100003,967674,987373,1033503,925945,867803,733874,1018812,852305,1052398,1039943,1148303,883945
188,1036807,972993,902780,803752,831071,1006022,1074287,1320549,856371,979482,1007459,1081550,968807,951707,1021035,697664,871143,959649,684728,942402,835730,1058994,769982,1045941,795718,895991,1026588,1100411,968080,987715,1033844,926246,868147,734236,1019124,852560,1052741,1040283,1148699,884296
189,1037155,973322,903065,804118,831453,1006337,1074528,1320939,856655,979897,1007732,1081850,969057,951968,1021309,697941,871432,959950,684910,942738,836039,1059326,770329,1046316,796162,896343,1026930,1100628,968313,988098,1034207,926560,868567,734568,1019403,852935,1053139,1040628,1149027,884589
190,1037370,973639,903346,804439,831839,1006671,1074921,1321160,856969,980249,1008024,1082225,969386,952314,1021638,698279,871697,960286,685337,943124,836347,1059576,770651,1046624,796445,896606,1027229,1101059,968617,988429,1034484,926849,868875,734797,1019674,853140,1053381,1040860,1149313,884992
191,1037669,974006,903654,804788,832136,1007011,1075310,1321495,857244,980702,1008363,1082545,969694,952620,1021959,698581,872062,960596,685617,943366,836625,1059891,770961,1046945,796673,896911,1027485,1101277,968923,988787,1034939,927223,869340,735195,1020187,853550,1053799,1041238,1149687,885279
