kbcached,aceph01,aceph02,aceph03,aceph04
288,4064372.0,3868752.0,3759980.0,3833800.0
289,4075944.0,3895376.0,3775932.0,3843464.0
290,4046592.0,3911892.0,3786420.0,3839716.0
291,4062520.0,3919624.0,3791644.0,3856268.0
292,4072208.0,3943156.0,3807384.0,3867852.0
293,4098244.0,3935088.0,3822768.0,3893112.0
294,4124196.0,3948960.0,3838800.0,3921548.0
295,4159116.0,3957748.0,3866864.0,3906096.0
296,4186076.0,3981656.0,3877180.0,3917800.0
297,4149412.0,3964112.0,3864692.0,3920908.0
298,4154240.0,3968360.0,3870240.0,3936084.0
299,4162200.0,3988436.0,3886352.0,3951832.0
300,4188612.0,3995936.0,3901008.0,3963636.0
301,4177544.0,4007828.0,3908276.0,3980372.0
302,4182424.0,4012520.0,3924924.0,3967860.0
303,4184480.0,4026644.0,3939364.0,3990608.0
304,4203012.0,4037820.0,3970688.0,4014248.0
305,4220916.0,4048012.0,3972932.0,4017508.0
306,4233500.0,4057736.0,3962856.0,4037188.0
307,4250116.0,4068500.0,3981088.0,4048340.0
308,4266240.0,4078680.0,3986032.0,4052744.0
309,4282112.0,4089108.0,4008500.0,4062892.0
310,4291196.0,4097700.0,4012884.0,4064324.0
311,4311444.0,4118664.0,4022068.0,4080392.0
312,4326168.0,4136752.0,4030656.0,4097060.0
313,4343956.0,4147128.0,4037248.0,4100132.0
314,4343816.0,4157192.0,4052344.0,4104676.0
315,4340080.0,4167688.0,4068768.0,4122600.0
316,4358192.0,4189636.0,4085556.0,4145424.0
317,4377124.0,4196972.0,4094900.0,4162944.0
318,4392264.0,4205028.0,4105540.0,4183400.0
319,4419356.0,4222220.0,4120212.0,4211800.0
320,4440788.0,4239112.0,4140120.0,4180784.0
321,4462320.0,4220632.0,4152592.0,4185032.0
322,4483184.0,4225404.0,4157264.0,4204988.0
323,4484764.0,4235852.0,4166352.0,4210136.0
324,4493148.0,4246784.0,4161868.0,4233076.0
325,4517516.0,4262488.0,4177580.0,4235280.0
326,4499496.0,4277348.0,4193600.0,4249400.0
327,4529764.0,4283372.0,4210044.0,4264228.0
328,4552924.0,4299440.0,4221400.0,4268548.0
329,4572224.0,4309324.0,4230840.0,4289664.0
330,4586000.0,4321428.0,4247536.0,4306452.0
331,4618280.0,4329208.0,4244696.0,4317944.0
332,4601108.0,4342796.0,4254176.0,4326100.0
333,4614032.0,4364676.0,4266108.0,4337104.0
334,4667252.0,4397980.0,4279644.0,4365144.0
335,4651676.0,4443588.0,4290140.0,4382356.0
336,4667276.0,4463796.0,4299940.0,4378164.0
337,4646980.0,4493360.0,4315664.0,4380584.0
338,4660200.0,4475108.0,4325572.0,4399260.0
339,4670268.0,4478864.0,4341612.0,4408904.0
340,4686604.0,4483516.0,4354672.0,4417792.0
341,4700952.0,4499836.0,4374160.0,4442808.0
342,4712960.0,4485716.0,4385040.0,4453384.0
343,4738368.0,4495444.0,4408484.0,4456984.0
344,4762356.0,4491384.0,4419600.0,4456980.0
345,4751960.0,4496508.0,4424088.0,4465380.0
346,4768052.0,4495112.0,4413280.0,4479868.0
347,4779124.0,4510084.0,4421856.0,4499452.0
348,4768316.0,4525848.0,4445040.0,4497792.0
349,4788824.0,4540484.0,4470804.0,4514996.0
350,4804028.0,4567388.0,4499728.0,4537376.0
351,4808292.0,4591164.0,4500800.0,4552272.0
352,4818592.0,4609148.0,4503764.0,4561132.0
353,4833836.0,4597304.0,4492856.0,4575120.0
354,4858424.0,4619176.0,4504120.0,4575976.0
355,4880184.0,4630976.0,4519068.0,4563844.0
356,4907392.0,4642516.0,4534516.0,4579940.0
357,4929648.0,4642468.0,4529604.0,4579528.0
358,4908108.0,4660608.0,4538316.0,4599904.0
359,4915100.0,4678996.0,4554276.0,4621552.0
360,4921472.0,4679632.0,4582620.0,4634896.0
361,4939436.0,4699608.0,4585968.0,4661996.0
362,4951892.0,4690820.0,4595356.0,4653668.0
363,4960372.0,4706712.0,4600580.0,4669792.0
364,4981232.0,4720516.0,4612608.0,4674536.0
365,4991072.0,4741444.0,4621944.0,4689844.0
366,5010808.0,4755312.0,4633128.0,4702484.0
367,5026096.0,4737892.0,4652012.0,4706836.0
368,5042144.0,4735668.0,4669124.0,4716632.0
369,5054548.0,4733696.0,4663020.0,4723624.0
370,5072420.0,4751316.0,4682556.0,4746524.0
371,5075308.0,4772220.0,4685072.0,4748880.0
372,5116488.0,4783072.0,4700976.0,4767716.0
373,5115468.0,4805292.0,4710420.0,4799464.0
374,5076772.0,4802692.0,4719612.0,4825208.0
375,5084140.0,4811580.0,4730820.0,4831668.0
376,5085744.0,4827164.0,4742376.0,4848120.0
377,5106496.0,4844596.0,4748252.0,4852652.0
378,5125940.0,4855048.0,4763536.0,4869820.0
379,5156788.0,4872236.0,4779176.0,4879360.0
380,5194380.0,4865672.0,4785380.0,4897864.0
381,5204240.0,4890640.0,4796336.0,4904740.0
382,5199604.0,4903948.0,4816436.0,4912092.0
383,5090512.0,4904888.0,4841072.0,4910380.0
384,5111780.0,4905276.0,4853792.0,4900968.0
385,5117428.0,4907640.0,4857892.0,4916944.0
386,5130572.0,4918364.0,4873008.0,4933104.0
387,5142020.0,4932980.0,4891972.0,4948720.0
388,5163424.0,4949396.0,4894232.0,4952548.0
389,5194056.0,4965084.0,4915240.0,4976660.0
390,5214728.0,4970300.0,4924192.0,4984880.0
391,5228716.0,4982252.0,4943040.0,5005524.0
392,5255640.0,4991248.0,4981708.0,5030216.0
393,5278300.0,5001812.0,4968868.0,5021208.0
394,5289432.0,5012300.0,4956944.0,5019848.0
395,5269656.0,5017184.0,4973660.0,5025956.0
396,5268124.0,5029652.0,4991384.0,5044628.0
397,5294304.0,5048472.0,5002832.0,5064172.0
398,5318248.0,5048856.0,5011716.0,5091880.0
399,5288484.0,5061288.0,4999044.0,5083368.0
