%usr,client01,client02,client03,client04
291,0.68,1.39,1.25,1.15
292,0.48,1.04,1.43,1.15
293,0.76,1.19,1.35,1.25
294,3.28,1.02,1.3,1.13
295,2.68,1.06,1.15,1.18
296,0.5,1.47,1.2,1.25
297,0.58,1.5,1.23,1.25
298,0.61,1.36,1.28,1.18
299,0.61,1.14,1.35,1.15
300,1.17,1.14,1.35,1.23
301,3.26,1.09,1.2,0.93
302,1.57,1.09,1.18,1.15
303,0.53,1.02,1.43,1.18
304,0.76,1.42,1.25,1.1
305,0.6,1.09,1.33,1.1
306,0.7,0.99,1.3,1.2
307,1.68,1.47,1.23,1.35
308,3.96,1.01,1.13,1.23
309,0.68,1.07,1.45,1.2
310,0.76,1.14,1.35,1.13
311,0.73,0.91,1.18,1.23
312,0.73,1.35,1.23,1.3
313,0.61,1.22,1.13,1.33
314,2.95,1.22,1.18,1.13
315,2.77,1.04,1.25,1.18
316,0.73,1.15,1.3,1.1
317,0.68,1.25,1.28,1.15
318,0.65,1.15,1.28,1.28
319,0.66,1.09,1.15,1.38
320,0.7,0.84,1.25,1.35
321,4.4,1.04,1.25,1.88
322,1.64,1.12,1.3,1.18
323,0.63,1.3,1.3,1.25
324,0.78,1.1,1.25,1.3
325,0.88,1.12,1.18,1.25
326,0.73,1.07,1.28,1.28
327,2.19,1.07,1.35,1.08
328,4.1,1.08,1.18,1.18
329,0.81,1.12,1.3,1.18
330,0.73,1.12,1.23,1.23
331,0.81,1.15,1.23,1.23
332,0.71,1.05,1.2,1.23
333,0.61,1.09,1.23,1.23
334,3.37,1.12,1.25,1.18
335,2.16,1.12,1.2,1.28
336,0.8,1.27,1.18,1.2
337,0.76,1.2,1.3,1.28
338,0.61,1.05,1.3,1.18
339,0.66,1.09,1.28,1.25
340,1.69,1.39,1.35,1.1
341,3.45,1.06,1.2,1.4
342,1.21,1.15,1.25,1.25
343,0.6,1.07,1.3,1.18
344,0.78,1.12,1.38,1.2
345,0.86,1.04,1.33,1.18
346,0.75,1.02,1.28,1.18
347,2.32,1.15,1.2,1.0
348,3.3,1.16,1.2,1.1
349,0.78,1.17,1.35,1.15
350,0.83,0.97,1.25,1.18
351,0.63,1.32,1.25,1.18
