wMB/s,aceph01,aceph02,aceph03,aceph04
312,2.211,3.021,1.412,1.391
313,1.797,2.549,1.643,1.68
314,1.884,2.429,1.743,1.562
315,1.66,2.116,1.702,1.882
316,1.689,1.757,1.832,2.196
317,1.345,1.752,1.473,2.282
318,2.02,1.842,1.837,1.472
319,1.906,1.597,1.554,1.577
320,1.73,1.884,1.394,1.424
321,1.471,1.62,1.407,1.493
322,1.789,1.846,1.528,1.698
323,1.723,1.902,1.509,1.524
324,1.567,1.961,1.818,1.873
325,1.987,2.752,1.786,1.867
326,1.932,2.793,2.245,1.705
327,2.335,2.252,2.205,1.964
328,2.048,2.598,2.541,2.047
329,1.971,2.372,3.279,2.54
330,2.16,2.458,3.253,2.576
331,2.603,2.231,3.783,2.436
332,2.38,2.116,2.909,2.485
333,2.37,2.32,2.612,2.654
334,2.381,2.124,2.646,3.084
335,2.338,2.094,2.132,2.722
336,2.258,2.272,2.584,2.685
337,2.093,2.784,2.583,2.664
338,2.436,2.566,2.598,2.498
339,1.8,2.282,2.709,2.233
340,2.172,2.023,2.397,2.268
341,1.88,1.878,2.076,2.34
342,1.787,2.215,1.94,2.11
343,1.55,2.272,2.058,2.157
344,1.58,2.05,1.93,2.169
345,1.582,2.135,2.073,1.963
346,1.653,1.915,1.755,1.62
347,1.649,1.667,1.865,1.65
348,2.185,1.379,1.653,1.6
349,2.24,1.813,1.564,1.747
350,2.555,1.781,1.632,1.627
351,2.235,1.564,1.491,1.746
352,2.662,1.884,1.585,1.873
353,2.62,2.298,1.388,2.034
354,2.272,2.066,1.796,1.911
355,2.326,2.543,1.853,1.884
356,2.295,2.401,1.804,2.075
357,2.39,2.492,1.796,2.11
358,2.568,2.308,1.871,2.202
359,2.002,2.448,2.439,2.23
360,2.354,3.265,2.32,2.405
361,1.768,3.085,2.897,2.27
362,2.61,3.03,2.764,2.531
363,2.017,2.552,2.902,2.85
364,2.187,2.288,2.816,3.211
365,2.293,1.837,2.686,2.771
366,2.819,1.648,3.131,3.106
367,2.866,1.59,2.813,2.991
368,2.813,2.112,3.06,3.31
369,2.514,2.08,2.782,2.885
370,2.561,1.411,1.986,2.733
371,3.094,1.599,2.6,3.138
372,2.545,1.273,2.349,2.766
373,2.098,1.429,2.402,2.924
374,2.507,1.558,1.968,2.699
375,2.41,1.566,2.038,2.374
376,2.188,1.657,1.928,1.939
377,2.464,1.699,1.991,2.031
378,2.609,2.208,1.639,2.014
379,2.513,2.284,1.53,1.9
380,2.256,2.381,1.531,1.822
381,2.063,2.227,1.674,1.702
382,1.809,2.228,1.409,2.185
383,2.194,2.44,1.607,2.134
384,2.286,2.268,1.435,1.825
385,2.362,1.987,1.912,2.075
386,2.292,2.215,1.922,2.308
387,2.164,2.329,1.814,2.841
388,2.069,2.375,1.933,2.734
389,1.831,2.227,2.617,2.551
390,1.972,2.513,1.893,2.774
391,1.643,2.782,2.068,2.487
392,1.59,2.524,2.264,2.945
393,1.888,2.385,2.326,2.738
394,1.775,2.128,2.114,2.335
395,1.696,2.485,2.402,2.362
396,1.938,1.412,2.434,2.094
397,2.271,2.054,2.484,2.14
398,2.29,2.075,2.892,2.326
399,2.374,1.98,2.704,2.725
