rxkB/s,aceph01,aceph02,aceph03,aceph04
339,14646.9,13689.7,13971.9,13256.2
340,13462.5,13228.4,13312.8,13870.5
341,14388.8,13437.2,13806.5,13738.9
342,13981.6,13058.4,13338.2,13070.8
343,14377.8,12830.6,13165.4,13299.6
344,14142.9,13071.2,13487.0,13774.9
345,14554.6,14064.6,14008.7,13725.8
346,14279.0,13195.7,13557.7,13832.9
347,14069.9,13702.3,14208.9,13870.6
348,14670.6,13437.4,13626.4,13226.8
349,14365.5,13551.3,13322.8,13840.2
350,14085.5,13405.8,13530.9,13928.5
351,14932.5,13410.8,14153.1,13103.0
352,13298.1,13232.0,13548.6,13924.4
353,14731.1,13479.4,14060.6,13918.0
354,14037.3,13170.0,13413.4,13769.7
355,13739.4,13447.8,13247.6,13780.7
356,13925.4,13889.7,13995.4,13355.2
357,13727.4,13634.5,13767.8,13196.6
358,13745.7,13128.1,13110.9,14231.2
359,14771.7,13491.5,13971.6,13325.8
360,13475.3,13380.4,13731.4,13416.0
361,13826.1,13254.8,13522.5,13910.6
362,13932.2,13591.6,14299.2,13722.3
363,13328.3,13432.6,13629.6,13166.2
364,14419.7,13237.6,13778.7,14061.8
365,14156.9,13741.3,13606.7,13441.4
366,14232.9,13551.2,13432.5,13566.5
367,13890.0,12972.4,13778.8,14004.2
368,14286.3,13914.8,14055.1,13648.0
369,14278.0,13597.0,13808.9,12995.9
370,14088.8,13470.4,13763.0,13805.5
371,14708.1,13377.8,13872.6,13411.4
372,13504.3,13157.7,13557.3,13601.1
373,14217.9,13222.0,13189.5,13571.4
374,14260.1,12719.7,13395.9,13278.5
375,13678.5,13528.5,13390.6,13711.3
376,14163.9,13459.6,13884.4,13751.4
377,13801.1,13911.1,13494.6,13419.9
378,13798.1,13369.0,13503.8,14073.4
379,14659.8,13506.2,14196.6,13626.2
380,14107.8,13313.2,13281.2,13564.8
381,14166.8,13061.8,13369.4,13867.4
382,13774.5,13574.6,13710.9,12873.0
383,13713.5,13355.3,13272.6,13215.6
384,13641.7,13166.8,13512.6,13916.1
385,14347.3,13334.4,14221.1,13744.1
386,14783.7,13360.6,13340.5,13817.0
387,13368.5,13152.5,13527.3,13839.1
388,14779.6,14130.7,14051.9,13506.3
389,14517.7,13371.0,13555.7,13354.2
390,13539.2,13114.0,13490.9,13901.3
391,14082.1,13983.4,13651.7,13901.8
392,13023.4,12735.2,13353.1,13110.1
393,13981.5,13403.1,13745.3,13496.5
394,14627.7,13582.4,13960.8,13563.6
395,13808.0,13095.4,13431.0,13493.7
396,14482.9,13971.7,13422.3,13423.5
397,13762.2,13321.0,14054.5,12404.3
398,13080.8,12110.2,12609.6,11358.8
399,12743.1,11694.3,11999.3,4640.09
