kbactive,aceph01,aceph02,aceph03,aceph04
253,13297712.0,13453392.0,13193920.0,13122820.0
254,13263048.0,13450680.0,13210708.0,13136044.0
255,13293180.0,13435944.0,13191136.0,13160928.0
256,13263572.0,13475408.0,13221288.0,13130996.0
257,13290836.0,13447464.0,13216020.0,13168760.0
258,13283328.0,13419584.0,13199704.0,13130236.0
259,13255280.0,13420588.0,13211720.0,13144372.0
260,13268276.0,13454852.0,13195144.0,13153956.0
261,13303848.0,13420640.0,13186444.0,13135540.0
262,13268100.0,13411452.0,13227056.0,13135504.0
263,13307460.0,13439716.0,13206072.0,13152044.0
264,13280680.0,13427864.0,13251880.0,13135188.0
265,13271812.0,13472812.0,13211264.0,13165068.0
266,13303628.0,13462860.0,13201476.0,13161316.0
267,13273708.0,13440464.0,13258832.0,13123412.0
268,13294384.0,13479444.0,13208004.0,13158636.0
269,13320360.0,13456336.0,13182756.0,13135180.0
270,13288556.0,13438476.0,13216004.0,13139168.0
271,13333052.0,13477228.0,13182532.0,13172640.0
272,13310540.0,13472932.0,13172064.0,13140008.0
273,13280600.0,13448964.0,13197908.0,13149700.0
274,13275292.0,13487716.0,13179684.0,13189120.0
275,13313748.0,13456784.0,13186640.0,13161704.0
276,13281192.0,13473412.0,13197392.0,13179676.0
277,13287000.0,13483560.0,13181420.0,13157004.0
278,13304632.0,13457904.0,13222536.0,13140592.0
279,13278296.0,13486152.0,13201092.0,13166236.0
280,13311504.0,13485016.0,13183820.0,13138692.0
281,13291224.0,13458948.0,13221236.0,13176124.0
282,13324280.0,13500884.0,13199824.0,13175468.0
283,13326912.0,13475224.0,13185556.0,13166056.0
284,13316972.0,13466316.0,13224540.0,13182800.0
285,13341376.0,13508256.0,13169896.0,13144392.0
286,13343612.0,13514948.0,13173708.0,13162284.0
287,13313016.0,13489688.0,13204956.0,13198620.0
288,13349800.0,13506012.0,13187552.0,13144100.0
289,13330752.0,13491580.0,13182340.0,13171760.0
290,13280388.0,13472928.0,13201272.0,13150320.0
291,13323332.0,13534096.0,13195420.0,13136484.0
292,13282152.0,13513024.0,13182228.0,13168084.0
293,13339492.0,13476688.0,13189400.0,13155768.0
294,13341508.0,13509188.0,13235864.0,13162492.0
295,13331220.0,13478532.0,13218136.0,13165092.0
296,13359300.0,13491040.0,13212124.0,13158456.0
297,13333040.0,13497236.0,13227280.0,13154016.0
298,13311692.0,13461012.0,13192688.0,13180616.0
299,13354772.0,13471700.0,13191100.0,13151820.0
300,13330428.0,13506736.0,13205276.0,13198824.0
301,13300252.0,13470064.0,13203572.0,13191344.0
302,13327356.0,13465680.0,13200376.0,13138528.0
303,13287992.0,13491148.0,13226448.0,13169684.0
304,13325248.0,13495064.0,13219772.0,13191344.0
305,13337808.0,13470836.0,13213028.0,13157928.0
306,13300032.0,13471600.0,13200796.0,13207840.0
307,13339964.0,13507352.0,13235484.0,13194184.0
308,13345976.0,13481840.0,13202724.0,13163792.0
309,13316596.0,13473432.0,13232424.0,13191644.0
310,13361528.0,13489336.0,13233396.0,13172456.0
311,13329916.0,13483240.0,13206200.0,13158732.0
312,13331644.0,13489948.0,13236268.0,13197528.0
313,13368136.0,13522860.0,13226640.0,13184916.0
314,13320544.0,13490876.0,13206732.0,13151996.0
315,13340856.0,13505192.0,13219432.0,13191260.0
316,13330748.0,13536428.0,13244376.0,13183000.0
