subop,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
100,757883,727397,672849,589876,605121,762662,919184,1223203,576473,607847,602138,751789,568988,732275,744196,426244,563745,748922,492010,670930,564129,705991,570147,786175,505490,487664,808354,776977,665336,681801,822310,600024,454973,349046,680326,653899,897442,901564,721266,581738
101,758071,727594,673018,590037,605293,762800,919401,1223388,576701,608080,602298,751950,569128,732456,744355,426437,563942,749101,492186,671166,564321,706160,570360,786399,505663,487879,808547,777214,665512,682011,822502,600184,455173,349278,680508,654092,897642,901737,721457,581929
102,758271,727828,673222,590258,605435,763005,919640,1223584,576950,608335,602460,752147,569353,732648,744531,426606,564116,749268,492388,671320,564497,706314,570545,786598,505802,488051,808728,777377,665695,682180,822736,600372,455368,349466,680727,654278,897894,901956,721659,582075
103,758426,728034,673415,590435,605637,763139,919799,1223710,577044,608486,602605,752370,569536,732818,744648,426820,564286,749483,492627,671534,564745,706528,570779,786838,506074,488317,808975,777611,665872,682405,822946,600543,455575,349696,680918,654468,898078,902164,721792,582256
104,758562,728168,673585,590596,605821,763380,919960,1223938,577295,608761,602756,752514,569687,732961,744839,426917,564407,749593,492790,671664,564891,706690,570910,787032,506238,488474,809153,777756,666061,682593,823165,600708,455776,349894,681113,654669,898301,902361,721984,582470
105,758727,728359,673739,590788,606007,763620,920113,1224104,577474,608981,602927,752759,569877,733183,745038,427138,564605,749794,492993,671833,565131,706843,571101,787265,506405,488652,809344,777992,666237,682807,823397,600885,455948,350101,681292,654847,898542,902598,722186,582640
106,758912,728611,673945,591036,606217,763765,920324,1224311,577697,609267,603076,752973,570064,733399,745203,427315,564814,750061,493194,672033,565338,707035,571269,787486,506568,488848,809548,778137,666411,683017,823632,601056,456198,350319,681537,655018,898718,902781,722371,582833
107,759120,728823,674142,591262,606430,763944,920490,1224524,577846,609523,603200,753160,570227,733529,745357,427476,564929,750198,493307,672146,565546,707219,571474,787701,506741,489046,809748,778301,666530,683214,823828,601278,456341,350548,681750,655224,899078,903066,722606,583065
108,759320,728989,674342,591473,606650,764141,920741,1224718,578102,609746,603378,753323,570407,733728,745521,427716,565150,750349,493552,672345,565757,707417,571714,787998,506928,489233,809917,778516,666751,683439,824016,601423,456566,350720,681920,655477,899192,903217,722792,583233
109,759477,729242,674532,591702,606831,764340,920925,1224973,578281,610000,603548,753568,570606,733925,745732,427879,565327,750554,493770,672530,565966,707585,571923,788198,507137,489419,810155,778688,666937,683646,824200,601574,456751,350927,682111,655557,899400,903410,722952,583440
110,759654,729420,674690,591878,607016,764530,921089,1225133,578469,610170,603700,753802,570808,734122,745916,428070,565535,750756,494007,672731,566159,707780,572133,788412,507340,489649,810377,778881,667093,683917,824431,601735,456946,351095,682324,655762,899574,903660,723192,583614
111,759821,729620,674856,592082,607212,764713,921303,1225331,578639,610476,603874,754000,571018,734289,746074,428231,565696,750939,494211,672901,566352,707923,572316,788608,507504,489830,810559,779091,667286,684086,824632,601941,457118,351307,682511,655953,899785,903836,723262,583820
112,760003,729838,675045,592266,607395,764929,921483,1225478,578829,610640,604045,754203,571196,734459,746259,428386,565896,751129,494459,673125,566552,708076,572508,788854,507692,490010,810748,779259,667421,684302,824840,602089,457324,351526,682729,656204,900018,904045,723486,584043
113,760223,730075,675239,592489,607640,765146,921707,1225679,579049,610909,604241,754438,571417,734687,746415,428607,566095,751377,494677,673350,566773,708252,572738,789048,507893,490219,810966,779426,667592,684509,824997,602269,457461,351719,682891,656394,900169,904218,723656,584204
114,760408,730288,675431,592701,607840,765327,921921,1225927,579250,611184,604393,754627,571571,734849,746568,428762,566219,751518,494866,673505,566979,708459,572911,789306,508064,490374,811131,779648,667780,684671,825208,602464,457655,351962,683085,656583,900337,904445,723852,584345
115,760618,730478,675617,592889,607993,765542,922069,1226127,579461,611464,604536,754797,571742,735017,746775,428911,566384,751664,495060,673679,567201,708662,573152,789572,508313,490602,811383,779873,667987,684924,825383,602646,457842,352148,683262,656798,900541,904560,724041,584544
116,760816,730635,675834,593116,608242,765724,922275,1226329,579607,611678,604724,755051,571928,735242,746873,429124,566556,751877,495352,673879,567391,708854,573332,789796,508496,490796,811559,780044,668163,685102,825601,602853,458036,352375,683484,656976,900765,904834,724223,584737
117,761019,730920,676047,593347,608490,765953,922497,1226548,579841,611907,604909,755267,572151,735452,747108,429361,566762,752082,495537,674071,567596,709008,573528,790055,508665,490984,811772,780250,668368,685312,825798,603008,458221,352578,683642,657180,900980,905061,724403,584954
118,761232,731121,676219,593558,608660,766165,922713,1226793,580052,612199,605068,755464,572329,735616,747251,429514,566935,752233,495712,674268,567802,709154,573727,790231,508854,491180,811989,780421,668508,685455,825989,603176,458383,352806,683853,657356,901119,905242,724565,585156
119,761402,731314,676399,593742,608838,766362,922882,1226914,580298,612394,605264,755702,572519,735824,747402,429686,567105,752440,495974,674437,568020,709348,573922,790511,509015,491355,812167,780603,668689,685648,826220,603404,458612,353006,684065,657620,901348,905438,724767,585357
120,761615,731535,676602,593959,609052,766657,923045,1227127,580506,612703,605443,755910,572729,736013,747577,429893,567329,752673,496147,674627,568184,709533,574088,790806,509216,491560,812384,780822,668901,685879,826424,603585,458787,353163,684204,657781,901596,905652,724965,585543
121,761793,731739,676812,594141,609328,766857,923239,1227315,580720,612960,605607,756123,572928,736173,747751,430100,567498,752819,496386,674778,568371,709709,574296,790998,509400,491742,812531,781017,669111,686121,826684,603733,458979,353405,684440,657940,901779,905835,725168,585737
122,761972,731937,677011,594343,609497,766965,923474,1227552,580899,613180,605804,756348,573120,736372,747978,430266,567676,753054,496667,675004,568602,709890,574494,791248,509584,491949,812766,781160,669296,686294,826896,603900,459156,353595,684616,658161,901967,906046,725352,585875
123,762167,732093,677194,594538,609677,767150,923694,1227763,581157,613433,606001,756565,573329,736550,748182,430493,567833,753248,496874,675213,568797,710036,574688,791456,509722,492169,812998,781346,669459,686491,827166,604129,459424,353825,684868,658391,902211,906253,725570,586089
124,762328,732247,677310,594733,609803,767324,923812,1227896,581349,613630,606182,756788,573524,736779,748335,430661,568026,753427,497080,675408,568971,710204,574897,791707,509958,492388,813172,781511,669612,686696,827345,604284,459615,353969,685025,658591,902418,906487,725771,586284
125,762502,732459,677472,594937,610029,767513,924007,1228154,581538,613904,606388,757036,573734,737028,748519,430858,568247,753638,497304,675610,569160,710358,575070,791907,510153,492536,813330,781665,669771,686873,827565,604474,459809,354226,685238,658795,902668,906644,725945,586433
126,762729,732673,677684,595142,610261,767738,924223,1228317,581740,614154,606530,757216,573914,737180,748696,431012,568372,753886,497506,675827,569361,710533,575240,792122,510314,492750,813557,781925,669959,687091,827791,604709,460014,354482,685514,659010,902920,906860,726144,586662
127,762921,732859,677885,595366,610419,767933,924407,1228491,581997,614402,606687,757414,574078,737344,748893,431195,568522,754022,497730,675979,569537,710679,575394,792301,510462,492892,813707,782069,670090,687224,827956,604880,460160,354738,685641,659248,903110,907045,726336,586809
128,763117,733084,678017,595568,610584,768066,924535,1228756,582165,614573,606827,757596,574260,737567,749025,431368,568700,754205,497965,676172,569749,710859,575584,792508,510649,493030,813882,782248,670284,687481,828180,605072,460354,354899,685912,659373,903295,907259,726558,586995
129,763312,733310,678239,595845,610802,768244,924708,1228860,582367,614846,606952,757759,574435,737741,749167,431507,568840,754341,498105,676322,569910,710997,575721,792695,510816,493203,814061,782431,670431,687606,828393,605279,460615,355129,686102,659577,903536,907449,726718,587159
130,763498,733473,678419,596012,610997,768434,924982,1229039,582548,615110,607124,757952,574616,737948,749340,431731,569009,754524,498326,676526,570111,711212,575930,792931,510984,493405,814251,782638,670582,687788,828638,605474,460801,355350,686366,659804,903754,907726,726942,587382
131,763698,733702,678613,596233,611168,768622,925156,1229262,582746,615386,607291,758152,574767,738081,749507,431916,569143,754768,498506,676723,570264,711332,576054,793132,511130,493574,814422,782762,670731,687984,828857,605679,460987,355594,686539,660000,904041,907942,727153,587586
132,763914,733916,678825,596425,611395,768814,925381,1229491,583024,615703,607451,758344,574969,738277,749726,432072,569360,754920,498741,676868,570490,711485,576229,793351,511299,493752,814600,782954,670892,688159,829088,605872,461181,355834,686750,660200,904221,908154,727327,587769
133,764095,734094,679039,596682,611577,769052,925590,1229669,583229,615930,607637,758551,575168,738475,749948,432256,569506,755109,498926,677162,570683,711642,576368,793544,511485,493922,814758,783115,671120,688338,829255,606032,461350,356049,686939,660389,904434,908352,727511,587960
134,764326,734356,679288,596945,611814,769249,925781,1229869,583522,616256,607763,758737,575351,738666,750110,432429,569696,755288,499150,677277,570892,711812,576557,793723,511685,494119,814985,783325,671224,688541,829498,606215,461583,356192,687167,660565,904706,908578,727703,588175
135,764513,734549,679431,597164,612024,769458,925999,1230136,583741,616527,607947,758968,575527,738859,750292,432607,569870,755492,499376,677380,571073,711982,576723,793961,511846,494318,815113,783514,671390,688749,829690,606388,461746,356428,687358,660743,904883,908784,727838,588341
136,764716,734786,679656,597376,612225,769664,926167,1230299,583918,616725,608116,759160,575714,739083,750456,432839,570059,755646,499583,677608,571300,712137,576925,794190,512018,494518,815325,783676,671561,688923,829904,606569,461970,356600,687500,660899,905071,908989,728032,588580
137,764940,734994,679775,597571,612427,769857,926338,1230535,584118,616998,608266,759355,575864,739215,750592,432983,570174,755801,499724,677765,571489,712288,577088,794369,512176,494630,815483,783839,671730,689096,830150,606772,462139,356834,687736,661116,905361,909283,728236,588778
138,765163,735204,680012,597771,612663,770135,926573,1230706,584338,617286,608431,759560,576072,739408,750757,433175,570410,755994,499938,677930,571710,712480,577295,794644,512355,494854,815685,784063,671894,689311,830354,606966,462359,357062,687947,661330,905515,909409,728457,588942
139,765335,735382,680196,597961,612867,770288,926760,1230960,584512,617497,608580,759731,576229,739595,750937,433318,570605,756182,500148,678124,571906,712614,577449,794834,512567,495040,815851,784262,672096,689504,830602,607137,462542,357278,688129,661522,905711,909592,728659,589147
140,765518,735588,680398,598104,613057,770461,926998,1231139,584761,617754,608758,759923,576452,739781,751085,433515,570755,756317,500333,678375,572117,712790,577653,795085,512765,495219,816036,784449,672213,689677,830814,607334,462732,357495,688335,661729,905904,909856,728869,589335
141,765705,735818,680531,598369,613290,770645,927182,1231278,584999,618065,608928,760150,576663,739962,751288,433721,570933,756512,500522,678503,572311,712970,577814,795292,512926,495422,816266,784658,672407,689871,831003,607511,462897,357684,688501,661873,906156,910001,729002,589482
142,765877,736006,680714,598573,613524,770864,927441,1231531,585271,618364,609086,760327,576844,740163,751500,433923,571140,756707,500767,678678,572551,713106,578027,795509,513160,495660,816448,784870,672589,690089,831233,607683,463062,357860,688680,662034,906297,910146,729172,589660
143,766056,736205,680906,598795,613706,771027,927570,1231698,585451,618532,609223,760529,577006,740344,751637,434075,571256,756847,500865,678851,572757,713371,578248,795768,513343,495831,816658,785066,672761,690310,831443,607864,463226,358079,688911,662204,906495,910371,729370,589855
144,766197,736386,681058,598969,613888,771201,927736,1231855,585620,618746,609375,760756,577202,740553,751801,434276,571425,756994,501058,679063,572968,713547,578459,795971,513498,496003,816864,785232,672915,690497,831695,608056,463464,358298,689084,662404,906678,910572,729527,590025
145,766370,736604,681266,599125,614090,771395,927964,1232075,585842,619014,609536,760959,577378,740765,751980,434470,571639,757167,501285,679240,573191,713730,578676,796259,513696,496268,817045,785492,673136,690737,831900,608237,463640,358552,689322,662613,906932,910792,729726,590268
146,766579,736816,681434,599401,614321,771575,928189,1232259,586078,619307,609710,761125,577564,740956,752168,434621,571796,757433,501532,679448,573354,713864,578854,796462,513830,496425,817276,785620,673292,690900,832106,608406,463854,358697,689508,662827,907094,910993,729937,590427
147,766745,737015,681627,599585,614492,771715,928386,1232414,586230,619477,609866,761319,577743,741127,752354,434833,571965,757607,501738,679594,573606,714082,579052,796714,514023,496654,817496,785860,673516,691102,832304,608607,464015,358915,689725,662984,907298,911193,730133,590606
148,766989,737252,681855,599802,614727,771962,928612,1232631,586450,619797,610025,761514,577934,741367,752523,434993,572148,757840,501928,679786,573801,714264,579225,796941,514230,496839,817666,786043,673678,691264,832531,608769,464233,359090,689951,663119,907560,911398,730323,590845
149,767208,737448,682003,600003,614979,772175,928777,1232822,586646,620052,610180,761728,578104,741584,752697,435168,572335,757996,502133,680005,573978,714452,579423,797149,514374,497063,817895,786231,673882,691506,832706,608962,464454,359283,690097,663346,907752,911581,730484,590989
150,767390,737634,682270,600232,615162,772364,928971,1233008,586872,620275,610398,761941,578265,741810,752879,435386,572507,758175,502361,680184,574194,714655,579598,797416,514560,497263,818093,786431,674042,691685,832932,609155,464655,359506,690257,663549,907921,911771,730655,591156
151,767599,737842,682416,600497,615342,772596,929174,1233305,587025,620578,610566,762195,578457,742033,753056,435590,572700,758357,502587,680388,574367,714851,579738,797640,514724,497425,818285,786602,674248,691906,833200,609348,464874,359751,690508,663813,908202,912002,730924,591462
152,767800,738057,682611,600721,615591,772770,929366,1233424,587289,620826,610737,762374,578648,742194,753223,435759,572880,758537,502836,680573,574560,714991,579947,797864,514927,497647,818509,786789,674390,692108,833387,609538,465048,359917,690689,664001,908363,912177,731076,591611
153,768029,738281,682833,600946,615761,773004,929582,1233660,587506,621072,610883,762585,578837,742377,753408,435932,573008,758700,502992,680746,574791,715180,580143,798122,515072,497815,818703,787006,674567,692315,833624,609689,465236,360157,690901,664203,908630,912349,731273,591813
154,768224,738442,683024,601138,615954,773205,929795,1233786,587738,621341,611061,762785,579047,742591,753548,436097,573152,758948,503243,680935,574982,715333,580300,798292,515233,497990,818895,787150,674747,692561,833832,609866,465440,360375,691119,664416,908843,912556,731463,591988
155,768383,738653,683187,601318,616151,773351,929998,1233972,587892,621547,611212,762953,579202,742743,753707,436306,573332,759097,503415,681126,575181,715526,580506,798511,515428,498185,819060,787365,674945,692717,834053,610072,465650,360552,691316,664560,908967,912758,731668,592176
156,768634,738849,683395,601574,616369,773578,930212,1234233,588127,621815,611387,763152,579384,742940,753881,436448,573539,759256,503636,681329,575403,715705,580673,798768,515605,498414,819228,787542,675097,692914,834292,610271,465876,360781,691473,664779,909193,912968,731855,592438
157,768807,739043,683537,601766,616542,773763,930339,1234380,588319,621990,611564,763338,579602,743116,754103,436654,573747,759437,503835,681471,575598,715867,580868,798974,515745,498603,819470,787733,675256,693096,834529,610434,466050,360999,691716,664964,909438,913190,732044,592540
158,768982,739220,683708,601974,616758,773943,930559,1234574,588555,622263,611701,763546,579785,743289,754260,436808,573856,759620,504007,681648,575780,716043,581049,799145,515911,498775,819618,787944,675399,693282,834734,610585,466223,361208,691898,665172,909586,913358,732225,592758
159,769184,739485,683904,602204,616972,774161,930729,1234800,588739,622545,611874,763741,579974,743506,754475,437028,574043,759865,504251,681868,575983,716203,581254,799376,516094,498964,819785,788118,675556,693492,834936,610767,466363,361381,692086,665323,909805,913532,732407,592937
160,769357,739688,684116,602367,617161,774347,930970,1234988,588953,622777,611996,763937,580103,743673,754611,437171,574196,759987,504451,682062,576159,716391,581443,799585,516272,499176,819949,788274,675745,693703,835133,610977,466625,361638,692312,665546,910035,913772,732594,593139
161,769545,739917,684301,602613,617375,774519,931142,1235151,589074,623017,612159,764127,580298,743830,754761,437354,574369,760181,504625,682223,576358,716567,581598,799834,516456,499359,820127,788446,675916,693890,835298,611162,466763,361801,692480,665701,910230,913959,732748,593411
162,769750,740107,684490,602807,617559,774704,931333,1235362,589316,623314,612345,764348,580466,744010,754907,437567,574592,760353,504867,682385,576521,716717,581769,800057,516609,499530,820349,788650,676070,694087,835505,611334,466994,362002,692666,665888,910430,914131,732931,593496
163,769956,740320,684712,603055,617775,774905,931577,1235562,589499,623550,612515,764545,580670,744173,755110,437715,574728,760519,505083,682582,576689,716871,581919,800266,516765,499669,820514,788798,676229,694271,835705,611513,467169,362229,692838,666109,910679,914386,733126,593741
164,770154,740517,684950,603289,617997,775154,931775,1235779,589793,623813,612720,764736,580862,744372,755276,437906,574923,760687,505259,682763,576875,717060,582154,800509,516981,499864,820765,788964,676410,694472,835925,611701,467362,362440,693037,666275,910896,914591,733346,593932
165,770303,740725,685138,603534,618200,775346,931970,1235996,589962,624030,612870,764943,581057,744557,755426,438073,575103,760898,505525,682914,577108,717281,582347,800719,517137,500078,820990,789152,676606,694694,836156,611842,467550,362653,693259,666520,911103,914792,733490,594142
166,770487,740900,685289,603721,618360,775516,932114,1236175,590165,624292,613040,765131,581251,744758,755628,438241,575256,761034,505654,683076,577310,717456,582562,801007,517350,500304,821179,789353,676781,694895,836382,612104,467817,362920,693520,666691,911380,915033,733701,594351
167,770676,741112,685478,603927,618570,775687,932268,1236416,590363,624576,613196,765330,581425,744954,755771,438455,575425,761256,505858,683260,577496,717604,582717,801236,517494,500483,821382,789539,676965,695093,836618,612261,468008,363172,693731,666877,911602,915266,733870,594585
168,770887,741352,685666,604169,618754,775900,932490,1236594,590568,624793,613364,765553,581643,745126,755953,438679,575634,761456,506064,683516,577650,717768,582884,801414,517649,500675,821547,789684,677125,695258,836827,612439,468174,363359,693867,667016,911808,915423,733992,594743
169,771073,741556,685874,604369,618961,776078,932702,1236809,590795,625087,613521,765761,581816,745297,756084,438853,575799,761612,506243,683628,577877,717943,583106,801697,517839,500886,821753,789889,677308,695419,837041,612618,468356,363544,694077,667183,912019,915663,734193,594964
170,771254,741732,686023,604587,619156,776257,932868,1236973,591014,625228,613713,765982,582047,745517,756307,439043,575941,761842,506437,683862,578048,718128,583303,801921,518054,501113,821961,790096,677489,695626,837253,612770,468553,363771,694265,667441,912219,915848,734402,595112
171,771449,741937,686195,604797,619387,776503,933146,1237179,591234,625506,613851,766180,582201,745699,756474,439206,576135,762001,506652,684039,578253,718312,583502,802186,518271,501305,822126,790280,677710,695848,837452,612960,468730,363993,694495,667615,912390,916037,734599,595359
172,771636,742137,686430,605012,619591,776680,933290,1237336,591418,625803,614024,766362,582369,745909,756620,439376,576295,762178,506939,684201,578477,718476,583717,802394,518450,501511,822362,790480,677964,696047,837685,613143,468922,364186,694688,667813,912623,916265,734799,595516
173,771829,742362,686621,605233,619794,776879,933571,1237545,591616,626119,614149,766571,582541,746060,756795,439537,576455,762347,507055,684381,578632,718637,583899,802680,518675,501762,822566,790656,678035,696307,837923,613335,469148,364415,694858,667994,912835,916472,734939,595696
174,771988,742523,686749,605384,619964,777081,933707,1237726,591795,626265,614322,766773,582727,746231,756968,439763,576610,762550,507211,684527,578874,718806,584118,802917,518814,501955,822733,790909,678209,696531,838152,613513,469359,364596,695096,668200,913057,916685,735139,595908
175,772149,742676,686921,605569,620151,777249,933806,1237888,591986,626477,614503,767027,582945,746470,757149,439915,576796,762720,507405,684726,579105,719035,584313,803139,519016,502193,822958,791093,678444,696667,838312,613701,469526,364779,695266,668410,913254,916845,735345,596086
176,772301,742854,687060,605721,620332,777408,934003,1238073,592122,626612,614695,767254,583167,746645,757312,440133,576967,762906,507616,685038,579294,719204,584458,803411,519194,502386,823209,791345,678620,696950,838559,613892,469714,365023,695458,668569,913457,917056,735509,596268
177,772544,743094,687303,605983,620544,777600,934233,1238254,592352,626892,614833,767441,583330,746847,757489,440339,577130,763126,507848,685125,579510,719392,584675,803649,519384,502608,823350,791533,678785,697119,838779,614092,469934,365199,695637,668791,913646,917219,735691,596443
178,772730,743275,687490,606193,620780,777808,934467,1238513,592568,627173,615005,767660,583532,747028,757667,440542,577288,763273,508017,685280,579728,719553,584889,803896,519594,502810,823604,791741,679014,697390,839018,614299,470134,365408,695836,669010,913911,917454,735887,596626
179,772945,743471,687720,606377,620916,777983,934678,1238723,592797,627415,615170,767869,583708,747217,757877,440724,577518,763459,508278,685471,579912,719757,585041,804080,519792,502939,823754,791863,679123,697500,839225,614505,470355,365598,696027,669169,914128,917582,736088,596866
180,773136,743722,687937,606652,621147,778195,934864,1238952,593006,627742,615311,768079,583883,747425,758067,440905,577656,763624,508531,685666,580106,719905,585220,804291,519945,503113,823987,792109,679363,697693,839405,614698,470523,365859,696229,669389,914324,917789,736244,597072
181,773301,743914,688120,606877,621403,778413,935076,1239157,593240,627975,615479,768249,584088,747559,758193,441044,577860,763878,508685,685859,580304,720105,585413,804496,520101,503313,824226,792240,679486,697891,839659,614906,470772,366113,696397,669588,914560,918124,736438,597223
182,773481,744098,688271,607083,621540,778585,935253,1239299,593397,628258,615658,768485,584318,747800,758414,441258,577987,764099,508914,686046,580506,720291,585655,804780,520342,503488,824439,792428,679667,698085,839871,615074,470948,366304,696605,669807,914739,918253,736660,597457
183,773650,744292,688416,607275,621748,778763,935436,1239509,593558,628507,615829,768727,584466,747961,758547,441471,578171,764218,509103,686191,580716,720483,585837,805025,520544,503754,824674,792639,679840,698304,840103,615259,471149,366563,696806,670017,914984,918484,736937,597625
184,773831,744465,688606,607494,621922,778935,935635,1239699,593750,628692,615987,768927,584659,748158,758739,441601,578378,764407,509294,686334,580946,720653,586065,805269,520711,503959,824899,792858,680016,698501,840327,615448,471318,366724,697011,670246,915248,918667,737087,597847
185,774070,744708,688799,607723,622175,779127,935846,1239880,593943,628989,616185,769210,584884,748376,758901,441807,578532,764613,509516,686541,581156,720838,586287,805509,520937,504112,825031,793024,680196,698706,840538,615653,471500,366879,697181,670408,915455,918920,737279,597994
186,774219,744903,688987,607927,622357,779327,936005,1240109,594206,629237,616361,769408,585049,748553,759086,442000,578695,764793,509806,686760,581356,720999,586475,805730,521081,504253,825248,793201,680390,698918,840740,615772,471709,367162,697403,670616,915697,919030,737402,598165
187,774454,745104,689182,608135,622572,779540,936231,1240304,594413,629450,616518,769620,585250,748745,759257,442200,578877,764969,510031,686904,581563,721182,586659,805967,521266,504488,825429,793363,680550,699083,840990,616053,471910,367392,697630,670821,915814,919223,737577,598384
188,774619,745302,689364,608343,622764,779731,936405,1240501,594625,629730,616709,769828,585444,748920,759440,442392,579030,765128,510267,687090,581760,721362,586839,806212,521431,504643,825660,793580,680747,699311,841195,616209,472082,367595,697821,670969,916047,919423,737791,598566
189,774847,745493,689540,608553,622994,779922,936564,1240747,594807,630008,616860,770008,585577,749081,759590,442545,579197,765309,510370,687277,581979,721543,587064,806466,521687,504894,825852,793797,680990,699520,841405,616397,472303,367779,697964,671192,916218,919615,737992,598735
190,775005,745704,689755,608737,623211,780104,936759,1240898,595033,630253,617019,770237,585760,749292,759773,442756,579344,765514,510624,687475,582174,721672,587255,806642,521838,505052,826039,793945,681139,699702,841586,616550,472462,367950,698155,671313,916405,919767,738146,598951
191,775216,745908,689916,608967,623390,780285,936981,1241097,595290,630549,617220,770419,585954,749476,759952,442915,579554,765692,510828,687631,582343,721872,587419,806852,521947,505246,826206,794144,681297,699905,841849,616737,472680,368219,698429,671542,916680,919995,738347,599131
192,775435,746093,690113,609155,623596,780511,937121,1241263,595451,630739,617356,770607,586142,749663,760092,443097,579715,765862,511018,687829,582579,722024,587612,807062,522175,505476,826384,794319,681476,700111,842046,616889,472860,368431,698578,671725,916843,920183,738517,599320
193,775627,746289,690291,609370,623826,780733,937265,1241478,595673,630995,617548,770813,586317,749871,760274,443308,579915,766051,511261,688049,582719,722149,587772,807253,522336,505622,826590,794488,681627,700285,842288,617083,473088,368671,698807,671967,917092,920473,738708,599558
194,775822,746502,690466,609548,624003,780925,937507,1241688,595804,631203,617713,771009,586485,750049,760444,443522,580065,766164,511448,688211,582901,722307,587947,807459,522525,505814,826764,794615,681773,700456,842446,617228,473248,368824,698961,672143,917250,920599,738915,599698
195,775956,746639,690642,609787,624159,781077,937644,1241889,596114,631469,617898,771224,586653,750266,760623,443684,580233,766402,511674,688393,583077,722471,588125,807629,522673,505980,826928,794825,681933,700617,842614,617402,473412,369054,699156,672318,917392,920724,739101,599911
196,776167,746826,690846,609992,624379,781256,937828,1242011,596201,631736,618064,771396,586833,750420,760783,443894,580380,766589,511859,688566,583301,722659,588295,807876,522834,506181,827137,795009,682105,700811,842856,617599,473594,369273,699369,672493,917642,921007,739246,600078
197,776377,747041,691022,610172,624544,781401,937973,1242233,596423,632037,618223,771578,587019,750605,760942,444080,580586,766724,512108,688715,583475,722794,588481,808115,522988,506396,827289,795169,682250,700970,843064,617774,473730,369495,699551,672719,917847,921172,739449,600304
198,776575,747254,691224,610420,624767,781601,938229,1242443,596669,632237,618378,771776,587217,750773,761107,444252,580730,766908,512241,688888,583697,722928,588662,808337,523130,506561,827516,795353,682405,701144,843235,617924,473922,369652,699723,672875,918019,921409,739612,600486
199,776776,747460,691398,610650,624975,781802,938400,1242673,596877,632556,618525,771998,587372,750944,761249,444442,580878,767070,512453,689040,583869,723119,588846,808531,523335,506743,827696,795568,682578,701371,843434,618108,474138,369915,699871,673044,918224,921591,739767,600635
200,776969,747681,691618,610822,625173,781953,938597,1242869,597079,632780,618677,772174,587543,751153,761418,444620,581040,767219,512650,689243,584046,723272,588990,808704,523496,506946,827889,795729,682717,701533,843674,618302,474333,370116,700119,673262,918420,921870,739957,600872
201,777206,747915,691852,611106,625395,782179,938828,1243069,597281,633052,618825,772350,587697,751284,761542,444734,581193,767355,512778,689381,584253,723474,589206,808956,523670,507148,828065,795928,682922,701757,843876,618446,474479,370361,700315,673414,918588,921964,740059,601000
202,777380,748120,692037,611294,625598,782366,939015,1243259,597489,633324,618962,772542,587884,751457,761711,444901,581322,767506,512959,689525,584476,723635,589398,809189,523842,507356,828268,796069,683100,701965,844110,618643,474678,370524,700492,673615,918759,922192,740249,601151
203,777575,748323,692231,611536,625820,782573,939253,1243475,597742,633574,619104,772677,588045,751618,761856,445070,581520,767684,513152,689700,584682,723818,589599,809445,524077,507550,828453,796309,683298,702200,844302,618806,474839,370708,700717,673785,918970,922364,740434,601378
204,777794,748521,692466,611774,626042,782762,939444,1243672,597986,633897,619264,772841,588214,751774,762018,445271,581681,767901,513372,689872,584822,723924,589755,809616,524216,507673,828607,796416,683385,702299,844523,619008,475036,370963,700927,674010,919170,922563,740624,601568
205,777991,748746,692664,611956,626252,782962,939650,1243886,598190,634157,619409,773018,588405,751894,762169,445469,581810,768034,513543,689977,585047,724090,589915,809773,524385,507856,828820,796598,683570,702493,844728,619188,475218,371145,701106,674212,919412,922759,740829,601828
206,778140,748913,692819,612151,626456,783144,939839,1244057,598440,634288,619594,773280,588602,752095,762370,445588,582005,768254,513767,690193,585272,724318,590097,810046,524585,508086,829010,796816,683735,702695,844949,619372,475422,371359,701268,674354,919596,922976,740978,601927
