bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
230,117202665827,134964362403,131608496434,114028315461,137320782045,117370933969,120145297850,145111943861,132969404993,131021340982,120241444478,136190849082,112528761167,128575496563,142017672544,133905543094,127128356196,130145950644,112081056436,115655865179,138138199569,127215917087,125561725899,142825990527,123836774407,131305925171,128075650346,135064278507,126876563136,128455135716,118875754437,145756949860,129182556612,121198339721,124173609045,117992374513,127709570404,142213011973,138690133236,112704713291
231,117205112549,134966846966,131610844624,114030679369,137323209510,117373210740,120147708862,145114307055,132972247379,131023588458,120243773406,136193646480,112531684265,128578206088,142020209270,133908035552,127131173602,130148726624,112083998085,115658313374,138140530594,127218700898,125563883412,142829101472,123839009739,131308191930,128078126355,135066258863,126878295699,128457830306,118878292601,145759798673,129185192589,121200910017,124175859381,117994889100,127712721311,142215697255,138692702100,112707814929
232,117206896529,134968702378,131612944297,114032634769,137324665685,117375097567,120148930082,145116368142,132974929089,131026103784,120245822379,136195955412,112534337413,128580648514,142022447470,133910383045,127133137545,130151195502,112086296990,115661125760,138142825914,127221058377,125566638663,142831918144,123841251527,131311335743,128080476673,135069683292,126880531782,128460782706,118880574340,145762560381,129187864292,121203396046,124178557532,117996988043,127715165208,142217761909,138694994573,112709947471
233,117209844604,134971442640,131615713113,114035529280,137327943008,117378153514,120151718936,145118875582,132977697923,131028639791,120248316972,136198631425,112536819147,128582925276,142025000638,133913000505,127135958514,130153475844,112088648767,115663128281,138145021258,127223483709,125569336785,142834294906,123843462545,131313431828,128083289761,135070834528,126882802109,128463210916,118883109656,145764419373,129190275360,121206237707,124181004251,117999410525,127717082063,142220008635,138697183474,112712342792
234,117212367054,134974208607,131618534768,114038158111,137330619726,117380619541,120154120683,145121128782,132980685289,131031881392,120250384478,136201270986,112539353745,128585606245,142027386680,133915597968,127138132449,130155848287,112091073351,115665227215,138147498729,127225936862,125571670686,142837481519,123846361374,131316237087,128085642935,135073557665,126885338095,128465904752,118885852032,145767191803,129192815643,121208584470,124183145315,118001423768,127719592381,142222661053,138699586704,112714690997
235,117214676680,134976598923,131620849387,114040273470,137332822228,117382651352,120156156079,145123781208,132983714051,131034248153,120252489849,136203936991,112542274001,128588070132,142029025679,133917295556,127140479209,130158144338,112093567914,115668176014,138149788353,127228431442,125573980333,142840201774,123848910213,131318857367,128088889514,135076403633,126887830536,128468776470,118889142195,145769385746,129195047423,121211813226,124186281220,118003936215,127722782593,142225760486,138701614932,112718141900
236,117217686178,134979039228,131623246159,114043063701,137335178264,117385410938,120158908499,145125957996,132985878703,131037022680,120254947329,136206804389,112544775747,128590417594,142032298712,133920362922,127142985897,130160391820,112096374581,115670899116,138151691597,127231258126,125576182104,142843091998,123851092698,131321159123,128090783475,135078486855,126889618074,128471534605,118891868878,145771707517,129197931937,121214813453,124188479435,118007074991,127724676579,142228117213,138705210034,112720585818
237,117220332862,134981878742,131626253545,114045783937,137337973524,117387851266,120161230270,145128494724,132987720521,131040137863,120257332658,136209232583,112547261065,128592800043,142034275528,133922730413,127145114835,130162555008,112098867036,115672618812,138154371157,127233829839,125578921656,142846058650,123853028807,131323704399,128093094504,135080865754,126891659867,128474463440,118894548430,145774028567,129200970703,121217536574,124191367566,118009460318,127727428994,142230863889,138707316836,112723260388
238,117223100975,134984527572,131628899564,114048159959,137340644511,117390362282,120163747733,145131703475,132990771429,131042851709,120259548019,136212087132,112549926340,128595068931,142037006510,133925457860,127147747234,130165173140,112101158790,115675874012,138156633616,127236080888,125581471255,142848826775,123855604079,131326159680,128095512651,135082418359,126893753067,128476158167,118897420813,145776208937,129203008936,121219906186,124193952882,118012170580,127729444410,142232959938,138710006397,112725513599
239,117225309891,134986888612,131630221500,114050967346,137342878446,117392593349,120165778823,145133108244,132992838952,131045028490,120261989059,136214672427,112552838744,128597869160,142039189717,133928013160,127150236135,130167015691,112103052770,115678309349,138158943240,127238771166,125583740156,142851363523,123858177251,131328654998,128098267231,135084559427,126895869852,128479109085,118900672411,145778218616,129205632048,121223233486,124196817412,118014569486,127732064694,142235897971,138712408134,112728629546
