kbcommit,client01,client02,client03,client04
249,44474528.0,38376208.0,47673452.0,38869232.0
250,44474528.0,38376208.0,47673452.0,38869232.0
251,44474528.0,38376208.0,47679980.0,38875720.0
252,44474528.0,38381960.0,47673324.0,38875720.0
253,44474528.0,38381960.0,47673324.0,38875720.0
254,44510932.0,38381960.0,47666796.0,38875372.0
255,44466588.0,38381960.0,47666796.0,38875372.0
256,44466588.0,38387660.0,47666796.0,38875372.0
257,44466588.0,38387660.0,47666796.0,38875372.0
258,44466588.0,38387660.0,47666796.0,38875372.0
259,44466588.0,38387660.0,47666796.0,38875372.0
260,44466588.0,38387660.0,47666796.0,38875372.0
261,44470504.0,38387660.0,47666796.0,38875372.0
262,44457816.0,38387660.0,47666796.0,38875372.0
263,44457816.0,38387660.0,47666796.0,38869408.0
264,44470800.0,38387660.0,47666796.0,38869408.0
265,44470800.0,38387660.0,47673248.0,38869408.0
266,44470800.0,38367176.0,47679728.0,38869408.0
267,44506272.0,38367120.0,47679728.0,38869408.0
268,44523864.0,38367120.0,47679728.0,38878608.0
269,44493288.0,38372832.0,47679728.0,38878608.0
270,44493288.0,38372780.0,47679728.0,38878608.0
271,44493288.0,38372780.0,47687108.0,38878608.0
272,44493288.0,38367088.0,47687108.0,38878608.0
273,44493288.0,38367088.0,47687108.0,38878608.0
274,44508236.0,38372772.0,47680524.0,38885040.0
275,44560044.0,38366756.0,47680524.0,38878440.0
276,44560044.0,38366756.0,47680524.0,38878440.0
277,44560044.0,38366756.0,47680508.0,38878440.0
278,44560044.0,38366756.0,47680508.0,38878440.0
279,44560044.0,38366756.0,47680508.0,38878440.0
280,45099684.0,38366756.0,47680508.0,38884960.0
281,44552616.0,38366756.0,47680508.0,38884960.0
282,44530216.0,38366756.0,47680508.0,38884960.0
283,44530216.0,38366756.0,47667436.0,38884960.0
284,44530216.0,38361132.0,47673964.0,38884960.0
285,44530216.0,38349440.0,47673964.0,38884960.0
286,44530216.0,38349440.0,47673964.0,38884960.0
287,44551476.0,38349440.0,47667140.0,38884960.0
288,44598272.0,38376632.0,47673616.0,38884960.0
289,44598336.0,38376632.0,47673616.0,38884960.0
290,44598336.0,38376632.0,47660648.0,38884960.0
291,44598336.0,38382344.0,47660648.0,38884960.0
292,44598336.0,38382344.0,47660648.0,38884960.0
293,44598336.0,38382344.0,47660648.0,38884960.0
294,44591632.0,38387980.0,47667140.0,38891412.0
295,44543836.0,38387980.0,47673576.0,38891412.0
296,44543836.0,38387980.0,47673576.0,38891412.0
297,44556800.0,38393688.0,47673576.0,38891412.0
298,44556800.0,38393688.0,47680104.0,38879756.0
299,44556800.0,38393688.0,47680104.0,38879756.0
300,44546136.0,38393688.0,47680104.0,38879756.0
301,44582532.0,38393688.0,47680104.0,38879756.0
302,44548644.0,38399312.0,47680104.0,38873212.0
303,44548644.0,38393412.0,47680104.0,38873212.0
304,44548644.0,38393412.0,47680104.0,38873212.0
305,44548644.0,38393412.0,47680104.0,38873068.0
306,44548644.0,38393412.0,47680104.0,38879600.0
307,44552324.0,38393412.0,47680104.0,38879600.0
308,44571360.0,38393412.0,47680104.0,38879600.0
309,44571360.0,38387720.0,47680104.0,38879600.0
310,44571360.0,38391368.0,47680104.0,38894740.0
311,44571360.0,38399564.0,47673524.0,38900968.0
312,44571360.0,38399564.0,47679956.0,38900968.0
313,44571360.0,38399564.0,47679956.0,38900968.0
314,44530292.0,38399564.0,47679956.0,38900968.0
315,44506448.0,38399564.0,47679956.0,38900968.0
316,44506448.0,38399320.0,47679956.0,38900968.0
317,44506448.0,38399320.0,47686456.0,38900968.0
318,44506448.0,38405076.0,47686456.0,38900968.0
319,44506448.0,38405076.0,47679860.0,38900968.0
320,44528996.0,38405076.0,47679860.0,38900852.0
321,44546840.0,38425168.0,47679860.0,38900852.0
322,44508552.0,38425168.0,47679860.0,38900852.0
323,44508552.0,38419388.0,47679860.0,38900852.0
324,44508552.0,38429692.0,47679860.0,38907288.0
325,44508552.0,38399336.0,47679860.0,38913720.0
326,44508552.0,38419332.0,47679860.0,38920248.0
327,44569916.0,38419332.0,47679860.0,38920248.0
328,44598136.0,38419332.0,47679860.0,38920096.0
329,44584368.0,38419332.0,47686300.0,38920096.0
330,44584368.0,38419332.0,47686300.0,38920096.0
331,44584368.0,38419332.0,47686300.0,38920096.0
332,44584368.0,38419332.0,47686300.0,38920096.0
333,44584368.0,38419332.0,47686300.0,38926624.0
334,44541228.0,38419332.0,47676476.0,38933096.0
335,44507048.0,38425040.0,47676476.0,38926512.0
336,44507048.0,38416844.0,47676476.0,38926512.0
337,44507048.0,38416844.0,47676476.0,38926512.0
338,44507048.0,38416844.0,47676476.0,38926512.0
339,44507048.0,38411144.0,47682968.0,38933016.0
340,44467384.0,38411028.0,47682968.0,38933016.0
341,44591288.0,38411028.0,47682968.0,38933016.0
342,44548080.0,38405200.0,47689400.0,38933016.0
343,44548080.0,38410824.0,47689400.0,38933016.0
344,44548080.0,38410824.0,47695860.0,38933016.0
345,44548080.0,38410824.0,47695860.0,38933016.0
346,44548080.0,38410824.0,47695860.0,38933016.0
347,44541840.0,38410824.0,47695860.0,38933016.0
348,44557812.0,38410824.0,47689208.0,38933016.0
349,44557812.0,38410824.0,47689208.0,38933016.0
350,44557812.0,38410824.0,47689208.0,38926452.0
351,44557812.0,38410824.0,47689208.0,38932900.0
352,44557812.0,38405060.0,47689136.0,38926304.0
353,44557812.0,38405060.0,47689136.0,38926304.0
354,44578716.0,38410684.0,47689136.0,38926304.0
355,44564864.0,38404900.0,47689136.0,38926304.0
356,44564864.0,38407352.0,47689136.0,38926304.0
357,44564864.0,38407352.0,47689136.0,38926304.0
358,44564864.0,38407352.0,47689136.0,38926304.0
359,44564864.0,38407352.0,47681756.0,38926304.0
360,44560524.0,38407352.0,47681756.0,38926304.0
361,44568688.0,38412992.0,47681756.0,38926304.0
362,44554576.0,38407340.0,47681756.0,38932736.0
363,44569648.0,38412972.0,47675072.0,38932736.0
364,44569648.0,38412972.0,47675072.0,38923856.0
365,44569648.0,38412972.0,47675072.0,38930292.0
366,44569648.0,38407128.0,47675072.0,38930292.0
367,44547304.0,38407128.0,47675072.0,38930292.0
368,44552260.0,38407128.0,47675072.0,38930292.0
369,44552260.0,38407128.0,47666876.0,38930292.0
370,44552260.0,38407128.0,47666876.0,38936728.0
371,44552260.0,38407128.0,47673312.0,38930104.0
372,44552260.0,38407128.0,47673012.0,38930104.0
373,44552260.0,38407128.0,47679444.0,38930104.0
374,44663064.0,38407128.0,47679444.0,38930104.0
375,44563600.0,38412840.0,47679444.0,38930104.0
376,44563600.0,38412840.0,47679444.0,38936536.0
