subop_w_in_bytes,aceph01_ceph-osd.0.asok.txt,aceph01_ceph-osd.1.asok.txt,aceph01_ceph-osd.2.asok.txt,aceph01_ceph-osd.3.asok.txt,aceph01_ceph-osd.4.asok.txt,aceph01_ceph-osd.5.asok.txt,aceph01_ceph-osd.6.asok.txt,aceph01_ceph-osd.7.asok.txt,aceph01_ceph-osd.8.asok.txt,aceph01_ceph-osd.9.asok.txt,aceph02_ceph-osd.10.asok.txt,aceph02_ceph-osd.11.asok.txt,aceph02_ceph-osd.12.asok.txt,aceph02_ceph-osd.13.asok.txt,aceph02_ceph-osd.14.asok.txt,aceph02_ceph-osd.15.asok.txt,aceph02_ceph-osd.16.asok.txt,aceph02_ceph-osd.17.asok.txt,aceph02_ceph-osd.18.asok.txt,aceph02_ceph-osd.19.asok.txt,aceph03_ceph-osd.20.asok.txt,aceph03_ceph-osd.21.asok.txt,aceph03_ceph-osd.22.asok.txt,aceph03_ceph-osd.23.asok.txt,aceph03_ceph-osd.24.asok.txt,aceph03_ceph-osd.25.asok.txt,aceph03_ceph-osd.26.asok.txt,aceph03_ceph-osd.27.asok.txt,aceph03_ceph-osd.28.asok.txt,aceph03_ceph-osd.29.asok.txt,aceph04_ceph-osd.30.asok.txt,aceph04_ceph-osd.31.asok.txt,aceph04_ceph-osd.32.asok.txt,aceph04_ceph-osd.33.asok.txt,aceph04_ceph-osd.34.asok.txt,aceph04_ceph-osd.35.asok.txt,aceph04_ceph-osd.36.asok.txt,aceph04_ceph-osd.37.asok.txt,aceph04_ceph-osd.38.asok.txt,aceph04_ceph-osd.39.asok.txt
149,73257772441,97082593688,87245491165,78183001479,91971057924,75741387183,76721872041,104080819330,92877341351,84521253380,77101858979,80376893296,68098881639,88427073654,82326209051,85579697442,86168352514,84705810431,72442643315,76167452067,88610523635,85919061052,79375649711,93448324209,74868892704,87345697344,81975939607,93994443250,82073506175,87196642199,77013265318,96045085817,80658963722,77490550595,82093872490,77020481458,89311631512,103141320738,83497326033,76427478209
150,73258659242,97083499969,87246792140,78184117263,91971949589,75742308084,76722817290,104081725625,92878442515,84522339934,77102921185,80377931141,68099666103,88428174841,82327095826,85580759644,86169190587,84706682589,72443754222,76168324249,88611576079,85920050177,79376502397,93449625151,74869798985,87346671827,81976904345,93995417746,82074285765,87197514382,77014366496,96046026222,80659943073,77491637157,82094652085,77021470584,89312454952,103142246494,83498159223,76428291914
151,73259677592,97084513431,87247503526,78185408456,91972826640,75743438496,76723806409,104083172760,92879187995,84523816279,77103739764,80379168768,68100601619,88429261399,82327958236,85581753620,86170130987,84707569371,72444855393,76169318242,88612419014,85921005190,79377184544,93450716579,74870598053,87347461157,81977839844,93996250944,82075289491,87198591199,77015672293,96046966622,80661010139,77492830878,82095875065,77022756926,89313824129,103143372005,83499469930,76429782903
152,73260656956,97085561001,87248453671,78186499877,91974039882,75744286312,76724741924,104083752589,92880474313,84525024650,77104572949,80380040967,68101532265,88430045868,82328771933,85582577085,86171008040,84708446408,72446068625,76170219654,88613359400,85921687344,79378202898,93451807992,74871587147,87348542842,81978931291,93997162090,82075981376,87199575450,77016583443,96047892403,80661857956,77493639695,82096757003,77023672963,89314608596,103144224670,83500210553,76430508896
153,73261772768,97086652432,87249535357,78187596169,91974868201,75745426475,76725794381,104084902506,92881531639,84526223268,77105284329,80381069086,68102453154,88430937536,82329673348,85583420029,86171631716,84709240613,72446828730,76171062606,88614484920,85922608255,79379157897,93453065072,74872293657,87349361406,81979876546,93998219422,82076843806,87200584059,77017738194,96048628157,80662773971,77494809078,82097789968,77024657224,89315909553,103145062716,83501170438,76431493149
154,73262722910,97087436905,87250466015,78188531668,91975808607,75746405851,76726832227,104085516429,92882662027,84527533952,77106151620,80382043595,68103476365,88431980263,82330355494,85584223997,86172333352,84710448978,72448051698,76171983524,88615415547,85923353741,79379922874,93453893387,74873078119,87350214073,81980812054,93998921066,82077720853,87201782676,77018751657,96049490586,80663767939,77495871272,82098852166,77025695084,89316947385,103146071312,83502096212,76432345839
155,73263497627,97088464985,87251260239,78189408706,91976768492,75747117233,76727821343,104086422705,92883412370,84528537673,77106887364,80382862167,68104231596,88432720886,82331130201,85585242357,86173210401,84711174970,72448889761,76172914162,88616385163,85924294131,79380926626,93454960451,74874028245,87351164197,81981616004,93999968639,82078685617,87202542779,77019828472,96050494319,80664791140,77496733689,82099812039,77026396735,89317551571,103147055512,83503095065,76433261877
156,73264720600,97089419955,87252273708,78190656053,91977830689,75748223282,76728864063,104087694427,92884557390,84529843489,77107740055,80383831799,68105118380,88433680758,82331978012,85585934249,86174219026,84711949677,72449966560,76173903283,88617466844,85925166320,79381740349,93456212672,74874890677,87352279976,81982434578,94000831059,82079426231,87203502663,77020992964,96051463935,80665892303,77497849459,82100577015,77027463823,89318652751,103148078726,83504006216,76434538460
157,73265563537,97090365213,87252965592,78191591563,91978673627,75749124683,76729482874,104088410675,92885492898,84530696153,77108602496,80384738077,68106180572,88434538306,82333059707,85586937984,86175232508,84712831582,72450936169,76174595171,88618416970,85925955677,79382690497,93457216411,74875572818,87353200868,81983613718,94001761704,82080200947,87204389463,77022147726,96052258145,80666740107,77498911648,82101761022,77028365237,89319846498,103149160393,83504927112,76435035464
158,73266416209,97091227638,87253798800,78192605029,91979726091,75750001731,76730554817,104089355955,92886642787,84532026335,77109270030,80385751583,68107072235,88435381238,82333824679,85587688350,86175763605,84713723220,72451774216,76175457596,88619303753,85926813251,79383572425,93458049603,74876381640,87354038911,81984334844,94002789792,82080897705,87205295743,77023146561,96052993897,80667583046,77499929997,82102647800,77029378729,89320567625,103149978945,83505809035,76436097679
